episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
47,99.14,0.88,12.0,4.0,18.12,5.0,13.0,0.12,62.75,35.73,3.54,0.67,0.0,0.0,12.0,0.1
48,-71.11,0.85,15.0,2.0,18.62,2.5,16.0,0.12,68.48,34.67,2.91,0.67,0.0,0.0,15.0,0.05
49,-80.47,0.9,10.0,1.0,12.12,1.0,11.0,0.12,77.66,27.96,1.91,0.67,0.0,0.0,10.0,0.07
50,86.99,0.85,15.0,1.0,17.12,1.0,16.0,0.12,21.24,3.56,5.13,0.67,0.0,0.0,15.0,0.13
51,79.62,0.91,9.0,1.0,11.12,1.0,10.0,0.12,48.93,33.1,3.58,0.67,0.0,0.0,9.0,0.12
52,-78.74,0.89,11.0,4.0,17.1,5.0,12.0,0.1,23.56,13.29,4.71,0.67,11.0,0.0,0.0,0.07
53,-61.89,0.8,20.0,2.0,23.56,2.5,21.0,0.06,103.74,39.02,0.96,0.67,0.0,0.0,20.0,0.06
54,-84.44,0.92,8.0,4.0,14.12,5.0,9.0,0.12,64.72,23.09,1.79,0.67,0.0,0.0,8.0,0.06
55,99.34,0.88,12.0,1.0,14.07,1.0,13.0,0.07,68.01,43.17,2.51,0.67,12.0,0.0,0.0,0.08
56,99.23,0.87,13.0,1.0,15.12,1.0,14.0,0.12,64.27,26.63,1.14,0.67,0.0,0.0,13.0,0.09
57,-74.76,0.87,13.0,1.0,15.06,1.0,14.0,0.06,18.08,3.61,5.44,0.67,0.0,13.0,0.0,0.05
58,98.86,0.84,16.0,1.0,18.05,1.0,17.0,0.05,42.8,7.48,4.87,0.67,0.0,16.0,0.0,0.13
59,99.45,0.89,11.0,1.0,13.05,1.0,12.0,0.05,82.85,30.29,1.66,0.67,0.0,11.0,0.0,0.14
60,82.99,0.85,15.0,1.0,17.05,1.0,16.0,0.05,107.94,45.61,1.59,0.67,15.0,0.0,0.0,0.07
61,-67.57,0.83,17.0,4.0,23.06,5.0,18.0,0.06,62.2,43.41,5.41,0.67,17.0,0.0,0.0,0.04
62,98.45,0.82,18.0,2.0,21.62,2.5,19.0,0.12,26.36,3.05,3.66,0.67,0.0,0.0,18.0,0.07
63,98.06,0.79,21.0,1.0,23.06,1.0,22.0,0.06,69.91,44.91,2.5,0.67,21.0,0.0,0.0,0.07
64,-76.66,0.88,12.0,1.0,14.06,1.0,13.0,0.06,46.51,19.88,3.98,0.67,12.0,0.0,0.0,0.04
65,99.7,0.92,8.0,1.0,10.06,1.0,9.0,0.06,107.63,43.36,3.73,0.67,8.0,0.0,0.0,0.07
66,98.43,0.83,17.0,4.0,23.12,5.0,18.0,0.12,20.1,20.0,0.16,0.67,0.0,0.0,17.0,0.07
67,-56.46,0.77,23.0,2.0,26.55,2.5,24.0,0.05,135.46,41.15,7.1,0.67,23.0,0.0,0.0,0.05
68,-63.72,0.81,19.0,2.0,22.59,2.5,20.0,0.09,27.36,16.59,7.2,0.67,19.0,0.0,0.0,0.04
69,-76.66,0.88,12.0,1.0,14.06,1.0,13.0,0.06,139.78,26.27,2.33,0.67,12.0,0.0,0.0,0.04
70,-71.11,0.85,15.0,2.0,18.62,2.5,16.0,0.12,50.41,38.64,0.23,0.67,0.0,0.0,15.0,0.05
71,-74.98,0.87,13.0,4.0,19.04,5.0,14.0,0.04,21.95,7.41,5.96,0.67,0.0,13.0,0.0,0.04
72,99.76,0.93,7.0,1.0,9.11,1.0,8.0,0.11,30.64,13.29,7.31,0.67,7.0,0.0,0.0,0.07
73,-67.4,0.83,17.0,2.0,20.62,2.5,18.0,0.12,41.13,32.32,3.72,0.67,0.0,0.0,17.0,0.04
74,99.72,0.93,7.0,2.0,10.55,2.5,8.0,0.05,43.79,34.29,3.89,0.67,0.0,7.0,0.0,0.07
75,81.76,0.93,7.0,1.0,9.08,1.0,8.0,0.08,19.77,9.58,8.22,0.67,7.0,0.0,0.0,0.07
76,99.54,0.9,10.0,1.0,12.06,1.0,11.0,0.06,68.19,15.1,1.72,0.67,10.0,0.0,0.0,0.08
77,-78.74,0.89,11.0,4.0,17.05,5.0,12.0,0.05,119.65,46.06,2.55,0.67,11.0,0.0,0.0,0.05
78,85.12,0.86,14.0,1.0,16.11,1.0,15.0,0.11,30.74,11.78,2.55,0.67,14.0,0.0,0.0,0.07
79,-76.66,0.88,12.0,1.0,14.12,1.0,13.0,0.12,60.76,23.35,2.43,0.67,0.0,0.0,12.0,0.04
80,-72.97,0.86,14.0,2.0,17.54,2.5,15.0,0.04,56.88,10.18,3.43,0.67,0.0,14.0,0.0,0.05
81,93.34,0.88,12.0,1.0,14.07,1.0,13.0,0.07,106.29,44.68,2.55,0.67,12.0,0.0,0.0,0.07
82,-76.66,0.88,12.0,1.0,14.09,1.0,13.0,0.09,29.81,13.7,5.8,0.67,12.0,0.0,0.0,0.04
83,-67.39,0.83,17.0,2.0,20.56,2.5,18.0,0.06,94.89,44.93,1.52,0.67,17.0,0.0,0.0,0.05
84,99.24,0.87,13.0,1.0,15.05,1.0,14.0,0.05,98.18,39.59,1.24,0.67,13.0,0.0,0.0,0.08
85,99.12,0.86,14.0,1.0,16.05,1.0,15.0,0.05,143.8,40.72,1.22,0.67,14.0,0.0,0.0,0.07
86,98.59,0.84,16.0,4.0,22.06,5.0,17.0,0.06,74.87,44.99,3.58,0.67,16.0,0.0,0.0,0.07
87,93.62,0.91,9.0,1.0,11.06,1.0,10.0,0.06,67.3,44.44,2.47,0.67,0.0,0.0,9.0,0.07
88,99.03,0.86,14.0,2.0,17.57,2.5,15.0,0.07,56.03,43.97,2.53,0.67,14.0,0.0,0.0,0.08
89,88.86,0.84,16.0,1.0,18.05,1.0,17.0,0.05,113.52,46.15,1.55,0.67,16.0,0.0,0.0,0.08
90,85.69,0.92,8.0,1.0,10.12,1.0,9.0,0.12,69.09,29.18,0.24,0.67,0.0,0.0,8.0,0.06
91,97.73,0.78,22.0,2.0,25.62,2.5,23.0,0.12,69.41,15.81,1.04,0.67,0.0,0.0,22.0,0.08
92,-69.15,0.84,16.0,1.0,18.12,1.0,17.0,0.12,38.34,37.32,0.68,0.67,0.0,0.0,16.0,0.04
93,98.99,0.85,15.0,1.0,17.05,1.0,16.0,0.05,70.71,32.12,1.92,0.67,0.0,15.0,0.0,0.07
94,-76.66,0.88,12.0,1.0,14.05,1.0,13.0,0.05,115.08,36.36,1.19,0.67,12.0,0.0,0.0,0.05
95,99.62,0.91,9.0,1.0,11.06,1.0,10.0,0.06,112.69,46.34,2.03,0.67,9.0,0.0,0.0,0.08
96,98.76,0.84,16.0,2.0,19.55,2.5,17.0,0.05,23.43,13.36,3.21,0.67,0.0,16.0,0.0,0.07
97,-76.66,0.88,12.0,1.0,14.11,1.0,13.0,0.11,48.44,39.5,8.78,0.67,0.0,0.0,12.0,0.04
98,82.99,0.85,15.0,1.0,17.05,1.0,16.0,0.05,72.89,44.28,4.65,0.67,0.0,15.0,0.0,0.08
99,98.24,0.8,20.0,1.0,22.05,1.0,21.0,0.05,59.96,27.5,3.32,0.67,20.0,0.0,0.0,0.07
100,99.34,0.88,12.0,1.0,14.05,1.0,13.0,0.05,110.53,39.17,4.33,0.67,12.0,0.0,0.0,0.09
