episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
1,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,54.51,19.87,3.92,0.67,100.0,0.0,0.0,0.07
2,56.04,0.0,100.0,4.0,106.05,5.0,101.0,0.05,73.16,11.4,1.11,0.67,100.0,0.0,0.0,0.06
3,94.1,0.63,37.0,1.0,39.12,1.0,38.0,0.12,102.41,35.0,2.93,0.67,0.0,0.0,37.0,0.07
4,-15.46,0.53,47.0,1.0,49.11,1.0,48.0,0.11,28.24,26.2,0.1,0.67,0.0,0.0,47.0,0.06
5,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,94.49,37.75,2.64,0.67,0.0,100.0,0.0,0.06
6,-5.07,0.54,46.0,1.0,48.11,1.0,47.0,0.11,37.55,11.56,3.7,0.67,46.0,0.0,0.0,0.06
7,87.55,0.46,54.0,1.0,56.11,1.0,55.0,0.11,48.54,41.42,0.48,0.67,0.0,0.0,54.0,0.06
8,93.46,0.61,39.0,1.0,41.06,1.0,40.0,0.06,18.95,9.77,2.57,0.67,39.0,0.0,0.0,0.07
9,-54.52,0.76,24.0,1.0,26.12,1.0,25.0,0.12,39.62,34.47,2.12,0.67,0.0,0.0,24.0,0.05
10,-30.22,0.62,38.0,1.0,40.11,1.0,39.0,0.11,47.04,42.29,5.91,0.67,38.0,0.0,0.0,0.05
11,-50.94,0.74,26.0,1.0,28.05,1.0,27.0,0.05,18.84,7.78,1.49,0.67,0.0,26.0,0.0,0.05
12,89.32,0.5,50.0,1.0,52.05,1.0,51.0,0.05,89.95,45.91,5.98,0.67,50.0,0.0,0.0,0.07
13,-17.06,0.54,46.0,1.0,48.06,1.0,47.0,0.06,60.25,32.59,1.6,0.67,46.0,0.0,0.0,0.06
14,62.02,0.06,94.0,2.0,97.56,2.5,95.0,0.06,76.65,45.15,2.7,0.67,94.0,0.0,0.0,0.06
15,45.15,0.1,90.0,2.0,93.56,2.5,91.0,0.06,68.86,30.37,3.62,0.67,90.0,0.0,0.0,0.06
16,48.82,0.07,93.0,2.0,96.55,2.5,94.0,0.05,57.99,27.75,3.11,0.67,93.0,0.0,0.0,0.06
17,52.41,0.04,96.0,2.0,99.55,2.5,97.0,0.05,34.96,37.5,4.03,0.67,96.0,0.0,0.0,0.06
18,-50.94,0.74,26.0,1.0,28.06,1.0,27.0,0.06,60.81,30.98,3.51,0.67,26.0,0.0,0.0,0.05
19,-4.45,0.46,54.0,1.0,56.12,1.0,55.0,0.12,46.28,24.08,0.61,0.67,0.0,0.0,54.0,0.05
20,51.22,0.05,95.0,2.0,98.56,2.5,96.0,0.06,96.11,9.55,20.77,0.67,95.0,0.0,0.0,0.06
21,47.61,0.08,92.0,2.0,95.54,2.5,93.0,0.04,40.0,4.47,5.83,0.67,0.0,92.0,0.0,0.06
22,85.65,0.42,58.0,1.0,60.12,1.0,59.0,0.12,61.6,22.57,2.76,0.67,0.0,0.0,58.0,0.08
23,-13.85,0.52,48.0,1.0,50.05,1.0,49.0,0.05,70.21,12.53,12.09,0.67,48.0,0.0,0.0,0.05
24,45.13,0.1,90.0,2.0,93.61,2.5,91.0,0.11,25.8,8.67,4.77,0.67,90.0,0.0,0.0,0.06
25,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,80.34,19.48,4.02,0.67,100.0,0.0,0.0,0.06
26,64.35,0.09,91.0,2.0,94.62,2.5,92.0,0.12,20.62,6.31,4.07,0.67,0.0,0.0,91.0,0.07
27,-13.87,0.52,48.0,1.0,50.12,1.0,49.0,0.12,61.13,24.17,0.17,0.67,0.0,0.0,48.0,0.05
28,42.65,0.12,88.0,2.0,91.57,2.5,89.0,0.07,113.38,45.28,1.35,0.67,88.0,0.0,0.0,0.06
29,-43.9,0.7,30.0,1.0,32.1,1.0,31.0,0.1,21.41,15.88,2.9,0.67,30.0,0.0,0.0,0.05
30,85.67,0.42,58.0,1.0,60.06,1.0,59.0,0.06,33.06,30.61,2.2,0.67,58.0,0.0,0.0,0.06
31,62.0,0.06,94.0,2.0,97.61,2.5,95.0,0.11,27.06,5.84,4.54,0.67,94.0,0.0,0.0,0.07
