episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
47,54.97,0.0,100.0,8.0,108.62,7.5,101.0,0.12,86.36,22.72,3.47,0.67,0.0,0.0,100.0,0.06
48,80.32,0.0,100.0,6.34,48.05,5.2,42.74,0.11,75.05,30.94,3.08,0.38,43.0,0.0,57.0,0.06
49,76.41,0.0,100.0,6.04,57.38,6.28,51.02,0.09,143.22,20.83,2.87,0.34,49.0,0.0,51.0,0.07
50,57.06,0.0,100.0,2.0,103.62,2.5,101.0,0.12,60.04,27.65,0.53,0.67,0.0,0.0,100.0,0.06
51,55.0,0.0,100.0,8.0,108.56,7.5,101.0,0.06,90.0,45.68,2.29,0.67,100.0,0.0,0.0,0.07
52,67.83,0.0,100.0,4.0,77.89,5.0,72.78,0.11,73.85,39.99,2.08,0.55,17.0,0.0,83.0,0.06
53,65.37,0.0,100.0,4.52,83.76,5.33,78.38,0.05,100.06,28.44,3.4,0.58,87.0,13.0,0.0,0.07
54,56.05,0.0,100.0,4.0,106.05,5.0,101.0,0.05,104.53,40.84,2.76,0.67,100.0,0.0,0.0,0.07
55,76.37,0.0,100.0,8.3,57.47,5.88,51.5,0.1,48.12,25.4,2.34,0.37,45.0,0.0,55.0,0.07
56,67.55,0.0,100.0,14.4,78.55,9.5,69.0,0.05,112.85,30.95,1.57,0.53,80.0,20.0,0.0,0.08
57,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,106.15,16.28,2.41,0.67,100.0,0.0,0.0,0.07
58,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,118.15,10.09,1.79,0.67,100.0,0.0,0.0,0.06
59,74.77,0.0,100.0,1.29,61.31,1.44,59.82,0.05,110.09,45.62,1.21,0.67,100.0,0.0,0.0,0.07
60,72.82,0.0,100.0,3.46,65.96,4.33,61.58,0.06,125.81,38.3,2.65,0.49,73.0,27.0,0.0,0.07
61,56.05,0.0,100.0,4.0,106.05,5.0,101.0,0.05,94.05,45.69,1.6,0.67,100.0,0.0,0.0,0.07
62,73.56,0.0,100.0,6.38,64.19,6.15,57.94,0.1,154.46,31.56,4.9,0.49,27.0,0.0,73.0,0.07
63,56.04,0.0,100.0,4.0,106.05,5.0,101.0,0.05,108.13,11.43,0.2,0.67,100.0,0.0,0.0,0.06
64,56.04,0.0,100.0,4.0,106.07,5.0,101.0,0.07,64.05,44.58,3.54,0.67,100.0,0.0,0.0,0.06
65,80.94,0.0,100.0,5.41,46.55,5.09,41.38,0.08,117.71,42.57,3.46,0.42,63.0,0.0,37.0,0.07
66,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,114.44,44.83,2.8,0.67,100.0,0.0,0.0,0.06
67,57.06,0.0,100.0,2.0,103.62,2.5,101.0,0.12,79.25,42.07,1.92,0.67,0.0,0.0,100.0,0.06
68,55.0,0.0,100.0,8.0,108.54,7.5,101.0,0.04,36.63,3.3,5.53,0.67,0.0,100.0,0.0,0.06
69,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,80.28,37.69,0.11,0.67,100.0,0.0,0.0,0.06
70,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,111.56,45.33,1.38,0.67,100.0,0.0,0.0,0.07
71,69.01,0.0,100.0,6.4,75.06,6.0,69.0,0.06,72.71,41.28,1.35,0.67,100.0,0.0,0.0,0.06
72,76.69,0.0,100.0,3.8,56.7,3.6,53.0,0.1,63.47,21.11,2.94,0.4,40.0,0.0,60.0,0.07
73,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,132.47,36.25,3.3,0.67,100.0,0.0,0.0,0.06
74,74.74,0.0,100.0,16.0,61.38,10.0,51.32,0.06,80.54,34.0,3.52,0.36,46.0,54.0,0.0,0.06
75,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,100.68,31.51,1.35,0.67,0.0,0.0,100.0,0.06
76,69.39,0.0,100.0,3.7,74.17,2.62,71.48,0.07,131.11,38.33,3.17,0.55,82.0,0.0,18.0,0.06
77,69.49,0.0,100.0,6.52,73.93,6.05,67.82,0.06,88.5,21.68,4.8,0.53,79.0,21.0,0.0,0.07
78,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,66.86,34.58,1.42,0.67,0.0,0.0,100.0,0.06
79,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,113.49,44.07,1.57,0.67,100.0,0.0,0.0,0.07
80,73.7,0.0,100.0,11.8,63.87,8.25,55.5,0.12,80.57,28.87,5.78,0.67,0.0,0.0,100.0,0.06
81,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,131.72,45.96,4.06,0.67,100.0,0.0,0.0,0.06
82,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,74.14,37.74,3.85,0.67,100.0,0.0,0.0,0.06
83,77.79,0.0,100.0,2.0,54.09,2.5,51.5,0.09,127.38,41.12,4.55,0.37,55.0,0.0,45.0,0.06
84,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,145.17,36.81,0.54,0.67,0.0,0.0,100.0,0.06
85,57.71,0.0,100.0,1.0,102.07,1.0,101.0,0.07,88.64,46.07,2.89,0.67,100.0,0.0,0.0,0.07
86,62.03,0.0,100.0,4.96,91.74,5.4,86.28,0.06,87.37,12.63,4.6,0.61,92.0,0.0,8.0,0.06
87,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,109.5,45.69,1.82,0.67,100.0,0.0,0.0,0.07
88,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,115.32,41.08,1.29,0.67,0.0,0.0,100.0,0.06
89,56.05,0.0,100.0,4.0,106.05,5.0,101.0,0.05,135.74,40.79,1.18,0.67,100.0,0.0,0.0,0.06
90,76.79,0.0,100.0,4.64,56.48,4.7,51.72,0.06,71.01,41.14,1.76,0.37,44.0,56.0,0.0,0.06
91,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,64.62,44.37,5.08,0.67,0.0,100.0,0.0,0.07
92,75.13,0.0,100.0,11.52,60.44,8.6,51.72,0.12,47.9,30.99,3.85,0.37,44.0,0.0,56.0,0.06
93,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,104.04,26.78,1.85,0.67,100.0,0.0,0.0,0.07
94,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,132.79,37.86,2.19,0.67,100.0,0.0,0.0,0.07
95,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,119.87,11.65,8.17,0.67,100.0,0.0,0.0,0.06
96,75.91,0.0,100.0,9.64,58.59,7.35,51.18,0.06,98.75,36.79,2.49,0.35,53.0,47.0,0.0,0.06
97,72.62,0.0,100.0,5.12,66.43,5.7,60.68,0.05,150.06,41.06,0.68,0.67,100.0,0.0,0.0,0.07
98,78.31,0.0,100.0,1.5,52.83,1.75,51.0,0.08,50.63,26.29,3.31,0.33,0.0,50.0,50.0,0.07
99,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,119.5,43.83,3.59,0.67,100.0,0.0,0.0,0.07
100,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,65.37,38.12,2.76,0.67,100.0,0.0,0.0,0.06
