,timestamp,SessionID,CandidateID,Config,latency,throttle,throuput_dl,throuput_ul,packetsize_dl,packetsize_ul,inter_arrival_dl,inter_arrival_ul
0,0,5,A,A,0.0,0.0,154.072,102.52,221.367816091954,177.98611111111111,0.011361172413793103,0.013722791666666668
1,1,5,A,A,0.0,0.0,158.36,100.832,222.41573033707866,175.05555555555554,0.01112420224719101,0.013726333333333333
2,2,5,A,A,0.0,0.0,161.16,113.568,231.55172413793105,199.94366197183098,0.011282632183908046,0.013893633802816899
3,3,5,A,A,0.0,0.0,140.408,116.872,197.20224719101122,202.90277777777777,0.011144606741573033,0.013731583333333333
4,4,5,A,A,0.0,0.0,153.088,112.352,217.45454545454547,195.05555555555554,0.01122305681818182,0.013751805555555552
5,5,5,A,A,0.0,0.0,160.96,110.2,228.63636363636363,194.01408450704224,0.011144113636363634,0.013761098591549288
6,6,5,A,A,0.0,0.0,162.28,113.104,227.92134831460675,196.36111111111111,0.011134123595505625,0.013728402777777784
7,7,5,A,A,0.0,0.0,162.848,112.384,231.3181818181818,195.11111111111111,0.011185204545454545,0.013736527777777773
8,8,5,A,A,0.0,0.0,161.336,113.536,226.59550561797752,197.11111111111111,0.011077887640449438,0.013724958333333327
9,9,5,A,A,0.0,0.0,160.272,110.848,238.5,192.44444444444446,0.011810773809523794,0.013754347222222204
10,10,5,A,A,0.0,0.0,149.92,132.984,253.24324324324326,195.56470588235294,0.013353783783783782,0.011629917647058823
11,11,5,A,A,0.0,0.0,163.744,110.2,232.5909090909091,194.01408450704224,0.011180784090909078,0.013750788732394355
12,12,5,A,A,0.0,0.0,160.656,107.576,228.20454545454547,186.76388888888889,0.011264488636363635,0.013709541666666651
13,13,5,A,A,0.0,0.0,160.696,108.608,225.69662921348313,188.55555555555554,0.011144000000000001,0.013728680555555551
14,14,5,A,A,0.0,0.0,157.856,111.232,224.22727272727272,193.11111111111111,0.011155840909090912,0.013723013888888882
15,15,5,A,A,0.0,0.0,160.152,111.488,224.93258426966293,193.55555555555554,0.011159134831460684,0.013752083333333331
