,timestamp,SessionID,CandidateID,Config,latency,throttle,throuput_dl,throuput_ul,packetsize_dl,packetsize_ul,inter_arrival_dl,inter_arrival_ul
0,0,7,B,B,500.0,0.0,633.952,538.456,426.0430107526882,378.1292134831461,0.005352225806451613,0.005553314606741573
1,1,7,B,B,500.0,0.0,626.136,615.08,434.81666666666666,422.44505494505495,0.005490911111111111,0.005442538461538461
2,2,7,B,B,500.0,0.0,636.36,753.992,444.3854748603352,509.45405405405404,0.005458363128491621,0.00534447027027027
3,3,7,B,B,500.0,0.0,666.736,722.128,677.5772357723578,547.0666666666667,0.007553235772357722,0.005986890909090908
4,4,7,B,B,500.0,0.0,641.112,670.672,482.76506024096386,517.4938271604939,0.005524548192771082,0.006101277777777775
5,5,7,B,B,500.0,0.0,600.512,606.288,403.5698924731183,423.3854748603352,0.005305639784946238,0.005443648044692739
6,6,7,B,B,500.0,0.0,549.44,545.0,385.8426966292135,374.3131868131868,0.005550775280898874,0.005428648351648355
7,7,7,B,B,500.0,0.0,546.216,626.384,377.2209944751381,425.5326086956522,0.0055111823204419905,0.005377630434782609
8,8,7,B,B,500.0,0.0,434.432,672.8,369.4149659863946,475.1412429378531,0.00664287074829932,0.005584022598870057
9,9,7,B,B,500.0,0.0,541.048,629.888,397.82941176470587,449.92,0.0057901411764705825,0.005632645714285717
10,10,7,B,B,500.0,0.0,556.968,627.808,380.44262295081967,433.56906077348066,0.005429606557377047,0.005463375690607733
11,11,7,B,B,500.0,0.0,547.4,591.96,378.03867403314916,420.4261363636364,0.005385458563535907,0.005615318181818182
12,12,7,B,B,500.0,0.0,566.656,602.592,387.0601092896175,425.5593220338983,0.005383092896174863,0.005534135593220341
13,13,7,B,B,500.0,0.0,587.112,548.872,409.99441340782124,385.4438202247191,0.005517586592178772,0.00556492696629214
14,14,7,B,B,500.0,0.0,591.48,557.696,410.75,376.8216216216216,0.005477672222222226,0.005346524324324318
15,15,7,B,B,500.0,0.0,563.728,543.84,391.47777777777776,377.6666666666667,0.005489300000000006,0.005489222222222227
16,16,7,B,B,500.0,0.0,567.72,550.624,379.4919786096257,370.0430107526882,0.005254663101604274,0.005312973118279579
17,17,7,B,B,500.0,0.0,571.92,459.12,386.43243243243245,324.23728813559325,0.005328324324324323,0.005503265536723157
18,18,7,B,B,500.0,0.0,574.744,547.888,394.74175824175825,366.2352941176471,0.005439005494505501,0.005285791443850268
19,19,7,B,B,500.0,0.0,644.944,546.192,428.8191489361702,375.13186813186815,0.005258680851063824,0.005434016483516496
20,20,7,B,B,500.0,0.0,629.736,638.696,430.1475409836066,433.8967391304348,0.005315475409836069,0.005371076086956509
21,21,7,B,B,500.0,0.0,689.064,644.072,455.73015873015873,439.9398907103825,0.005269264550264552,0.005390065573770486
22,22,7,B,B,500.0,0.0,638.432,603.84,448.3370786516854,410.2173913043478,0.005464561797752801,0.005373190217391302
23,23,7,B,B,500.0,0.0,628.384,601.288,413.41052631578947,415.25414364640886,0.005214826315789473,0.005386878453038667
24,24,7,B,B,500.0,0.0,649.768,603.672,443.8306010928962,410.1032608695652,0.005357923497267755,0.005372342391304343
25,25,7,B,B,500.0,0.0,664.048,648.0,451.1195652173913,435.48387096774195,0.005417766304347827,0.005317763440860221
26,26,7,B,B,500.0,0.0,623.864,608.4,430.8453038674033,417.85714285714283,0.005405033149171279,0.005430703296703299
27,27,7,B,B,500.0,0.0,634.616,563.24,428.79459459459457,393.32402234636874,0.0053773297297297325,0.005513011173184358
28,28,7,B,B,500.0,0.0,645.832,601.016,451.0,422.061797752809,0.005523379888268158,0.005465808988764042
29,29,7,B,B,500.0,0.0,658.448,644.496,452.2307692307692,433.1290322580645,0.005429956043956059,0.005313344086021495
30,30,7,B,B,500.0,0.0,649.984,588.408,456.44943820224717,410.8994413407821,0.005554882022471897,0.005531888268156439
31,31,7,B,B,500.0,0.0,610.648,542.488,436.1771428571429,380.96067415730334,0.005646577142857134,0.005551168539325825
32,32,7,B,B,500.0,0.0,627.28,535.728,435.6111111111111,365.9344262295082,0.005511405555555586,0.005403530054644822
33,33,7,B,B,500.0,0.0,634.792,519.568,440.8277777777778,354.89617486338796,0.0054916555555555545,0.005313240437158447
34,34,7,B,B,500.0,0.0,675.8,540.352,461.6120218579235,369.09289617486337,0.005390612021857936,0.005325366120218577
35,35,7,B,B,500.0,0.0,646.96,516.28,454.3258426966292,358.52777777777777,0.005568938202247177,0.005491161111111096
36,36,7,B,B,500.0,0.0,632.0,545.448,438.8888888888889,376.69060773480663,0.005491216666666669,0.00547331491712708
37,37,7,B,B,500.0,0.0,613.896,524.28,428.69832402234636,360.0824175824176,0.005530368715083799,0.0054325000000000345
38,38,7,B,B,500.0,0.0,591.648,598.032,406.35164835164835,399.75401069518716,0.005399038461538454,0.005286128342245957
39,39,7,B,B,500.0,0.0,634.24,517.192,428.5405405405405,361.16759776536315,0.005288789189189183,0.005525865921787726
40,40,7,B,B,500.0,0.0,617.472,604.648,417.2108108108108,415.2802197802198,0.005301540540540526,0.005359950549450574
41,41,7,B,B,500.0,0.0,610.472,678.472,412.4810810810811,458.427027027027,0.005309108108108114,0.005345140540540562
42,42,7,B,B,500.0,0.0,611.072,706.224,415.1304347826087,472.0748663101604,0.0053432663043478405,0.005294700534759341
43,43,7,B,B,500.0,0.0,621.856,735.136,422.45652173913044,496.71351351351353,0.00532725000000002,0.00534535675675677
44,44,7,B,B,500.0,0.0,604.672,698.128,417.5911602209945,482.1325966850829,0.005468977900552492,0.005455740331491733
45,45,7,B,B,500.0,0.0,574.52,746.76,396.76795580110496,504.56756756756755,0.005455276243093937,0.00534209189189189
46,46,7,B,B,500.0,0.0,609.592,725.808,411.8864864864865,498.4945054945055,0.005353000000000035,0.005356763736263725
47,47,7,B,B,500.0,0.0,590.384,718.488,412.27932960893855,496.1933701657459,0.005484966480446918,0.005457895027624306
48,48,7,B,B,500.0,0.0,579.024,694.28,406.6179775280899,479.47513812154693,0.00551075842696631,0.0054621436464088275
49,49,7,B,B,500.0,0.0,595.264,730.128,411.0939226519337,501.46153846153845,0.005407602209944731,0.00542843956043954
50,50,7,B,B,500.0,0.0,614.504,764.88,415.20540540540543,528.232044198895,0.0053257027027027145,0.005453104972375691
51,51,7,B,B,500.0,0.0,642.152,591.16,441.03846153846155,492.6333333333333,0.005455258241758246,0.0064814266666666735
52,52,7,B,B,500.0,0.0,670.4,559.976,476.1363636363636,397.71022727272725,0.0056271363636363906,0.005536028409090884
53,53,7,B,B,500.0,0.0,595.616,691.08,409.0769230769231,474.64285714285717,0.005440269230769248,0.005434450549450539
54,54,7,B,B,500.0,0.0,565.52,633.256,388.4065934065934,437.3314917127072,0.005461043956043954,0.005458331491712702
55,55,7,B,B,500.0,0.0,606.096,579.272,411.75,402.27222222222224,0.0053716358695652,0.0054927166666666714
56,56,7,B,B,500.0,0.0,642.944,605.192,429.7754010695187,415.65384615384613,0.005324267379679142,0.005419862637362643
57,57,7,B,B,500.0,0.0,592.76,491.232,428.29479768786126,386.188679245283,0.005649040462427731,0.0060333144654088015
58,58,7,B,B,500.0,0.0,588.056,590.104,412.96067415730334,414.3988764044944,0.005505033707865149,0.005478730337078658
59,59,7,B,B,500.0,0.0,640.84,541.64,435.3532608695652,382.5141242937853,0.0053777445652173975,0.005576841807909619
60,60,7,B,B,500.0,0.0,631.84,628.376,431.58469945355193,429.21857923497265,0.005438448087431724,0.005408803278688503
61,61,7,B,B,500.0,0.0,701.304,558.736,479.0327868852459,388.0111111111111,0.005383256830601116,0.005491861111111144
62,62,7,B,B,500.0,0.0,691.472,588.312,480.18888888888887,413.14044943820227,0.0054706388888888565,0.005543584269662932
63,63,7,B,B,500.0,0.0,664.528,614.36,469.2994350282486,426.6388888888889,0.005494943502824867,0.005400555555555542
64,64,7,B,B,500.0,0.0,683.24,562.568,456.71122994652404,388.51381215469615,0.00534117647058825,0.005456331491712766
65,65,7,B,B,500.0,0.0,711.36,658.48,505.22727272727275,454.7513812154696,0.005523931818181812,0.005471259668508342
66,66,7,B,B,500.0,0.0,691.784,537.488,485.80337078651684,379.5819209039548,0.005591016853932633,0.005520118644067831
67,67,7,B,B,500.0,0.0,705.128,633.608,471.3422459893048,423.5347593582888,0.0052539090909091285,0.005283887700534722
68,68,7,B,B,500.0,0.0,693.0,577.168,478.5911602209945,398.5966850828729,0.0054663259668508565,0.0054512817679558115
69,69,7,B,B,500.0,0.0,693.616,598.032,473.78142076502735,408.4918032786885,0.005399726775956309,0.005399180327868859
70,70,7,B,B,500.0,0.0,663.2,560.168,473.7142857142857,404.7456647398844,0.005581422857142846,0.00564601734104044
71,71,7,B,B,500.0,0.0,693.168,558.904,486.7752808988764,381.76502732240436,0.00555969662921349,0.005329573770491816
72,72,7,B,B,500.0,0.0,715.952,590.952,491.72527472527474,412.67597765363126,0.005474456043955989,0.005460039106145222
73,73,7,B,B,500.0,0.0,696.776,550.744,497.69714285714286,376.1912568306011,0.005624742857142857,0.005412524590163953
74,74,7,B,B,500.0,0.0,742.208,598.824,498.7956989247312,409.0327868852459,0.005343413978494639,0.005401732240437168
75,75,7,B,B,500.0,0.0,740.104,595.688,500.07027027027027,404.67934782608694,0.005270994594594579,0.005299570652173921
76,76,7,B,B,500.0,0.0,761.088,562.472,517.0434782608696,386.3131868131868,0.00531336413043472,0.005429879120879096
77,77,7,B,B,500.0,0.0,772.12,548.592,524.5380434782609,378.8618784530387,0.005416032608695648,0.005464977900552541
78,78,7,B,B,500.0,0.0,731.528,565.232,508.00555555555553,386.08743169398906,0.00544210000000002,0.005402633879781405
79,79,7,B,B,500.0,0.0,754.016,564.328,506.73118279569894,379.252688172043,0.005325198924731115,0.0053027096774193
80,80,7,B,B,500.0,0.0,723.88,576.648,489.1081081081081,393.88524590163934,0.005303972972972962,0.005402912568306068
81,81,7,B,B,500.0,0.0,708.816,552.992,489.51381215469615,379.8021978021978,0.005425922651933671,0.005429373626373629
82,82,7,B,B,500.0,0.0,722.656,583.72,488.2810810810811,398.7158469945355,0.005253313513513585,0.005252524590163952
83,83,7,B,B,500.0,0.0,724.952,581.192,489.8324324324324,394.83152173913044,0.005372524324324381,0.005372048913043538
84,84,7,B,B,500.0,0.0,774.864,573.856,520.741935483871,394.13186813186815,0.005272526881720406,0.0054333351648351595
85,85,7,B,B,500.0,0.0,753.952,553.744,506.68817204301075,382.41988950276243,0.005300725806451601,0.005448331491712708
