episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
47,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,63.46,44.15,4.87,0.67,100.0,0.0,0.0,0.07
48,57.09,0.0,100.0,2.0,103.56,2.5,101.0,0.06,18.76,19.17,2.08,0.67,100.0,0.0,0.0,0.07
49,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,76.19,33.8,0.99,0.67,0.0,0.0,100.0,0.07
50,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,19.25,3.67,3.93,0.67,100.0,0.0,0.0,0.08
51,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,119.07,46.29,3.08,0.67,100.0,0.0,0.0,0.07
52,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,20.05,6.15,1.54,0.67,100.0,0.0,0.0,0.07
53,57.06,0.0,100.0,2.0,103.62,2.5,101.0,0.12,104.34,42.43,0.19,0.67,0.0,0.0,100.0,0.07
54,56.02,0.0,100.0,4.0,106.12,5.0,101.0,0.12,21.5,16.06,0.84,0.67,100.0,0.0,0.0,0.09
55,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,66.16,9.01,1.82,0.67,0.0,100.0,0.0,0.06
56,57.7,0.0,100.0,1.0,102.09,1.0,101.0,0.09,26.01,14.09,10.24,0.67,100.0,0.0,0.0,0.08
57,57.69,0.0,100.0,1.0,102.11,1.0,101.0,0.11,45.28,37.9,1.79,0.67,0.0,0.0,100.0,0.07
58,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,46.78,3.86,1.25,0.67,0.0,100.0,0.0,0.06
59,57.71,0.0,100.0,1.0,102.06,1.0,101.0,0.06,64.9,8.68,3.16,0.67,100.0,0.0,0.0,0.07
60,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,99.19,45.19,1.42,0.67,100.0,0.0,0.0,0.07
61,56.02,0.0,100.0,4.0,106.12,5.0,101.0,0.12,55.36,38.37,1.65,0.67,0.0,0.0,100.0,0.06
62,57.09,0.0,100.0,2.0,103.56,2.5,101.0,0.06,17.26,13.33,3.29,0.67,100.0,0.0,0.0,0.06
63,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,17.22,3.12,2.69,0.67,0.0,0.0,100.0,0.06
64,57.71,0.0,100.0,1.0,102.08,1.0,101.0,0.08,11.71,4.92,5.35,0.67,100.0,0.0,0.0,0.07
65,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,30.88,3.16,6.27,0.67,0.0,0.0,100.0,0.06
66,56.05,0.0,100.0,4.0,106.05,5.0,101.0,0.05,61.68,21.9,1.57,0.67,100.0,0.0,0.0,0.06
