episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
47,82.44,0.0,100.0,12.28,42.97,8.45,34.42,0.1,33.49,11.27,2.93,0.43,65.0,0.0,35.0,0.07
48,56.05,0.0,100.0,4.0,106.05,5.0,101.0,0.05,125.95,35.51,3.31,0.67,100.0,0.0,0.0,0.06
49,76.22,0.0,100.0,3.59,57.84,3.4,54.38,0.05,117.48,32.08,5.37,0.67,100.0,0.0,0.0,0.07
50,78.27,0.0,100.0,1.47,52.94,1.71,51.18,0.06,93.03,39.34,3.55,0.35,53.0,47.0,0.0,0.06
51,66.8,0.0,100.0,1.91,80.34,1.84,78.38,0.12,81.09,35.4,0.11,0.67,0.0,0.0,100.0,0.06
52,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,103.25,11.69,4.43,0.67,100.0,0.0,0.0,0.06
53,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,82.41,18.88,0.09,0.67,100.0,0.0,0.0,0.06
54,75.8,0.0,100.0,9.4,58.83,7.25,51.5,0.08,120.55,37.36,2.71,0.37,55.0,0.0,45.0,0.06
55,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,93.45,19.4,1.58,0.67,100.0,0.0,0.0,0.06
56,75.3,0.0,100.0,11.68,60.03,8.65,51.32,0.06,39.84,11.72,4.17,0.36,46.0,54.0,0.0,0.06
57,75.62,0.0,100.0,6.4,59.26,4.24,54.92,0.1,97.32,34.41,1.66,0.43,36.0,0.0,64.0,0.06
58,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,132.73,28.26,3.05,0.67,100.0,0.0,0.0,0.08
59,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,138.75,35.15,1.92,0.67,100.0,0.0,0.0,0.06
60,82.04,0.0,100.0,2.61,43.93,3.17,40.66,0.1,32.12,7.45,4.87,0.42,63.0,0.0,37.0,0.06
61,73.15,0.0,100.0,10.64,65.17,8.32,56.78,0.06,126.18,45.49,1.17,0.67,100.0,0.0,0.0,0.06
62,53.93,0.0,100.0,16.0,111.12,10.0,101.0,0.12,64.46,28.19,2.04,0.67,0.0,0.0,100.0,0.06
63,76.14,0.0,100.0,7.88,58.02,5.65,52.28,0.09,84.07,36.7,0.66,0.39,42.0,0.0,58.0,0.06
64,76.53,0.0,100.0,3.2,57.09,4.0,53.0,0.09,104.95,43.41,1.65,0.4,60.0,0.0,40.0,0.06
