episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
1,22.35,0.28,72.0,7.78,72.86,7.36,65.44,0.05,102.95,44.63,1.61,0.63,68.0,4.0,0.0,0.06
2,89.12,0.86,14.0,6.0,15.95,5.89,10.0,0.05,104.11,32.11,2.53,0.57,12.0,2.0,0.0,0.07
3,99.74,0.95,5.0,8.0,13.55,7.5,6.0,0.05,125.57,45.67,2.81,0.67,5.0,0.0,0.0,0.07
4,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,101.63,46.13,3.19,0.67,100.0,0.0,0.0,0.06
5,91.45,0.87,13.0,5.23,11.2,5.77,5.38,0.05,43.6,26.07,1.71,0.46,4.0,9.0,0.0,0.07
6,99.62,0.91,9.0,2.22,11.05,2.78,8.22,0.05,37.06,5.64,6.11,0.59,1.0,8.0,0.0,0.07
7,99.78,0.94,6.0,3.5,9.71,4.33,5.33,0.04,115.01,40.99,2.49,0.56,5.0,1.0,0.0,0.08
8,99.28,0.91,9.0,16.0,20.06,10.0,10.0,0.06,28.89,37.11,3.8,0.67,9.0,0.0,0.0,0.07
9,53.86,0.01,99.0,8.0,107.55,7.5,100.0,0.05,107.21,45.78,3.66,0.67,99.0,0.0,0.0,0.08
10,52.83,0.01,99.0,16.0,110.05,10.0,100.0,0.05,129.87,40.54,3.86,0.67,99.0,0.0,0.0,0.06
11,-67.14,0.83,17.0,2.0,17.03,2.5,14.47,0.06,25.96,25.59,3.96,0.67,17.0,0.0,0.0,0.05
12,99.35,0.87,13.0,5.31,12.9,5.0,7.85,0.05,64.71,20.15,2.53,0.41,8.0,5.0,0.0,0.08
13,99.62,0.91,9.0,1.0,11.04,1.0,10.0,0.04,28.5,10.26,2.73,0.67,0.0,9.0,0.0,0.07
14,99.35,0.89,11.0,14.73,15.19,9.32,5.82,0.06,72.71,27.15,12.57,0.61,10.0,1.0,0.0,0.08
15,-59.93,0.79,21.0,2.67,23.0,2.86,20.1,0.05,96.68,45.97,2.81,0.67,21.0,0.0,0.0,0.04
16,-76.71,0.88,12.0,4.67,15.14,5.42,9.67,0.06,114.44,13.6,2.91,0.67,12.0,0.0,0.0,0.04
17,99.02,0.88,12.0,14.83,20.6,9.38,11.17,0.06,12.08,30.24,1.96,0.61,1.0,11.0,0.0,0.07
18,-74.68,0.87,13.0,1.23,13.51,1.31,12.15,0.05,48.59,28.15,3.46,0.62,1.0,12.0,0.0,0.04
19,-82.38,0.91,9.0,1.0,11.05,1.0,10.0,0.05,44.76,10.65,1.76,0.67,0.0,9.0,0.0,0.04
20,54.77,0.0,100.0,16.0,109.09,10.0,99.02,0.07,32.26,3.53,5.31,0.66,1.0,99.0,0.0,0.07
21,-61.09,0.8,20.0,7.3,13.97,5.62,8.3,0.05,69.49,22.12,8.98,0.37,11.0,9.0,0.0,0.06
22,99.02,0.87,13.0,4.0,19.06,5.0,14.0,0.06,30.11,30.9,0.52,0.67,13.0,0.0,0.0,0.07
23,13.99,0.35,65.0,14.34,59.86,9.31,50.49,0.06,34.16,39.12,0.4,0.67,65.0,0.0,0.0,0.06
24,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,38.65,20.35,1.49,0.67,100.0,0.0,0.0,0.06
25,-28.36,0.62,38.0,10.95,28.42,7.89,20.47,0.05,83.66,36.93,0.79,0.39,16.0,22.0,0.0,0.05
26,98.08,0.79,21.0,2.29,22.88,2.74,20.1,0.05,89.0,36.73,2.12,0.63,20.0,1.0,0.0,0.07
27,99.12,0.86,14.0,1.0,16.06,1.0,15.0,0.06,63.22,41.59,2.47,0.67,14.0,0.0,0.0,0.08
28,55.61,0.0,100.0,15.84,107.08,9.95,97.08,0.05,126.94,35.88,2.54,0.65,98.0,2.0,0.0,0.06
29,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,94.51,45.88,2.1,0.67,100.0,0.0,0.0,0.07
30,99.11,0.82,18.0,1.0,12.82,1.0,11.78,0.05,57.54,19.44,3.09,0.48,5.0,13.0,0.0,0.07
31,99.15,0.87,13.0,2.0,16.55,2.5,14.0,0.05,50.39,34.87,1.38,0.67,0.0,13.0,0.0,0.07
32,21.43,0.35,65.0,10.15,32.5,7.46,24.98,0.05,62.54,31.55,4.29,0.66,64.0,1.0,0.0,0.06
33,-71.26,0.85,15.0,4.0,21.05,5.0,16.0,0.05,70.74,42.66,4.05,0.67,0.0,15.0,0.0,0.05
