episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
47,75.8,0.0,100.0,11.92,58.84,8.72,50.06,0.06,88.11,35.1,2.91,0.67,100.0,0.0,0.0,0.06
48,56.05,0.0,100.0,4.0,106.05,5.0,101.0,0.05,115.36,33.5,3.47,0.67,100.0,0.0,0.0,0.07
49,15.17,0.38,62.0,2.45,35.02,2.94,32.03,0.05,88.16,40.59,2.77,0.67,62.0,0.0,0.0,0.06
50,60.42,0.12,88.0,3.39,43.33,4.18,39.09,0.05,96.09,41.84,2.59,0.67,88.0,0.0,0.0,0.06
51,47.58,0.18,82.0,5.39,48.85,5.09,43.71,0.05,50.79,25.96,2.46,0.41,31.0,51.0,0.0,0.06
52,68.51,0.0,100.0,15.88,76.26,9.95,66.26,0.05,108.83,31.92,3.16,0.53,79.0,21.0,0.0,0.06
53,76.01,0.0,100.0,4.28,58.33,4.4,53.88,0.05,70.57,31.13,1.89,0.41,38.0,62.0,0.0,0.08
54,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,17.46,10.24,3.08,0.67,100.0,0.0,0.0,0.06
55,86.16,0.43,57.0,1.0,59.05,1.0,58.0,0.05,89.97,25.27,1.84,0.67,57.0,0.0,0.0,0.06
56,85.61,0.45,55.0,8.0,63.55,7.5,56.0,0.05,61.13,26.52,4.24,0.67,0.0,55.0,0.0,0.08
57,43.82,0.21,79.0,4.65,43.89,4.32,39.52,0.05,75.65,44.84,3.39,0.32,39.0,39.0,1.0,0.06
58,89.93,0.35,65.0,2.83,38.02,3.54,34.43,0.05,93.88,27.58,4.43,0.39,38.0,27.0,0.0,0.07
59,88.06,0.45,55.0,2.22,52.89,2.58,50.25,0.05,115.29,34.82,2.18,0.67,55.0,0.0,0.0,0.07
60,43.0,0.22,78.0,1.51,40.85,1.77,39.03,0.05,84.6,38.6,3.73,0.32,38.0,39.0,1.0,0.06
61,75.96,0.0,100.0,6.28,58.46,6.42,51.98,0.05,90.06,37.89,3.45,0.38,57.0,43.0,0.0,0.06
62,61.81,0.0,100.0,2.0,92.28,2.5,89.72,0.06,91.33,12.06,6.75,0.63,94.0,6.0,0.0,0.06
63,29.88,0.3,70.0,4.77,35.55,3.67,31.83,0.05,46.35,4.77,5.23,0.4,28.0,42.0,0.0,0.06
64,82.78,0.0,100.0,4.5,42.17,4.97,37.14,0.05,83.38,27.92,2.7,0.67,100.0,0.0,0.0,0.07
65,90.96,0.43,57.0,3.16,38.91,3.88,34.98,0.05,83.42,23.58,4.13,0.48,41.0,16.0,0.0,0.06
66,60.77,0.0,100.0,4.0,94.76,5.0,89.72,0.04,85.79,43.32,3.01,0.63,94.0,6.0,0.0,0.07
67,57.92,0.0,100.0,2.0,101.57,2.5,99.02,0.05,105.48,37.31,5.44,0.67,100.0,0.0,0.0,0.06
68,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,62.34,29.72,1.8,0.67,0.0,100.0,0.0,0.06
69,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,47.48,11.4,7.56,0.67,0.0,100.0,0.0,0.06
70,80.03,0.0,100.0,9.0,48.72,6.25,42.42,0.05,83.38,19.88,2.84,0.33,50.0,50.0,0.0,0.07
71,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,84.76,45.98,4.74,0.67,100.0,0.0,0.0,0.06
72,89.32,0.5,50.0,1.0,52.05,1.0,51.0,0.05,102.77,45.48,1.25,0.67,50.0,0.0,0.0,0.07
73,66.96,0.0,100.0,7.32,79.97,7.08,72.78,0.12,24.21,5.05,4.37,0.67,0.0,0.0,100.0,0.06
74,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,67.0,12.4,2.84,0.67,0.0,100.0,0.0,0.06
75,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,120.94,13.27,1.48,0.67,100.0,0.0,0.0,0.06
76,85.07,0.4,60.0,4.2,60.48,5.12,55.3,0.05,103.54,37.29,4.04,0.67,60.0,0.0,0.0,0.08
77,71.12,0.0,100.0,13.76,70.03,9.3,60.68,0.05,20.55,13.93,1.7,0.67,100.0,0.0,0.0,0.06
78,54.99,0.0,100.0,8.0,108.56,7.5,101.0,0.06,70.63,44.69,4.16,0.67,100.0,0.0,0.0,0.06
79,77.15,0.0,100.0,9.26,55.61,6.42,49.14,0.05,63.33,10.61,8.23,0.67,100.0,0.0,0.0,0.06
80,69.49,0.0,100.0,6.52,73.92,6.05,67.82,0.05,16.41,7.44,3.65,0.67,100.0,0.0,0.0,0.07
