episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,0.93,0.33,67,11.25,26.07,5.5,20.57,-0.84,2.45,2.62,-0.5,-0.7,0.54,0.37,0.49,0.24,0.49,0.58,0.14
2,10.8,0.26,74,24.76,59.04,5.39,53.65,-1.32,4.4,3.64,-0.82,-1.21,1.01,0.61,0.68,0.23,0.5,0.55,0.14
3,12.4,0.26,74,10.43,95.31,3.77,91.54,-1.09,3.86,3.43,-0.69,-1.24,0.94,0.69,0.86,0.2,0.48,0.53,0.14
4,20.87,0.21,79,32.33,144.46,7.63,136.84,-0.36,0.95,1.36,-0.2,-0.53,0.26,0.37,0.75,0.35,0.47,0.52,0.13
5,18.13,0.22,78,23.51,171.3,5.87,165.44,-0.7,2.02,1.67,-0.41,-0.68,0.49,0.41,0.64,0.32,0.48,0.33,0.12
6,24.27,0.19,81,22.32,210.37,5.8,204.57,-0.17,-0.3,-0.03,-0.02,-0.01,-0.11,0.14,0.44,0.52,0.47,0.61,0.16
7,9.53,0.29,71,10.34,246.4,3.53,242.87,-0.41,1.17,2.04,-0.25,-0.63,0.11,0.46,0.86,0.28,0.46,0.63,0.15
8,21.93,0.2,80,21.6,287.56,5.16,282.4,-0.92,3.32,2.93,-0.57,-1.1,0.78,0.62,0.79,0.28,0.48,0.5,0.14
9,8.47,0.31,69,29.35,328.3,6.38,321.91,0.07,-0.69,0.12,0.11,-0.12,-0.14,0.26,0.71,0.38,0.43,0.7,0.12
10,23.0,0.2,80,45.6,370.56,9.14,361.42,-0.92,2.96,2.55,-0.56,-0.94,0.77,0.54,0.74,0.19,0.46,0.35,0.12
11,23.53,0.2,80,57.6,415.5,9.7,405.8,-0.05,-0.47,0.03,0.07,-0.03,-0.21,0.21,0.49,0.49,0.46,0.55,0.15
12,13.33,0.25,75,6.52,443.19,3.43,439.76,-0.96,2.82,2.27,-0.55,-0.77,0.63,0.39,0.52,0.35,0.49,0.56,0.12
13,27.8,0.17,83,10.84,478.94,4.22,474.72,-0.6,1.47,1.61,-0.31,-0.46,0.21,0.35,0.47,0.46,0.46,0.41,0.17
14,23.4,0.21,79,16.15,527.51,6.06,521.44,0.02,-0.6,0.11,0.07,-0.1,-0.19,0.23,0.62,0.4,0.44,0.62,0.12
15,15.87,0.25,75,21.76,562.43,6.67,555.76,-0.2,-0.23,-0.04,-0.01,0.04,-0.1,0.15,0.27,0.48,0.46,0.63,0.13
16,29.93,0.15,85,17.79,605.75,7.07,598.68,-0.57,1.62,1.49,-0.33,-0.63,0.35,0.42,0.66,0.38,0.47,0.37,0.12
17,24.13,0.17,83,12.43,642.43,4.5,637.93,-1.5,5.17,4.47,-0.96,-1.43,0.99,0.71,0.75,0.19,0.5,0.6,0.12
18,16.8,0.24,76,22.13,685.29,6.74,678.55,-0.5,1.2,1.02,-0.26,-0.44,0.22,0.36,0.57,0.36,0.46,0.38,0.13
19,19.13,0.22,78,16.87,736.18,5.85,730.33,-0.73,2.26,1.96,-0.44,-0.76,0.67,0.44,0.72,0.23,0.47,0.26,0.12
20,22.07,0.2,80,21.2,762.51,6.76,755.75,-0.66,1.68,1.46,-0.35,-0.5,0.33,0.36,0.49,0.4,0.47,0.42,0.14
21,20.67,0.2,80,28.32,812.92,7.4,805.52,-0.69,2.08,1.3,-0.37,-0.64,0.5,0.41,0.54,0.42,0.49,0.31,0.81
22,28.33,0.14,86,2.5,856.96,1.75,855.21,-0.86,2.43,1.73,-0.5,-0.71,0.58,0.35,0.58,0.28,0.51,0.58,0.12
23,37.6,0.13,87,29.15,857.88,7.81,850.07,0.12,-0.77,0.1,0.13,-0.13,-0.18,0.32,0.72,0.39,0.42,0.75,0.14
24,42.73,0.08,92,31.91,941.08,6.9,934.17,-0.02,-0.49,-0.02,0.07,-0.05,-0.21,0.21,0.5,0.49,0.45,0.59,0.15
25,37.4,0.08,92,39.3,994.04,8.8,985.24,-1.35,4.4,4.73,-0.88,-1.29,0.94,0.66,0.73,0.21,0.51,0.56,0.15
26,40.73,0.08,92,3.3,1031.5,2.26,1029.24,-0.97,3.5,2.33,-0.59,-1.12,0.82,0.66,0.86,0.2,0.47,0.5,0.13
27,42.07,0.07,93,17.61,1039.74,6.64,1033.1,-0.65,2.21,2.53,-0.38,-0.83,0.57,0.57,0.78,0.29,0.47,0.57,0.15
28,35.47,0.1,90,32.57,1161.98,7.16,1154.82,-1.61,5.82,4.18,-1.03,-1.66,1.36,0.82,0.89,0.06,0.5,0.59,0.15
29,40.4,0.07,93,19.37,1195.97,7.17,1188.8,-0.66,1.96,1.87,-0.36,-0.61,0.46,0.44,0.53,0.42,0.49,0.28,0.15
30,46.27,0.05,95,24.05,1206.17,5.84,1200.34,-0.5,1.62,1.77,-0.28,-0.7,0.5,0.5,0.77,0.32,0.46,0.6,0.14
31,46.8,0.05,95,27.75,1269.02,6.72,1262.29,-0.11,-0.37,-0.05,0.03,-0.01,-0.21,0.22,0.4,0.47,0.46,0.51,0.12
32,38.33,0.1,90,37.08,1334.08,8.08,1326.0,-0.16,-0.3,-0.11,0.01,0.02,-0.08,0.08,0.37,0.57,0.46,0.59,0.13
33,40.6,0.08,92,57.39,1345.26,9.69,1335.57,-0.65,2.17,1.89,-0.4,-0.86,0.62,0.5,0.85,0.24,0.47,0.57,0.12
34,38.07,0.08,92,4.42,1415.94,2.88,1413.07,-1.04,3.78,3.16,-0.65,-1.2,0.79,0.68,0.83,0.26,0.5,0.53,0.14
35,44.6,0.05,95,24.55,1453.17,6.27,1446.91,-0.6,1.77,2.36,-0.35,-0.67,0.44,0.4,0.65,0.32,0.48,0.37,0.14
