episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,39.45,0.22,78,11.08,27.41,5.41,22.0,0.13,0.74,5.23,0.15,-1.63,1.16,3.37,2.73,3.51,9.62,0.15,0.16
2,39.81,0.18,82,18.59,27.74,4.42,23.32,0.32,0.51,2.4,0.29,-1.14,1.04,2.84,2.23,2.92,7.99,0.16,0.26
3,30.65,0.22,78,10.26,24.35,3.68,20.67,0.66,0.02,0.05,0.52,-0.14,-0.22,2.31,1.72,2.18,6.2,0.05,0.3
4,35.51,0.23,77,25.51,28.64,7.1,21.53,0.18,0.69,5.31,0.18,-1.58,1.07,3.13,2.46,3.25,8.83,0.14,0.22
5,40.84,0.19,81,19.6,28.31,5.42,22.89,0.3,0.46,2.22,0.28,-0.89,0.71,3.12,2.33,3.21,8.67,0.15,0.18
6,31.94,0.24,76,19,26.27,5.56,20.71,0.43,0.26,1.38,0.37,-0.43,0.19,2.58,1.93,2.68,7.2,0.1,0.14
7,40.81,0.18,82,11.72,27.97,3.92,24.05,0.44,0.28,1.34,0.38,-0.51,0.32,2.66,2.07,2.73,7.46,0.19,0.2
8,51.79,0.15,85,17.53,27.36,4.54,22.82,0.3,0.46,2.68,0.28,-0.83,0.63,3.0,2.31,3.12,8.42,0.09,0.14
9,38.84,0.19,81,31.47,29.26,6.12,23.14,0.37,0.39,2.04,0.33,-0.79,0.61,2.73,2.26,2.85,7.84,0.16,0.17
10,38.79,0.23,77,50.29,30.01,9.36,20.65,0.27,0.52,2.8,0.26,-1.01,0.93,3.08,2.42,3.1,8.6,0.08,0.19
11,21.74,0.29,71,54.08,29.25,9.54,19.72,0.52,0.18,0.78,0.43,-0.4,0.06,2.66,2.11,2.51,7.28,0.12,0.17
12,29.1,0.26,74,6.26,25.24,3.32,21.92,0.22,0.61,3.25,0.22,-1.31,1.1,3.16,2.57,3.26,8.99,0.17,0.14
13,45.03,0.16,84,13.17,27.27,4.72,22.55,0.4,0.33,2.1,0.34,-0.67,0.44,2.74,2.23,2.94,7.9,0.09,0.13
14,44.57,0.17,83,16.53,29.02,6.03,22.99,0.43,0.33,1.52,0.36,-0.79,0.42,2.66,1.95,2.74,7.35,0.14,0.15
15,23.82,0.28,72,21.51,26.42,6.84,19.58,0.37,0.41,3.61,0.32,-0.98,0.54,2.69,2.07,2.71,7.47,0.1,0.2
16,58.72,0.12,88,16.82,30.46,6.94,23.52,0.14,0.74,5.61,0.15,-1.7,1.27,3.3,2.62,3.4,9.32,0.08,0.17
17,32.31,0.23,77,11.69,25.23,4.53,20.7,0.32,0.47,3.25,0.29,-1.01,0.73,2.74,2.03,2.77,7.53,0.08,0.16
18,38.53,0.17,83,19.83,28.25,6.32,21.93,0.62,0.04,0.01,0.5,-0.05,-0.2,2.26,1.66,2.26,6.19,0.05,0.16
19,28.77,0.25,75,17.55,26.55,6.37,20.19,0.61,0.03,0.07,0.48,-0.14,-0.11,2.29,1.71,2.35,6.35,0.08,0.16
20,41.62,0.2,80,22.55,28.72,6.9,21.82,0.35,0.42,2.91,0.3,-0.89,0.67,2.78,2.33,2.92,8.02,0.11,0.16
21,51.94,0.12,88,28.64,33.91,7.16,26.75,0.18,0.66,4.46,0.19,-1.4,1.34,3.26,2.74,3.3,9.3,0.22,1.05
22,62.6,0.09,91,2.4,26.27,1.7,24.57,0.29,0.52,3.72,0.26,-1.15,0.72,2.99,2.33,3.07,8.38,0.1,0.17
23,48.98,0.13,87,29.86,34.7,7.98,26.71,0.37,0.34,1.79,0.34,-0.54,0.36,2.92,2.31,2.91,8.14,0.21,0.22
24,46.7,0.13,87,40.69,31.48,7.73,23.75,0.46,0.26,1.61,0.39,-0.56,0.31,2.66,1.92,2.59,7.16,0.11,0.16
25,53.69,0.13,87,38.07,32.02,8.74,23.29,0.45,0.27,0.95,0.38,-0.48,0.43,2.98,2.54,2.92,8.44,0.08,0.16
26,66.5,0.06,94,3.6,28.58,2.43,26.15,0.28,0.5,1.84,0.27,-0.94,0.91,3.02,2.39,3.11,8.52,0.14,0.13
27,48.67,0.11,89,18.6,35.11,6.82,28.29,0.43,0.3,1.8,0.36,-0.65,0.39,2.76,2.25,2.76,7.78,0.26,0.15
28,44.04,0.11,89,26.52,35.72,6.51,29.21,0.6,0.05,0.06,0.48,-0.08,-0.14,2.29,1.71,2.48,6.48,0.29,0.14
29,48.04,0.09,91,17.84,36.84,7.19,29.65,0.55,0.12,0.05,0.44,-0.26,0.11,2.54,1.78,2.55,6.87,0.28,0.16
30,53.13,0.11,89,25.2,33.02,6.01,27.01,0.36,0.39,2.97,0.31,-0.85,0.39,3.0,2.34,3.03,8.37,0.21,0.15
31,65.55,0.06,94,28.17,31.77,6.96,24.81,0.34,0.45,3.78,0.29,-1.1,0.7,2.83,2.31,2.98,8.12,0.06,0.16
32,53.86,0.1,90,29.36,30.99,7.1,23.89,0.65,0.01,0.02,0.51,-0.15,-0.21,2.33,1.73,2.13,6.2,0.07,0.19
33,53.02,0.1,90,56.18,33.68,9.63,24.04,0.59,0.06,0.02,0.48,-0.03,-0.11,2.4,1.96,2.49,6.84,0.08,0.17
