episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,8.64,0.24,76,11.42,28.01,5.57,22.45,-1.59,5.58,4.3,-1.01,-1.54,1.36,3.21,2.42,2.0,0.49,0.62,0.17
2,16.98,0.17,83,19.57,63.59,4.89,58.7,-0.48,1.57,1.77,-0.27,-0.7,0.43,2.82,1.93,3.1,0.46,0.6,0.12
3,15.16,0.22,78,9.92,103.31,3.62,99.69,-0.65,1.7,1.78,-0.38,-0.6,0.37,3.0,2.17,2.63,0.49,0.4,0.12
4,3.41,0.27,73,26.64,149.05,7.35,141.7,-0.38,0.7,0.72,-0.15,-0.23,0.06,2.78,2.04,2.93,0.47,0.47,0.12
5,8.11,0.2,80,24.95,183.64,5.92,177.72,-0.3,-0.12,-0.13,-0.08,0.06,-0.09,2.51,1.9,2.71,0.46,0.75,0.12
6,11.61,0.22,78,24.51,221.04,6.09,214.95,-1.05,3.44,2.0,-0.63,-1.01,0.76,3.09,2.32,2.53,0.48,0.38,0.12
7,9.12,0.24,76,13.38,255.3,4.24,251.05,-1.21,4.31,3.53,-0.78,-1.36,1.01,3.12,2.18,2.67,0.48,0.56,0.12
8,-0.07,0.27,73,22.52,296.33,5.1,291.23,0.13,-0.78,0.08,0.15,-0.12,-0.19,2.48,1.51,3.63,0.43,0.75,0.12
9,14.98,0.2,80,27.49,334.11,5.84,328.28,-0.55,1.54,2.19,-0.32,-0.59,0.24,3.02,2.06,2.89,0.47,0.33,0.14
10,5.91,0.18,82,47.22,379.7,9.21,370.49,0.03,-0.61,-0.06,0.11,-0.07,-0.23,2.7,1.71,3.46,0.46,0.63,0.12
11,-0.16,0.22,78,56.62,419.27,9.65,409.62,-1.04,3.65,3.11,-0.65,-1.2,0.8,3.04,1.92,2.56,0.46,0.52,0.12
12,19.36,0.2,80,5.89,453.73,3.16,450.58,-0.25,0.49,1.32,-0.09,-0.32,-0.02,2.68,1.7,3.3,0.44,0.48,0.12
13,6.7,0.25,75,13.49,494.19,4.67,489.52,0.1,-0.71,-0.06,0.14,-0.11,-0.23,2.69,1.72,3.43,0.46,0.66,0.12
14,13.59,0.2,80,12.4,535.25,5.35,529.9,-0.2,-0.17,-0.04,-0.01,0.06,-0.15,2.58,2.19,2.8,0.46,0.67,0.12
15,-4.5,0.3,70,22.07,573.19,7.16,566.03,-1.78,6.47,4.96,-1.15,-1.8,1.77,3.26,2.56,1.91,0.51,0.69,0.12
16,8.29,0.23,77,17.87,609.33,7.05,602.29,-0.77,2.06,2.0,-0.42,-0.53,0.36,2.88,2.36,2.3,0.48,0.61,0.14
17,11.38,0.21,79,11.29,646.04,4.22,641.82,0.13,-0.78,0.07,0.15,-0.12,-0.23,2.63,1.6,3.73,0.45,0.75,0.12
18,6.85,0.27,73,17.84,680.06,6.28,673.78,-0.49,1.13,1.83,-0.23,-0.37,0.12,2.86,1.99,2.64,0.47,0.43,0.13
19,18.6,0.18,82,19.59,725.77,7.04,718.73,-0.44,0.78,0.6,-0.21,-0.3,0.16,2.76,2.08,2.62,0.47,0.49,0.12
20,5.08,0.25,75,19.41,763.01,6.58,756.43,-1.58,5.51,4.3,-1.0,-1.5,1.1,3.32,2.17,2.03,0.49,0.62,0.13
21,19.34,0.17,83,26.75,796.99,7.16,789.83,-0.75,2.2,2.2,-0.45,-0.75,0.59,3.0,2.17,2.64,0.49,0.28,0.84
22,36.18,0.07,93,2.28,840.22,1.64,838.58,-0.32,0.83,1.49,-0.19,-0.55,0.26,2.82,1.7,3.06,0.44,0.65,0.15
23,23.94,0.12,88,27.07,895.03,7.31,887.73,-0.35,0.73,1.23,-0.15,-0.36,0.15,2.59,1.66,3.14,0.44,0.46,0.13
24,28.43,0.04,96,36.25,939.34,7.55,931.79,-0.76,2.11,1.58,-0.43,-0.59,0.43,2.98,2.53,2.47,0.5,0.6,0.14
25,30.51,0.05,95,37.22,993.21,8.68,984.53,-0.41,0.79,1.19,-0.18,-0.29,0.05,2.67,1.93,2.99,0.47,0.46,0.14
26,42.53,0.06,94,3.6,1030.47,2.43,1028.04,-0.66,1.79,1.15,-0.33,-0.5,0.45,2.66,1.88,2.6,0.46,0.4,0.13
