episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,40.0,0.24,76,10.95,27.53,5.37,22.16,0.08,0.84,5.26,0.12,-1.88,1.48,3.42,2.72,3.59,9.74,0.16,0.17
2,35.68,0.2,80,20.15,26.71,5.21,21.5,0.63,0.03,-0.0,0.5,-0.07,-0.19,2.22,1.6,2.14,5.96,0.09,0.14
3,43.7,0.21,79,12.41,25.79,4.17,21.62,0.63,0.03,-0.05,0.51,-0.08,-0.19,2.29,1.76,2.15,6.2,0.12,0.14
4,20.76,0.24,76,26.89,28.35,7.16,21.18,0.26,0.53,3.04,0.25,-1.04,0.89,2.97,2.37,3.04,8.38,0.14,0.14
5,46.84,0.15,85,18.16,30.11,5.28,24.82,0.38,0.37,2.53,0.32,-0.8,0.58,2.71,2.08,2.81,7.6,0.18,0.19
6,51.32,0.13,87,17.43,30.02,5.03,24.99,0.6,0.05,0.05,0.48,-0.05,-0.16,2.45,1.74,2.52,6.7,0.17,0.16
7,43.62,0.23,77,9.49,25.97,3.38,22.6,0.31,0.44,2.55,0.29,-0.84,0.62,3.2,2.44,3.23,8.87,0.19,0.14
8,49.6,0.11,89,21.1,28.97,5.22,23.75,0.46,0.29,0.85,0.39,-0.61,0.4,2.79,2.04,2.52,7.35,0.08,0.13
9,2.49,0.28,72,37.32,31.38,7.32,24.06,0.56,0.1,0.68,0.45,-0.22,-0.06,2.51,1.99,2.5,7.0,0.29,0.13
10,-8.73,0.26,74,49.3,29.42,9.31,20.11,0.63,0.03,0.03,0.5,-0.08,-0.16,2.15,1.51,2.19,5.85,0.1,0.13
11,-13.86,0.23,77,56.52,29.96,9.65,20.31,0.58,0.06,-0.14,0.48,-0.02,-0.11,2.29,1.58,2.17,6.04,0.03,0.13
12,33.02,0.31,69,5.55,23.91,3.01,20.9,0.56,0.07,-0.06,0.47,0.01,-0.1,2.46,1.72,2.41,6.59,0.21,0.12
13,38.27,0.23,77,13.87,26.62,4.7,21.92,0.24,0.58,4.62,0.22,-1.3,0.83,3.12,2.46,3.08,8.65,0.16,0.12
14,48.4,0.17,83,14.36,27.72,5.79,21.93,0.6,0.05,0.01,0.49,0.01,-0.17,2.26,1.88,2.34,6.48,0.05,0.14
15,22.08,0.25,75,24.45,29.21,7.29,21.92,0.52,0.22,0.66,0.42,-0.55,0.26,2.43,1.83,2.55,6.8,0.19,0.12
16,41.56,0.18,82,18.24,29.62,7.03,22.59,0.43,0.27,1.92,0.37,-0.54,0.26,2.66,2.17,2.65,7.48,0.12,0.13
17,54.32,0.16,84,11.26,26.43,4.36,22.07,0.46,0.26,1.75,0.38,-0.59,0.33,2.73,2.08,2.75,7.56,0.03,0.14
