episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,28.39,0.26,74,11.38,27.93,5.55,22.38,0.55,0.34,0.61,0.54,-0.1,0.43,2.49,1.7,1.95,6.14,0.19,0.37
2,36.41,0.21,79,17.06,27.34,4.75,22.58,0.56,0.39,1.29,0.56,-0.13,0.66,2.47,1.76,2.11,6.34,0.16,0.33
3,32.58,0.25,75,9.79,23.45,3.58,19.87,0.61,0.31,0.55,0.6,0.11,0.38,2.32,1.72,1.79,5.83,0.04,0.33
4,29.79,0.22,78,29.5,28.84,7.25,21.59,0.63,0.31,0.3,0.63,0.2,0.36,2.47,1.58,1.68,5.73,0.13,0.31
5,29.84,0.25,75,25.87,26.96,6.16,20.8,0.51,0.51,1.23,0.54,-0.26,0.83,2.73,1.99,2.24,6.96,0.13,0.32
6,38.41,0.22,78,22.05,26.42,5.71,20.72,0.41,0.5,1.84,0.42,-0.64,0.84,3.06,2.32,2.77,8.15,0.05,0.16
7,32.82,0.23,77,9.86,25.95,3.45,22.49,0.78,0.07,-0.07,0.72,0.63,-0.16,1.94,1.26,1.47,4.66,0.18,0.14
8,43.55,0.18,82,22.88,27.67,5.16,22.51,0.42,0.34,1.12,0.36,-0.66,0.85,2.66,2.06,2.68,7.4,0.12,0.14
9,32.64,0.23,77,28.92,27.57,6.04,21.53,0.44,0.29,1.15,0.38,-0.53,0.51,2.97,2.4,2.84,8.22,0.13,0.14
10,20.27,0.24,76,50.11,30.01,9.35,20.66,0.69,0.06,-0.11,0.62,0.34,-0.12,2.04,1.33,1.59,4.96,0.09,0.14
11,25.78,0.19,81,55.31,31.79,9.59,22.2,0.48,0.27,0.9,0.41,-0.43,0.57,2.25,1.62,2.09,5.95,0.12,0.14
12,35.2,0.23,77,6.09,26.1,3.25,22.86,0.66,0.14,0.29,0.59,0.15,0.12,2.51,1.83,2.0,6.34,0.17,0.13
13,44.77,0.17,83,13.13,26.95,4.66,22.29,0.49,0.25,0.95,0.42,-0.46,0.56,2.29,1.63,2.24,6.16,0.09,0.14
14,43.71,0.17,83,14.51,28.11,5.82,22.29,0.64,0.05,0.03,0.53,0.08,0.04,2.02,1.47,1.78,5.28,0.09,0.14
