episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
38,40.58,0.17,83,6.75,1577.4,3.57,1573.83,-0.99,3.51,2.8,-0.62,-1.15,0.84,0.66,0.88,0.17,0.47,0.51,0.14
39,44.52,0.13,87,16.41,1637.39,5.09,1632.3,-0.37,0.85,1.23,-0.16,-0.37,0.19,0.39,0.56,0.4,0.44,0.43,0.13
40,58.31,0.05,95,8,1673.53,2.9,1670.63,-1.41,4.82,3.47,-0.88,-1.34,1.35,0.67,0.74,0.2,0.5,0.58,0.14
41,45.79,0.13,87,8.7,1716.51,3.2,1713.31,-0.11,-0.4,0.0,-0.01,-0.06,-0.05,0.17,0.47,0.4,0.44,0.5,0.97
42,64.44,0.02,98,7.86,1768.8,4.47,1764.33,-1.17,3.69,3.24,-0.72,-1.01,0.79,0.54,0.59,0.24,0.49,0.5,0.26
43,23.56,0.13,87,35.47,1820.15,7.69,1812.46,-0.77,2.05,1.37,-0.4,-0.5,0.42,0.31,0.39,0.42,0.48,0.61,0.35
44,37.85,0.06,94,26.53,1860.25,6.95,1853.3,-0.5,1.52,2.15,-0.31,-0.73,0.42,0.44,0.83,0.29,0.46,0.61,0.24
45,30.34,0.09,91,38.95,1911.01,8.21,1902.79,-0.07,-0.42,-0.03,0.06,-0.02,-0.12,0.16,0.43,0.46,0.46,0.51,0.17
46,55.06,0.04,96,9.7,1960.39,5.32,1955.06,-0.17,-0.26,-0.04,0.01,0.03,-0.14,0.14,0.32,0.54,0.46,0.62,0.14
47,38.68,0.04,96,33.54,2007.63,6.59,2001.04,-0.13,-0.31,0.05,0.02,0.02,-0.11,0.23,0.4,0.4,0.44,0.56,0.14
48,24.76,0.09,91,46.49,2063.55,8.65,2054.9,-1.34,4.6,5.08,-0.89,-1.44,0.92,0.71,0.92,0.06,0.48,0.54,0.13
49,46.22,0.05,95,18.99,2110.44,6.48,2103.96,-0.8,2.08,1.66,-0.44,-0.55,0.33,0.37,0.44,0.37,0.47,0.61,0.17
50,53.65,0.05,95,11.59,2150.67,3.85,2146.82,-0.54,1.75,1.84,-0.3,-0.72,0.39,0.53,0.81,0.24,0.45,0.6,0.16
51,62.51,0.06,94,3.59,2200.68,2.29,2198.38,-0.63,1.55,1.31,-0.34,-0.45,0.34,0.3,0.47,0.37,0.48,0.5,0.15
52,46.7,0.09,91,15.43,2237.71,3.52,2234.2,-1.06,3.3,2.58,-0.64,-0.91,0.78,0.5,0.57,0.26,0.49,0.52,0.16
53,44.33,0.06,94,36.71,2307.35,6.98,2300.36,-0.67,1.95,1.08,-0.37,-0.6,0.54,0.39,0.58,0.33,0.46,0.32,0.18
54,58.44,0.02,98,14.86,2336.11,4.5,2331.61,-1.32,4.3,4.72,-0.84,-1.2,0.97,0.63,0.65,0.2,0.5,0.55,0.16
55,43.59,0.09,91,19.7,2392.53,5.6,2386.92,-0.02,-0.49,0.05,0.06,-0.08,-0.24,0.21,0.53,0.4,0.45,0.57,0.14
56,59.44,0.08,92,12.85,2417.78,4.74,2413.04,-0.77,2.34,2.33,-0.46,-0.8,0.48,0.46,0.72,0.3,0.49,0.3,0.16
57,53.88,0.08,92,20.01,2468.09,5.81,2462.28,-0.57,1.61,1.88,-0.31,-0.59,0.33,0.45,0.59,0.34,0.46,0.34,0.16
58,68.36,0.05,95,5.83,2545.53,3.15,2542.38,-0.45,0.92,0.75,-0.22,-0.39,0.18,0.34,0.54,0.4,0.45,0.39,0.15
59,40.08,0.05,95,30.15,2587.59,6.56,2581.03,-0.86,2.47,1.4,-0.48,-0.67,0.59,0.35,0.5,0.3,0.49,0.58,0.15
60,40.66,0.09,91,22.24,2628.48,4.7,2623.78,-0.02,-0.55,0.01,0.05,-0.09,-0.12,0.21,0.6,0.47,0.45,0.59,0.15
61,28.12,0.09,91,37.15,2659.44,8.34,2651.1,-0.18,-0.29,-0.11,0.01,0.03,-0.08,0.15,0.37,0.52,0.45,0.59,0.14
62,60.55,0.04,96,6.79,2711.99,3.59,2708.4,-1.04,3.69,2.98,-0.65,-1.19,0.83,0.69,0.9,0.18,0.48,0.52,1.01
63,51.19,0.05,95,12.21,2730.13,5.92,2724.21,-0.43,1.2,1.8,-0.28,-0.66,0.45,0.43,0.9,0.22,0.44,0.63,0.17
64,72.45,0.02,98,9.14,2813.37,4.8,2808.57,-0.78,2.43,2.67,-0.46,-0.82,0.43,0.57,0.72,0.33,0.47,0.35,0.16
65,38.8,0.05,95,32.58,2834.18,7.05,2827.14,-0.13,-0.35,0.01,-0.0,-0.04,-0.07,0.07,0.45,0.5,0.47,0.58,0.15
66,35.42,0.05,95,36.88,2895.14,7.26,2887.87,-0.57,1.89,1.79,-0.34,-0.8,0.57,0.45,0.81,0.3,0.48,0.59,0.15
67,36.92,0.03,97,36.09,2961.78,7.88,2953.9,-0.43,1.32,1.7,-0.24,-0.64,0.39,0.47,0.79,0.33,0.47,0.62,0.15
68,50.88,0.01,99,16.65,2958.73,5.96,2952.77,-0.24,-0.13,-0.06,-0.04,0.05,-0.13,0.09,0.24,0.55,0.48,0.69,0.15
69,27.68,0.12,88,37.11,3071.33,7.22,3064.11,-0.09,-0.38,-0.04,0.04,-0.02,-0.13,0.1,0.36,0.51,0.47,0.54,0.15
70,36.14,0.09,91,22.15,3032.58,6.47,3026.11,0.05,-0.67,0.05,0.09,-0.1,-0.18,0.32,0.63,0.43,0.41,0.67,0.15
71,53.26,0.04,96,16.23,3138.06,4.04,3134.02,-1.01,3.24,1.34,-0.58,-0.86,0.97,0.49,0.54,0.23,0.48,0.54,0.14
72,51.46,0.07,93,21.38,3198.39,4.99,3193.4,-0.98,3.07,3.16,-0.6,-0.96,0.5,0.61,0.68,0.3,0.48,0.35,0.15
73,64.08,0.04,96,7.6,3244.78,3.89,3240.9,-0.36,0.59,1.27,-0.18,-0.32,0.18,0.26,0.56,0.35,0.47,0.44,0.15
74,55.85,0.01,99,13.41,3282.29,5.44,3276.85,-0.35,0.96,1.42,-0.21,-0.57,0.48,0.41,0.83,0.23,0.44,0.64,0.13
75,34.27,0.05,95,41.08,3308.52,6.83,3301.68,-1.2,4.36,2.8,-0.75,-1.3,1.27,0.7,0.83,0.2,0.48,0.52,0.14
76,72.09,0.01,99,11.02,3365.11,5.6,3359.52,-0.68,1.85,1.41,-0.36,-0.56,0.37,0.4,0.54,0.38,0.47,0.35,0.15
77,30.45,0.07,93,41.95,3417.62,7.56,3410.06,-1.22,4.43,3.09,-0.76,-1.33,1.26,0.78,0.91,0.15,0.48,0.56,0.13
78,46.11,0.03,97,28.29,3490.64,7.73,3482.91,-0.03,-0.5,-0.06,0.07,-0.05,-0.22,0.19,0.47,0.52,0.46,0.56,0.16
79,58.03,0.05,95,16.46,3540.48,5.78,3534.69,-0.57,1.59,1.14,-0.32,-0.53,0.41,0.3,0.6,0.22,0.48,0.38,0.14
80,38.62,0.07,93,28.69,3614.59,6.16,3608.43,-0.15,0.09,0.58,-0.01,-0.23,-0.04,0.27,0.57,0.45,0.48,0.53,0.13
81,47.73,0.02,98,22.49,3584.76,4.94,3579.82,0.07,-0.69,0.06,0.1,-0.13,-0.13,0.18,0.63,0.39,0.46,0.66,0.13
82,54.41,0.06,94,12.06,3678.41,4.69,3673.72,-0.1,-0.35,0.01,0.02,-0.03,-0.09,0.1,0.42,0.44,0.46,0.54,1.55
83,61.43,0.01,99,13.88,3728.88,6.58,3722.3,-0.82,2.84,2.89,-0.49,-0.97,0.74,0.67,0.8,0.25,0.46,0.53,0.42
84,64.64,0.05,95,2.02,3772.94,1.51,3771.43,-0.6,1.44,0.62,-0.28,-0.37,0.37,0.26,0.39,0.4,0.48,0.5,0.18
85,42.02,0.07,93,24.6,3833.06,5.47,3827.59,-0.62,1.4,1.64,-0.33,-0.42,0.31,0.29,0.47,0.39,0.48,0.56,0.2
86,55.55,0.06,94,4.26,3865.31,2.78,3862.53,-0.63,1.41,1.27,-0.31,-0.36,0.44,0.23,0.35,0.4,0.48,0.65,0.16
87,62.08,0.01,99,13.7,3950.98,5.51,3945.47,-1.13,3.68,2.63,-0.68,-1.01,0.78,0.52,0.65,0.22,0.49,0.5,0.17
88,60.74,0.03,97,7.71,3965.8,4.05,3961.75,-1.47,5.14,3.95,-0.93,-1.43,1.26,0.72,0.75,0.12,0.5,0.6,0.17
89,73.87,0.02,98,6.59,4026.71,4.18,4022.53,-0.59,1.49,1.29,-0.3,-0.48,0.3,0.39,0.54,0.4,0.46,0.37,0.15
90,56.35,0.03,97,2.66,4152.47,1.83,4150.64,-0.28,-0.09,-0.09,-0.06,0.08,-0.08,0.08,0.24,0.58,0.47,0.75,0.14
91,71.19,0.01,99,14.42,4134.71,5.6,4129.11,-0.75,2.24,1.61,-0.46,-0.76,0.81,0.38,0.7,0.21,0.49,0.32,0.14
92,49.28,0.02,98,24.29,4214.13,5.89,4208.24,-1.44,4.99,3.87,-0.91,-1.38,1.21,0.69,0.76,0.13,0.5,0.59,0.14
93,44.56,0.02,98,25.61,4202.39,6.84,4195.55,-0.58,1.27,0.9,-0.28,-0.31,0.17,0.21,0.39,0.4,0.48,0.66,0.15
94,66.84,0.02,98,14.8,4283.13,5.07,4278.06,-0.53,1.37,1.11,-0.25,-0.46,0.24,0.37,0.53,0.43,0.48,0.34,0.17
95,66.42,0.0,100,20.98,4323.98,4.96,4319.02,-1.04,3.44,2.91,-0.63,-1.03,0.82,0.54,0.71,0.26,0.49,0.38,0.14
96,62.48,0.02,98,7,4514.16,4.43,4509.73,-0.68,2.27,2.14,-0.42,-0.87,0.6,0.54,0.87,0.21,0.45,0.57,0.15
97,40.22,0.04,96,32.5,4376.59,7.16,4369.44,-1.28,4.24,3.19,-0.79,-1.17,1.03,0.62,0.69,0.2,0.49,0.54,0.26
98,67.49,0.01,99,5.81,4488.98,3.75,4485.23,-0.06,-0.47,-0.04,0.04,-0.05,-0.13,0.18,0.46,0.46,0.46,0.52,0.15
99,76.03,0.02,98,5.98,4584.03,3.49,4580.53,-0.56,1.43,1.29,-0.29,-0.5,0.27,0.41,0.61,0.34,0.44,0.34,0.15
100,44.61,0.03,97,32,4586.77,7.72,4579.05,-0.57,1.37,1.71,-0.3,-0.43,0.21,0.27,0.48,0.42,0.49,0.44,0.15
101,48.89,0.03,97,20.49,4699.48,6.1,4693.38,-1.34,4.81,3.68,-0.87,-1.48,1.24,0.76,0.95,0.11,0.49,0.59,0.15
102,66.69,0.05,95,7.31,4691.19,3.85,4687.35,-0.49,1.34,1.75,-0.24,-0.52,0.26,0.43,0.54,0.45,0.47,0.37,0.15
103,50.79,0.0,100,15.76,4783.1,5.34,4777.76,0.12,-0.77,0.09,0.13,-0.14,-0.21,0.3,0.73,0.42,0.44,0.75,0.91
104,44.96,0.04,96,22.29,4731.99,5.57,4726.42,-1.57,5.7,4.73,-1.03,-1.7,1.37,0.81,0.95,0.07,0.49,0.65,0.18
105,66.4,0.02,98,14.63,4843.8,5.9,4837.9,-0.6,1.84,1.42,-0.34,-0.67,0.48,0.42,0.67,0.3,0.49,0.32,0.13
106,59.85,0.01,99,8.46,4915.37,4.89,4910.48,-0.26,0.74,0.66,-0.13,-0.52,0.14,0.36,0.79,0.39,0.47,0.66,0.15
