episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
40,80.78,0.04,96,7.94,28.49,2.89,25.6,0.15,0.71,4.94,0.17,-1.51,1.26,3.29,2.59,3.38,9.26,0.09,0.26
41,66.06,0.09,91,12.26,29.71,3.99,25.71,0.35,0.42,3.1,0.31,-0.89,0.54,2.87,2.22,2.94,8.03,0.16,1.46
42,71.42,0.06,94,8.47,31.05,4.84,26.21,0.3,0.51,3.92,0.27,-1.21,0.92,2.87,2.33,2.87,8.07,0.14,0.2
43,74.98,0.04,96,38.78,35.58,8.12,27.46,0.4,0.37,2.97,0.33,-0.89,0.56,2.62,2.04,2.76,7.42,0.16,0.22
44,68.32,0.05,95,28.08,37.53,7.25,30.27,0.54,0.11,0.01,0.45,-0.08,0.03,2.45,1.95,2.5,6.9,0.22,0.16
45,75.44,0.05,95,41.6,33.68,8.39,25.28,0.58,0.06,-0.02,0.47,-0.01,-0.18,2.47,1.85,2.57,6.9,0.08,0.12
46,71.99,0.03,97,10.08,34.31,5.46,28.85,0.6,0.04,0.02,0.49,-0.07,-0.14,2.39,1.79,2.27,6.45,0.21,0.18
47,73.11,0.04,96,29.96,32.6,6.22,26.38,0.46,0.23,0.95,0.39,-0.36,0.29,2.6,2.05,2.56,7.22,0.12,0.14
48,72.51,0.04,96,43.59,37.28,8.4,28.88,0.23,0.58,4.87,0.21,-1.27,0.87,3.25,2.59,3.28,9.12,0.22,0.18
49,75.12,0.06,94,22,31.61,6.93,24.68,0.27,0.53,2.4,0.26,-1.0,0.89,3.16,2.54,3.23,8.94,0.05,0.16
50,73.5,0.06,94,10.21,28.41,3.48,24.94,0.43,0.29,1.64,0.37,-0.57,0.22,2.7,2.08,2.77,7.55,0.07,0.14
51,74.44,0.05,95,3.62,29.26,2.31,26.95,0.29,0.52,3.42,0.26,-1.18,0.91,2.85,2.25,3.03,8.14,0.16,0.13
52,78.77,0.03,97,20.37,32.13,4.19,27.94,0.19,0.63,4.15,0.2,-1.31,0.92,3.16,2.47,3.31,8.94,0.18,0.12
53,63.84,0.06,94,39.71,40.15,7.51,32.64,0.5,0.16,0.53,0.42,-0.18,0.07,2.74,2.29,2.73,7.77,0.32,0.13
54,80.58,0.03,97,19.01,31.9,5.47,26.43,0.5,0.23,1.53,0.4,-0.61,0.26,2.45,1.86,2.5,6.8,0.12,0.18
55,78.67,0.02,98,22.07,34.78,6.15,28.63,0.48,0.19,1.29,0.41,-0.23,0.14,2.65,1.99,2.42,7.06,0.19,0.16
56,65.47,0.07,93,16.27,36.44,6.03,30.41,0.32,0.46,2.63,0.29,-0.95,0.76,3.16,2.63,3.16,8.96,0.28,0.15
57,75.62,0.01,99,24.15,38.56,6.76,31.8,0.49,0.15,0.33,0.42,-0.11,0.07,2.72,2.23,2.76,7.71,0.27,0.12
58,67.48,0.08,92,6.1,29.66,3.29,26.37,0.32,0.47,1.95,0.29,-0.96,0.95,2.8,2.15,2.91,7.87,0.17,0.14
59,67.0,0.06,94,31.86,35.78,6.63,29.15,0.48,0.18,1.01,0.41,-0.22,0.02,2.83,2.07,2.63,7.53,0.23,0.15
60,75.01,0.04,96,19,29.83,4.14,25.69,0.44,0.29,0.88,0.37,-0.59,0.47,2.75,2.12,2.73,7.59,0.09,0.12
61,71.4,0.02,98,37.77,40.06,8.38,31.67,0.21,0.63,3.76,0.21,-1.31,1.06,3.21,2.59,3.38,9.18,0.27,0.14
62,76.47,0.05,95,5.45,28.84,3.01,25.83,0.26,0.57,3.36,0.24,-1.31,1.16,2.95,2.36,2.95,8.25,0.12,0.84
63,82.35,0.01,99,13.58,32.75,6.49,26.26,0.52,0.2,1.29,0.42,-0.55,0.26,2.44,1.92,2.52,6.89,0.08,0.14
64,73.17,0.03,97,8.89,33.03,4.74,28.29,0.07,0.84,6.07,0.1,-1.87,1.48,3.41,2.8,3.52,9.73,0.18,0.13
65,82.87,0.0,100,32.51,34.52,6.9,27.62,0.3,0.52,3.65,0.26,-1.24,0.74,3.01,2.34,3.01,8.36,0.14,0.17
