episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,40.86,0.23,77,11.75,30.75,5.71,25.04,0.75,0.08,-0.07,0.69,0.6,-0.2,2.39,1.68,1.66,5.73,0.27,0.19
2,38.0,0.2,80,18.32,25.98,4.66,21.32,0.69,0.07,-0.11,0.63,0.44,-0.22,2.22,1.55,1.45,5.22,0.07,0.19
3,38.06,0.26,74,9.46,24.58,3.5,21.08,0.41,0.51,1.57,0.42,-0.63,1.05,2.8,2.2,2.45,7.45,0.16,0.27
4,20.57,0.24,76,27.05,29.97,7.47,22.5,0.56,0.3,0.72,0.52,-0.19,0.58,2.17,1.51,1.76,5.45,0.19,0.3
5,23.76,0.23,77,25.74,26.79,6.12,20.68,0.67,0.06,-0.02,0.59,0.3,-0.03,1.92,1.22,1.68,4.82,0.08,0.33
6,29.37,0.18,82,27.61,29.28,6.28,23.0,0.75,0.29,0.79,0.76,0.57,0.12,2.51,1.52,1.68,5.72,0.13,0.32
7,52.17,0.16,84,12.87,28.86,4.17,24.69,0.31,0.51,1.14,0.3,-1.0,1.15,3.04,2.48,2.88,8.39,0.18,0.18
8,37.81,0.18,82,21.12,27.21,5.07,22.15,0.73,0.06,-0.08,0.65,0.42,-0.04,1.83,1.24,1.5,4.57,0.1,0.12
9,19.78,0.24,76,27.71,27.26,5.74,21.53,0.82,0.08,-0.07,0.77,0.75,-0.23,2.32,1.58,1.62,5.51,0.14,0.13
10,-0.71,0.19,81,49.78,30.99,9.33,21.65,0.6,0.36,1.0,0.6,0.01,0.56,2.36,1.56,2.0,5.91,0.07,0.14
11,-8.86,0.18,82,56.98,32.01,9.67,22.34,0.55,0.24,1.01,0.48,-0.33,0.52,1.88,1.18,1.79,4.85,0.11,0.15
12,40.75,0.26,74,7.18,25.82,3.71,22.11,0.63,0.17,0.65,0.56,0.08,0.27,1.9,1.27,1.78,4.96,0.21,0.12
13,39.62,0.24,76,11.26,24.63,4.37,20.26,0.15,0.77,2.91,0.17,-1.65,1.92,2.92,2.33,3.04,8.29,0.07,0.17
14,35.95,0.25,75,12.8,27.2,5.2,22.0,0.52,0.22,0.98,0.43,-0.4,0.6,1.88,1.27,2.01,5.16,0.15,0.14
15,21.59,0.26,74,23.49,28.16,7.22,20.95,0.29,0.55,1.3,0.28,-1.11,1.29,2.78,2.2,2.74,7.73,0.14,0.17
16,40.68,0.19,81,17.58,29.28,6.96,22.32,0.55,0.28,1.49,0.5,-0.29,0.5,2.09,1.42,1.93,5.43,0.12,0.14
17,31.75,0.28,72,11.72,23.5,4.36,19.14,0.68,0.08,-0.07,0.61,0.4,-0.16,2.42,1.83,1.92,6.17,0.05,0.12
18,29.65,0.24,76,19.53,26.63,6.24,20.39,0.72,0.07,-0.07,0.65,0.47,-0.13,2.12,1.38,1.6,5.11,0.08,0.12
19,36.0,0.22,78,17.15,27.27,6.19,21.08,0.45,0.3,1.39,0.39,-0.49,0.52,2.54,2.03,2.2,6.77,0.1,0.13
20,35.7,0.21,79,18.78,27.89,6.22,21.67,0.67,0.04,0.02,0.56,0.14,0.07,1.43,0.73,1.39,3.56,0.1,0.15
21,38.7,0.14,86,25.4,32.2,6.78,25.42,0.55,0.34,1.54,0.53,-0.17,0.32,2.67,1.88,2.19,6.74,0.18,0.69
22,73.94,0.12,88,2.48,27.01,1.74,25.27,0.84,0.08,-0.15,0.81,0.87,-0.29,1.97,1.06,1.24,4.26,0.16,0.13
23,26.57,0.19,81,28.56,31.02,7.67,23.36,0.43,0.32,1.22,0.38,-0.59,0.61,2.63,2.04,2.4,7.06,0.15,0.14
24,28.14,0.09,91,38.29,31.73,7.75,23.98,0.66,0.04,0.06,0.55,0.09,0.11,1.63,0.89,1.58,4.1,0.05,0.12
25,24.4,0.17,83,32.58,31.07,8.45,22.63,0.52,0.36,1.42,0.49,-0.32,0.59,2.52,1.74,2.22,6.47,0.11,0.12
26,66.94,0.15,85,3.27,24.76,2.24,22.52,0.66,0.04,0.08,0.54,0.07,0.13,1.67,0.98,1.64,4.28,0.06,0.12
27,47.78,0.16,84,16.17,32.45,6.38,26.07,0.62,0.06,0.01,0.53,0.1,-0.04,2.49,1.95,2.08,6.52,0.23,0.13
28,18.33,0.23,77,30.18,31.45,6.75,24.7,0.65,0.04,0.13,0.53,0.03,0.04,1.74,1.01,1.84,4.6,0.24,0.13
29,46.24,0.15,85,18.61,30.86,6.75,24.12,0.77,0.08,-0.1,0.72,0.67,-0.21,2.38,1.65,1.69,5.72,0.16,0.12
30,31.1,0.2,80,23.76,27.59,5.66,21.92,0.63,0.22,0.55,0.59,0.14,0.26,2.14,1.36,1.7,5.2,0.11,0.12
31,36.05,0.15,85,26.16,29.61,6.62,22.99,0.46,0.34,1.71,0.4,-0.63,0.71,2.04,1.25,2.24,5.52,0.09,0.13
