episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
38,51.91,0.08,92,6.6,1546.58,3.49,1543.09,-0.85,2.2,3.06,-0.5,-0.61,0.32,0.36,0.45,0.36,0.5,0.59,0.13
39,40.02,0.12,88,26.27,1593.92,6.19,1587.73,-0.53,1.27,1.02,-0.26,-0.38,0.31,0.27,0.46,0.41,0.48,0.46,0.13
40,45.37,0.11,89,10.09,1640.85,3.39,1637.46,-1.36,4.84,5.1,-0.9,-1.51,1.11,0.78,0.91,0.17,0.5,0.6,0.12
41,47.48,0.15,85,9.96,1684.31,3.51,1680.8,-0.57,1.56,1.45,-0.31,-0.54,0.39,0.31,0.54,0.41,0.49,0.36,0.83
42,57.26,0.03,97,8.62,1729.71,4.82,1724.89,-1.49,5.43,4.22,-0.97,-1.61,1.31,0.81,0.95,0.07,0.49,0.63,0.13
43,18.25,0.16,84,39.33,1779.65,8.27,1771.38,-0.01,-0.59,0.01,0.07,-0.08,-0.1,0.23,0.58,0.46,0.46,0.59,0.12
44,53.12,0.05,95,26.23,1823.6,6.65,1816.95,-0.64,1.97,1.85,-0.33,-0.65,0.38,0.52,0.59,0.43,0.48,0.34,0.15
45,39.06,0.07,93,37.51,1873.74,8.17,1865.57,-1.11,3.81,2.54,-0.69,-1.17,1.13,0.58,0.82,0.16,0.48,0.41,0.13
46,43.43,0.12,88,9.8,1921.44,5.44,1916.0,-0.58,1.96,1.58,-0.35,-0.81,0.53,0.44,0.82,0.28,0.48,0.58,0.12
47,30.68,0.1,90,37.69,1965.6,7.22,1958.38,-1.16,3.67,3.16,-0.71,-1.0,0.92,0.52,0.59,0.23,0.5,0.5,0.13
48,33.71,0.07,93,48.06,2013.68,8.8,2004.88,-0.55,1.51,1.21,-0.29,-0.55,0.26,0.39,0.61,0.4,0.47,0.34,0.13
49,42.92,0.08,92,23.87,2048.26,7.39,2040.87,-1.15,3.97,4.25,-0.76,-1.3,0.95,0.68,0.91,0.13,0.48,0.54,0.12
50,38.39,0.13,87,10.92,2097.78,3.66,2094.11,-1.74,6.03,6.54,-1.16,-1.75,1.11,0.85,0.85,0.08,0.5,0.67,0.12
51,50.31,0.09,91,3.41,2143.94,2.2,2141.74,0.02,-0.59,0.09,0.07,-0.11,-0.11,0.23,0.63,0.38,0.43,0.64,0.12
52,51.03,0.07,93,20.54,2184.37,4.24,2180.13,-0.43,1.11,1.21,-0.22,-0.48,0.21,0.38,0.64,0.32,0.45,0.41,0.12
53,11.18,0.21,79,34.32,2228.52,6.85,2221.67,-0.18,0.37,0.76,-0.06,-0.4,0.24,0.4,0.76,0.35,0.44,0.68,0.12
54,39.03,0.11,89,18.52,2279.69,5.35,2274.34,-1.44,5.09,3.02,-0.9,-1.39,1.31,0.68,0.75,0.14,0.5,0.59,0.12
55,51.84,0.02,98,19.9,2305.06,5.63,2299.43,-1.41,4.89,3.47,-0.89,-1.37,1.13,0.68,0.76,0.14,0.5,0.58,0.13
56,46.0,0.08,92,13.91,2375.03,4.75,2370.28,0.03,-0.56,0.06,0.11,-0.05,-0.2,0.21,0.51,0.42,0.46,0.59,0.14
57,55.74,0.06,94,18.05,2407.48,5.36,2402.13,-0.49,1.14,0.96,-0.24,-0.37,0.37,0.28,0.46,0.38,0.46,0.43,0.13
58,49.56,0.08,92,7.58,2449.85,3.92,2445.93,-1.54,5.69,3.91,-0.99,-1.67,1.3,0.83,0.94,0.12,0.51,0.64,0.12
59,35.15,0.07,93,22.65,2495.89,5.53,2490.37,0.11,-0.78,0.09,0.12,-0.17,-0.12,0.23,0.75,0.4,0.45,0.75,0.12
60,55.58,0.07,93,19.01,2547.6,4.2,2543.4,-0.6,1.63,1.22,-0.31,-0.54,0.36,0.39,0.52,0.34,0.47,0.38,0.21
