episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,40.96,0.21,79,10.57,29.65,5.22,24.43,0.62,0.28,0.08,0.6,0.14,0.38,2.43,1.87,1.98,6.28,0.23,0.14
2,54.6,0.17,83,21.57,27.22,5.31,21.9,0.18,0.74,1.8,0.2,-1.53,1.93,2.84,2.24,2.92,8.0,0.04,0.13
3,48.37,0.19,81,8.57,26.22,3.3,22.91,0.54,0.22,0.8,0.48,-0.21,0.37,2.11,1.53,1.75,5.4,0.15,0.12
4,34.61,0.26,74,25.45,27.84,7.14,20.7,0.6,0.21,0.04,0.55,0.07,0.26,2.43,1.72,1.84,5.99,0.14,0.12
5,49.54,0.19,81,27.28,28.19,6.14,22.05,0.6,0.23,0.39,0.56,0.07,0.2,2.51,1.74,1.9,6.15,0.11,0.15
6,42.13,0.21,79,24,27.15,5.89,21.27,0.76,0.05,0.02,0.67,0.42,0.03,1.6,0.9,1.46,3.95,0.08,0.14
7,42.45,0.21,79,9.01,27.23,3.28,23.95,0.54,0.4,0.75,0.54,-0.18,0.66,2.8,2.06,2.28,7.14,0.22,0.12
8,51.52,0.17,83,21.06,27.24,5.1,22.14,0.82,0.07,-0.05,0.75,0.7,-0.17,1.74,0.96,1.32,4.02,0.08,0.12
9,45.03,0.21,79,30.96,29.3,6.41,22.89,0.67,0.04,0.03,0.55,0.11,0.1,1.77,1.1,1.58,4.46,0.18,0.16
10,42.82,0.24,76,46.74,29.64,9.19,20.45,0.33,0.57,1.99,0.34,-0.91,1.13,2.96,2.4,2.76,8.12,0.07,0.13
11,42.71,0.22,78,55.38,30.85,9.6,21.26,0.54,0.32,0.57,0.52,-0.11,0.46,2.5,1.76,2.06,6.32,0.1,0.12
12,53.74,0.17,83,5.36,25.41,2.93,22.48,0.54,0.22,0.59,0.47,-0.24,0.36,2.02,1.29,1.86,5.17,0.1,0.15
13,48.23,0.2,80,13.1,26.98,4.78,22.2,0.5,0.33,0.72,0.46,-0.4,0.78,2.26,1.61,2.01,5.89,0.12,0.13
