episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
39,46.4,0.05,95,22.4,1661.41,5.79,1655.62,-0.26,1.55,1.0,0.08,-0.17,0.42,0.4,0.52,0.44,0.46,0.03,0.13
40,38.27,0.09,91,10.9,1709.2,3.58,1705.63,-0.17,1.26,0.79,0.14,-0.12,0.22,0.26,0.46,0.47,0.48,0.08,0.14
41,47.87,0.05,95,12.52,1728.84,4.06,1724.78,0.08,0.48,0.14,0.38,0.2,-0.03,0.28,0.37,0.6,0.44,0.2,0.78
42,49.33,0.02,98,8.73,1793.53,4.83,1788.69,-0.31,1.84,0.82,0.05,-0.3,0.39,0.39,0.56,0.46,0.48,0.08,0.15
43,48.0,0.03,97,34.82,1859.1,7.51,1851.59,-0.29,1.85,1.61,0.09,-0.19,0.21,0.39,0.41,0.45,0.47,0.07,0.13
44,48.27,0.02,98,27.44,1882.8,7.08,1875.71,-0.23,1.65,1.22,0.16,-0.08,0.21,0.38,0.4,0.51,0.49,0.22,0.13
45,46.53,0.03,97,36.54,1951.52,7.99,1943.53,-0.22,1.55,1.76,0.1,-0.22,0.31,0.33,0.46,0.41,0.49,0.04,0.13
46,49.73,0.03,97,9.41,2012.35,5.27,2007.07,-0.51,1.91,0.91,-0.2,-0.51,0.68,0.45,0.61,0.34,0.46,0.21,0.13
47,48.27,0.03,97,35.26,2043.79,6.88,2036.91,-0.28,1.54,1.23,0.07,-0.21,0.19,0.43,0.43,0.5,0.47,0.09,0.13
48,48.47,0.03,97,47.76,2089.96,8.62,2081.34,0.04,0.35,0.37,0.27,0.04,-0.0,0.23,0.43,0.47,0.47,0.23,0.12
49,50.93,0.0,100,22.88,2132.74,7.42,2125.32,-0.07,1.57,0.78,0.31,-0.04,0.32,0.4,0.47,0.54,0.49,0.19,0.13
50,45.73,0.05,95,8.8,2197.28,3.22,2194.06,-0.25,1.39,1.13,0.09,-0.14,0.29,0.35,0.43,0.42,0.47,0.11,0.12
51,49.2,0.02,98,3.69,2247.27,2.35,2244.92,-0.7,2.62,2.82,-0.32,-0.68,0.5,0.51,0.6,0.38,0.48,0.23,0.14
52,48.4,0.03,97,17.3,2286.54,3.81,2282.72,-0.35,2.03,1.85,0.02,-0.32,0.35,0.44,0.53,0.36,0.47,0.06,0.12
53,43.07,0.05,95,38.61,2349.79,7.54,2342.25,-0.65,2.69,2.98,-0.3,-0.75,0.47,0.54,0.74,0.3,0.49,0.31,0.12
54,47.47,0.02,98,17.31,2383.28,5.07,2378.2,-0.23,1.53,1.69,0.11,-0.21,0.13,0.32,0.42,0.52,0.5,0.03,0.12
55,48.13,0.03,97,19.89,2408.24,5.66,2402.58,-0.39,2.4,1.1,-0.01,-0.45,0.64,0.5,0.62,0.37,0.47,0.25,0.13
56,48.47,0.02,98,16.67,2490.02,5.45,2484.57,-0.5,1.82,1.98,-0.18,-0.42,0.31,0.37,0.55,0.39,0.48,0.22,0.13
57,47.13,0.03,97,21.97,2547.53,6.29,2541.24,0.16,0.3,0.3,0.45,0.26,-0.07,0.21,0.34,0.58,0.48,0.2,0.13
58,49.53,0.02,98,5.28,2572.59,2.93,2569.65,-0.14,1.36,1.19,0.22,-0.03,0.15,0.34,0.36,0.55,0.47,0.14,0.13
59,44.8,0.05,95,28.38,2622.53,6.19,2616.34,-0.6,2.21,1.76,-0.29,-0.64,0.69,0.44,0.65,0.35,0.48,0.24,0.12
60,51.33,0.01,99,21.68,2688.28,4.52,2683.76,-0.18,1.65,1.12,0.18,-0.16,0.32,0.44,0.5,0.46,0.47,0.12,0.12
61,51.53,0.0,100,34.13,2766.82,8.21,2758.6,-0.26,2.05,1.28,0.17,-0.13,0.39,0.39,0.41,0.45,0.48,0.23,0.13
62,53.2,0.0,100,6.78,2807.0,3.6,2803.4,-0.42,2.07,1.74,-0.02,-0.27,0.31,0.4,0.4,0.43,0.47,0.2,0.81
63,52.33,0.01,99,14.18,2857.29,6.74,2850.55,-0.06,0.98,0.79,0.28,0.1,0.01,0.29,0.32,0.58,0.46,0.22,0.13
64,50.73,0.01,99,8.13,2860.19,4.54,2855.66,-0.5,2.79,2.69,-0.1,-0.53,0.64,0.52,0.62,0.32,0.48,0.24,0.13
65,54.0,0.0,100,28.53,2934.72,6.72,2928.0,0.09,0.74,0.32,0.41,0.18,0.17,0.24,0.36,0.58,0.46,0.18,0.13
66,53.0,0.01,99,39.19,2983.0,7.22,2975.78,-0.09,0.98,1.12,0.22,0.0,-0.06,0.33,0.38,0.54,0.46,0.12,0.14
67,51.6,0.0,100,38.21,3035.96,8.01,3027.96,-0.52,2.15,1.16,-0.18,-0.55,0.53,0.4,0.62,0.41,0.48,0.2,0.13
