episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,39.51,0.26,74,8.74,24.97,4.43,20.54,0.22,0.79,2.02,0.27,-1.34,1.85,3.23,2.49,3.03,8.74,0.12,0.2
2,50.4,0.2,80,20.82,26.08,5.05,21.02,0.53,0.27,0.69,0.46,-0.41,0.72,1.84,1.18,1.89,4.9,0.02,0.14
3,57.7,0.16,84,11.31,26.63,3.96,22.67,0.85,0.09,-0.19,0.82,0.98,-0.32,2.23,1.44,1.29,4.95,0.1,0.12
4,53.13,0.17,83,32.66,33.4,7.89,25.52,0.75,0.08,-0.15,0.7,0.65,-0.24,2.16,1.48,1.46,5.1,0.23,0.13
5,55.21,0.17,83,27.06,28.17,6.17,22.0,0.53,0.33,0.91,0.51,-0.16,0.6,2.45,1.96,2.06,6.47,0.06,0.13
6,46.03,0.22,78,23.85,27.72,6.06,21.67,0.9,0.09,-0.17,0.88,1.08,-0.33,1.97,1.17,1.15,4.3,0.14,0.16
7,25.21,0.34,66,9.38,22.49,3.37,19.12,0.76,0.07,-0.08,0.69,0.57,-0.12,1.89,1.23,1.47,4.59,0.17,0.12
8,51.63,0.19,81,24.52,27.75,5.8,21.95,0.35,0.5,1.3,0.32,-1.0,1.26,2.32,1.62,2.51,6.44,0.1,0.12
9,49.96,0.2,80,26,27.24,5.41,21.82,0.56,0.31,1.19,0.53,-0.18,0.48,2.62,1.88,2.25,6.75,0.11,0.12
10,48.78,0.2,80,46.8,30.32,9.19,21.12,0.85,0.09,-0.19,0.83,1.0,-0.37,2.3,1.45,1.41,5.16,0.04,0.14
11,34.28,0.28,72,58.22,29.2,9.73,19.47,0.71,0.24,0.52,0.69,0.39,0.15,2.11,1.38,1.58,5.07,0.08,0.12
12,43.86,0.24,76,5.84,23.39,3.13,20.26,0.64,0.05,0.04,0.53,0.09,0.01,2.03,1.36,1.78,5.16,0.07,0.13
13,35.63,0.28,72,13.53,25.28,4.98,20.31,0.69,0.03,0.02,0.57,0.11,0.14,1.38,0.71,1.42,3.5,0.15,0.15
14,39.22,0.26,74,15.03,25.79,6.01,19.78,0.5,0.26,0.57,0.43,-0.44,0.67,2.03,1.39,2.1,5.51,0.07,0.13
15,43.68,0.23,77,21.96,29.0,7.08,21.92,0.57,0.16,0.62,0.46,-0.34,0.56,1.7,1.09,1.95,4.74,0.16,0.12
16,35.2,0.28,72,18,26.54,7.01,19.53,0.69,0.27,0.29,0.68,0.33,0.26,2.26,1.47,1.76,5.5,0.09,0.12
17,50.6,0.2,80,11.3,25.56,4.26,21.3,0.44,0.5,1.77,0.45,-0.57,0.98,2.6,1.78,2.28,6.65,0.06,0.14
