episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
38,54.78,0.13,87,7.09,1556.51,3.72,1552.78,-0.64,1.83,1.86,-0.37,-0.69,0.33,2.58,2.13,3.24,0.47,0.29,0.13
39,48.35,0.11,89,19.42,1592.0,5.39,1586.61,-0.51,1.31,1.95,-0.28,-0.54,0.3,2.33,1.97,3.07,0.46,0.37,0.13
40,45.38,0.11,89,8.4,1644.72,2.99,1641.73,-1.41,5.06,4.96,-0.92,-1.53,1.2,3.04,2.45,2.61,0.49,0.61,0.12
41,58.78,0.06,94,11.79,1704.59,3.93,1700.66,-0.35,0.7,0.98,-0.15,-0.34,0.12,2.34,1.86,3.0,0.46,0.43,0.81
42,56.04,0.04,96,8.44,1733.8,4.71,1729.08,-1.57,5.53,3.57,-0.99,-1.53,1.36,3.16,2.56,2.92,0.49,0.62,0.16
43,26.42,0.14,86,36.55,1793.31,8.22,1785.09,-1.47,5.15,3.72,-0.93,-1.47,1.32,3.15,2.58,2.7,0.5,0.56,0.14
44,40.75,0.06,94,30.22,1828.8,7.25,1821.55,-1.14,3.93,3.68,-0.73,-1.25,0.99,2.82,2.39,2.64,0.48,0.49,0.13
45,38.52,0.07,93,37.59,1875.72,8.06,1867.66,-1.03,3.47,3.45,-0.66,-1.1,0.83,3.01,2.47,2.53,0.5,0.42,0.12
46,54.37,0.06,94,9.95,1934.32,5.47,1928.85,-0.04,-0.47,0.06,0.04,-0.08,-0.06,2.18,1.74,2.99,0.45,0.58,0.14
47,33.67,0.11,89,35.15,1967.38,6.8,1960.58,-0.58,1.74,2.28,-0.35,-0.69,0.31,2.8,2.2,2.67,0.48,0.4,0.13
48,30.91,0.11,89,47.35,1990.21,8.75,1981.46,-0.71,2.14,2.4,-0.41,-0.72,0.56,2.45,1.96,2.82,0.46,0.32,0.14
49,41.77,0.07,93,21.59,2040.34,7.03,2033.31,-0.18,-0.26,-0.05,-0.03,-0.02,-0.09,2.28,1.96,2.87,0.46,0.62,0.16
50,56.96,0.08,92,10.87,2099.54,3.67,2095.87,-1.15,3.94,2.33,-0.69,-1.13,0.99,2.86,2.33,2.83,0.48,0.44,0.13
51,57.56,0.06,94,3.49,2132.44,2.24,2130.19,-0.43,1.35,1.28,-0.24,-0.66,0.32,2.52,1.87,3.31,0.45,0.62,0.12
52,61.99,0.08,92,10.63,2198.42,2.88,2195.54,-0.77,2.32,1.8,-0.45,-0.77,0.48,2.76,2.36,2.9,0.49,0.33,0.13
53,36.49,0.08,92,36.77,2199.73,7.21,2192.52,-0.91,2.78,1.87,-0.53,-0.82,0.67,2.82,2.44,2.77,0.5,0.44,0.15
54,48.18,0.08,92,16.35,2273.87,4.85,2269.02,-0.7,2.36,2.45,-0.43,-0.89,0.47,2.84,2.09,2.94,0.48,0.56,0.14
55,45.71,0.09,91,22.36,2355.68,6.23,2349.45,-1.0,3.47,3.33,-0.63,-1.12,0.78,2.79,2.23,2.78,0.47,0.47,0.15
56,43.53,0.06,94,16.59,2361.64,5.62,2356.02,-1.72,6.17,6.5,-1.15,-1.82,1.36,3.32,2.69,2.36,0.51,0.68,0.13
57,50.27,0.06,94,17.29,2417.65,5.23,2412.43,-1.04,3.19,2.09,-0.6,-0.83,0.8,2.67,2.24,2.62,0.48,0.54,0.13
58,67.21,0.03,97,6.08,2484.71,3.28,2481.42,-0.63,1.69,1.55,-0.36,-0.57,0.34,2.8,2.41,2.72,0.49,0.46,0.14
59,52.08,0.02,98,22.06,2554.72,5.54,2549.18,-0.13,-0.34,0.01,-0.0,-0.04,-0.11,2.31,2.05,3.01,0.47,0.57,0.12
60,50.47,0.03,97,19.65,2572.97,4.29,2568.68,-1.54,5.33,5.09,-1.0,-1.52,1.36,3.1,2.62,2.53,0.5,0.62,0.14
61,37.78,0.07,93,37.54,2625.28,8.51,2616.77,-0.64,1.88,2.1,-0.36,-0.68,0.44,2.43,1.98,2.92,0.47,0.38,0.13
62,59.63,0.02,98,5.55,2676.89,3.07,2673.82,-0.63,1.41,1.37,-0.33,-0.39,0.25,2.47,2.28,2.64,0.48,0.65,0.81
63,59.63,0.02,98,12.45,2699.06,6.02,2693.04,-0.13,-0.32,-0.09,0.03,0.01,-0.2,2.19,1.85,2.84,0.46,0.54,0.13
64,70.21,0.01,99,9.35,2715.95,4.94,2711.01,-0.56,1.76,1.71,-0.31,-0.65,0.36,2.56,1.92,2.86,0.45,0.46,0.15
65,42.87,0.03,97,35.78,2878.13,7.43,2870.7,-1.15,4.01,3.92,-0.73,-1.27,0.73,2.91,2.32,3.06,0.48,0.51,0.14
66,47.2,0.07,93,31.87,2894.65,6.37,2888.28,-0.68,2.0,1.09,-0.37,-0.65,0.56,2.56,2.05,2.97,0.47,0.28,0.13
67,37.16,0.05,95,37.92,2909.0,7.63,2901.37,-1.3,4.61,2.32,-0.8,-1.32,1.14,3.12,2.42,2.7,0.48,0.47,0.13
68,50.72,0.04,96,18.75,2972.59,6.14,2966.46,-0.14,-0.28,0.03,0.0,-0.0,-0.12,2.06,1.93,2.7,0.45,0.57,0.13
69,36.3,0.04,96,40.67,2967.65,7.35,2960.29,-0.37,0.83,1.18,-0.18,-0.41,0.18,2.41,1.83,3.08,0.45,0.45,0.13
70,36.74,0.13,87,30.8,3054.34,7.49,3046.85,-0.87,2.91,2.06,-0.49,-0.87,0.78,2.62,2.06,2.88,0.47,0.34,0.13
71,66.32,0.02,98,17,3120.12,4.32,3115.8,-0.94,3.15,2.72,-0.57,-0.98,0.56,2.86,2.24,2.85,0.48,0.37,0.13
72,53.3,0.03,97,27.4,3186.04,5.46,3180.58,-0.43,0.98,0.79,-0.2,-0.34,0.21,2.58,2.26,2.5,0.48,0.42,0.13
73,54.05,0.07,93,8.05,3100.14,4.08,3096.06,-0.76,1.97,1.74,-0.43,-0.57,0.52,2.73,2.46,2.48,0.49,0.61,0.14
74,59.05,0.02,98,15.35,3246.32,6.04,3240.29,-0.91,3.13,3.14,-0.58,-1.09,0.62,2.9,2.19,2.89,0.47,0.51,0.16
75,19.21,0.09,91,40.69,3295.92,6.75,3289.16,-0.3,-0.06,-0.05,-0.08,0.05,-0.09,2.29,2.19,2.56,0.48,0.75,0.15
76,51.7,0.05,95,11.8,3369.04,5.86,3363.18,-1.51,5.28,3.84,-0.95,-1.44,1.46,3.07,2.52,2.5,0.5,0.6,0.16
77,35.47,0.03,97,34.77,3478.58,7.22,3471.36,-1.73,6.09,5.49,-1.13,-1.74,1.47,3.31,2.77,2.45,0.51,0.67,0.16
78,58.57,0.05,95,20.38,3476.44,7.03,3469.41,-0.64,2.01,1.15,-0.36,-0.68,0.64,2.74,2.31,2.76,0.48,0.28,0.17
79,68.64,0.01,99,13.9,3503.8,5.14,3498.67,-0.44,0.98,0.72,-0.19,-0.35,0.31,2.2,1.88,3.15,0.46,0.4,0.16
80,36.02,0.09,91,17.42,3574.1,4.41,3569.69,-2.02,7.3,7.0,-1.35,-2.09,1.69,3.42,2.81,2.54,0.51,0.75,0.12
81,41.75,0.06,94,23.45,3603.02,5.14,3597.87,-1.66,5.98,3.5,-1.04,-1.65,1.66,3.23,2.78,2.57,0.51,0.65,0.12
82,61.26,0.03,97,14.25,3628.42,5.12,3623.3,-1.11,3.82,2.5,-0.66,-1.12,0.87,2.98,2.25,2.77,0.48,0.42,0.84
83,64.72,0.01,99,13.42,3741.86,6.38,3735.47,-0.32,0.77,0.79,-0.15,-0.45,0.25,2.48,1.92,3.26,0.47,0.48,0.16
84,58.22,0.06,94,2.73,3812.44,1.87,3810.57,-1.51,5.37,2.97,-0.94,-1.47,1.39,3.18,2.64,2.63,0.5,0.61,0.15
85,38.33,0.04,96,34.26,3838.29,6.44,3831.85,-0.01,-0.5,0.09,0.08,-0.06,-0.21,2.21,1.72,2.9,0.44,0.57,0.17
86,55.99,0.05,95,4.23,3835.21,2.75,3832.46,-0.29,0.84,1.48,-0.16,-0.53,0.25,2.41,1.9,2.83,0.45,0.65,0.13
87,48.54,0.02,98,14.78,3923.15,5.91,3917.24,-0.25,-0.16,-0.05,-0.05,0.06,-0.02,2.15,2.26,2.69,0.48,0.75,0.24
88,58.4,0.0,100,6.16,4036.28,3.4,4032.88,-2.02,7.42,5.98,-1.33,-2.1,1.63,3.53,2.81,2.64,0.51,0.75,0.56
89,65.37,0.03,97,7.26,4065.1,4.57,4060.54,-0.33,0.63,1.58,-0.16,-0.39,0.02,2.47,2.02,2.94,0.48,0.46,0.29
90,69.36,0.01,99,2.56,3880.93,1.78,3879.15,-1.17,4.2,3.52,-0.75,-1.33,1.09,3.02,2.37,2.87,0.49,0.55,0.15
91,56.21,0.03,97,14.78,4166.51,6.09,4160.41,-0.05,-0.5,0.05,0.05,-0.06,-0.15,2.19,1.7,2.94,0.44,0.55,0.13
92,45.46,0.05,95,20.67,4153.04,4.75,4148.29,-0.76,1.91,1.32,-0.41,-0.51,0.46,2.72,2.39,2.53,0.5,0.62,0.14
93,34.13,0.05,95,36.41,4341.86,7.72,4334.15,-0.35,0.98,1.42,-0.19,-0.56,0.23,2.5,1.93,3.07,0.46,0.61,0.13
94,61.01,0.03,97,8.76,4352.74,3.69,4349.05,-1.02,3.08,2.04,-0.58,-0.79,0.8,2.55,2.24,2.66,0.48,0.54,0.16
95,42.56,0.06,94,35.15,4391.97,6.8,4385.17,-0.46,1.05,1.44,-0.23,-0.42,0.19,2.34,1.84,2.86,0.45,0.37,0.14
96,62.22,0.03,97,6.41,4113.14,4.09,4109.05,-1.22,4.46,2.97,-0.77,-1.36,1.17,2.96,2.32,2.76,0.47,0.56,0.14
97,37.59,0.05,95,35.96,4412.06,7.6,4404.46,-0.84,2.38,1.86,-0.47,-0.63,0.51,2.55,2.45,2.46,0.49,0.59,0.14
98,55.14,0.02,98,6.29,4614.73,4.02,4610.71,-2.02,7.45,5.59,-1.32,-2.08,2.09,3.5,2.87,2.14,0.52,0.75,0.16
99,70.54,0.02,98,8.41,4514.47,4.49,4509.98,-1.13,3.79,3.33,-0.7,-1.12,0.94,2.88,2.32,2.6,0.48,0.4,0.16
100,51.57,0.04,96,33.17,4647.57,8.11,4639.46,-0.52,1.41,1.03,-0.28,-0.51,0.36,2.51,2.12,2.66,0.47,0.34,0.16
101,42.93,0.05,95,35.33,4616.52,7.87,4608.65,-0.96,3.29,2.21,-0.58,-1.02,0.7,2.8,2.22,2.73,0.47,0.39,0.14
102,67.98,0.01,99,6.73,4601.05,3.59,4597.45,-1.09,3.44,2.74,-0.67,-0.99,0.9,2.85,2.54,2.67,0.5,0.51,0.13
103,44.33,0.02,98,28.76,4739.84,6.74,4733.1,-0.04,-0.5,0.01,0.05,-0.07,-0.11,2.16,1.76,3.01,0.46,0.57,0.84
104,60.15,0.02,98,16.93,4854.09,5.42,4848.67,-1.13,3.8,3.76,-0.73,-1.2,0.94,2.93,2.52,2.54,0.5,0.44,0.14
105,56.84,0.02,98,20.04,4892.61,7.02,4885.59,-1.29,4.56,3.4,-0.81,-1.32,1.37,3.02,2.47,2.36,0.49,0.5,0.13
106,64.23,0.0,100,9.7,4769.63,5.35,4764.28,-1.03,3.07,2.58,-0.6,-0.82,0.62,2.6,2.21,2.62,0.48,0.54,0.13
107,54.22,0.0,100,20.7,4716.27,6.43,4709.84,-0.5,1.62,1.4,-0.27,-0.69,0.41,2.4,1.85,3.19,0.44,0.6,0.14
