episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
40,60.03,0.1,90,11,27.49,3.6,23.89,0.52,0.3,0.57,0.49,-0.21,0.51,2.54,1.9,2.18,6.62,0.07,0.13
41,57.92,0.1,90,12.19,29.95,4.02,25.93,0.56,0.37,1.16,0.56,-0.08,0.54,2.6,1.97,2.13,6.7,0.17,0.73
42,74.49,0.02,98,8.65,30.94,4.74,26.2,0.68,0.35,0.83,0.71,0.35,0.25,2.68,1.71,1.95,6.35,0.09,0.13
43,49.92,0.08,92,38.68,36.29,8.35,27.93,0.49,0.39,1.19,0.48,-0.29,0.6,2.61,1.75,2.03,6.39,0.21,0.14
44,59.48,0.04,96,24.72,38.93,6.74,32.19,0.46,0.46,1.17,0.45,-0.54,0.93,2.52,1.77,2.25,6.54,0.3,0.13
45,59.92,0.05,95,36.46,34.22,7.84,26.38,0.54,0.26,0.55,0.49,-0.21,0.37,2.7,2.07,2.27,7.05,0.14,0.14
46,59.89,0.08,92,10.3,35.95,5.64,30.3,0.48,0.27,0.8,0.41,-0.46,0.52,2.48,1.88,2.32,6.67,0.28,0.14
47,57.3,0.05,95,34.48,32.42,6.71,25.71,0.64,0.24,0.47,0.6,0.06,0.31,2.18,1.32,1.87,5.37,0.1,0.13
48,51.79,0.06,94,45.2,36.47,8.47,28.0,0.44,0.57,1.57,0.47,-0.52,1.1,2.73,1.96,2.32,7.01,0.2,0.13
49,66.72,0.04,96,21.42,32.94,6.69,26.25,0.56,0.31,1.57,0.54,-0.07,0.32,2.69,2.0,2.23,6.92,0.12,0.13
50,58.78,0.07,93,9.77,30.03,3.41,26.62,0.81,0.06,-0.09,0.75,0.67,-0.17,1.87,0.99,1.36,4.22,0.17,0.12
51,63.54,0.07,93,3.52,29.81,2.26,27.55,0.52,0.2,0.5,0.44,-0.3,0.46,2.04,1.43,1.99,5.46,0.18,0.13
52,69.79,0.06,94,17.85,29.58,3.92,25.66,0.14,0.77,2.67,0.17,-1.59,1.64,3.33,2.58,3.33,9.24,0.12,0.12
53,43.09,0.08,92,40.21,40.48,7.64,32.85,0.61,0.11,0.08,0.52,-0.03,0.28,1.89,1.23,1.73,4.85,0.34,0.14
54,69.69,0.02,98,15.16,31.35,4.57,26.78,0.49,0.28,0.76,0.42,-0.52,0.82,2.06,1.43,2.18,5.67,0.11,0.13
55,64.21,0.02,98,19.94,33.45,5.65,27.8,0.83,0.08,-0.13,0.79,0.83,-0.21,2.06,1.25,1.32,4.62,0.15,0.14
56,57.61,0.11,89,13.04,30.55,4.84,25.71,0.28,0.59,1.19,0.27,-1.23,1.57,2.55,1.92,2.8,7.27,0.18,0.13
57,58.16,0.07,93,16.33,30.17,4.97,25.2,0.81,0.06,-0.11,0.74,0.63,-0.13,1.85,1.02,1.24,4.11,0.1,0.12
58,71.65,0.06,94,6.88,29.71,3.62,26.09,0.17,0.81,3.68,0.22,-1.5,1.66,3.23,2.49,3.12,8.84,0.14,0.12
59,61.98,0.04,96,20,34.19,5.67,28.52,0.63,0.18,0.21,0.57,0.08,0.27,2.12,1.46,1.67,5.25,0.21,0.13
60,70.84,0.02,98,17.65,29.84,4.05,25.8,0.52,0.31,1.08,0.49,-0.2,0.46,2.47,1.85,1.99,6.31,0.06,0.14
61,50.13,0.06,94,33.09,38.3,8.06,30.23,0.79,0.07,-0.1,0.74,0.67,-0.26,1.96,1.1,1.42,4.47,0.27,0.13
62,82.67,0.01,99,6.28,29.68,3.38,26.3,0.19,0.69,2.26,0.21,-1.43,1.6,3.15,2.61,3.12,8.88,0.08,0.77
63,56.3,0.09,91,14.42,34.6,6.84,27.76,0.66,0.24,0.01,0.64,0.3,0.24,2.5,1.72,1.87,6.1,0.23,0.14
64,77.9,0.03,97,7.19,32.52,4.03,28.49,0.09,0.84,2.94,0.14,-1.8,1.96,3.27,2.71,3.33,9.31,0.2,0.13
65,51.92,0.06,94,34.23,35.3,7.43,27.87,0.64,0.05,0.06,0.54,0.11,0.05,2.0,1.4,1.78,5.18,0.2,0.13
66,54.84,0.03,97,35.01,33.41,6.73,26.68,0.67,0.03,0.1,0.54,0.01,0.23,1.34,0.67,1.53,3.54,0.13,0.12
67,64.67,0.02,98,32.84,34.51,7.43,27.08,0.37,0.41,2.18,0.34,-0.75,0.6,2.8,2.1,2.58,7.48,0.14,0.13
68,53.48,0.1,90,17.2,33.06,5.9,27.16,0.6,0.12,0.45,0.51,-0.1,0.22,2.01,1.37,1.91,5.29,0.21,0.14
69,64.23,0.05,95,34.08,31.52,6.55,24.97,0.23,0.77,2.24,0.29,-1.28,1.7,3.1,2.33,2.9,8.33,0.05,0.13
70,63.2,0.04,96,21.25,34.71,6.44,28.27,0.52,0.2,0.74,0.44,-0.27,0.36,2.41,1.78,2.24,6.43,0.2,0.13
71,63.42,0.06,94,12.45,30.32,3.47,26.85,0.63,0.22,0.41,0.6,0.22,0.15,2.44,1.78,1.87,6.08,0.18,0.14
72,65.9,0.01,99,28.95,32.77,6.04,26.73,0.54,0.33,0.94,0.5,-0.23,0.69,2.22,1.52,1.97,5.72,0.1,0.14
73,65.9,0.07,93,6.63,30.39,3.46,26.92,0.31,0.51,2.08,0.28,-1.11,1.14,2.61,1.98,2.74,7.33,0.18,0.13
74,68.11,0.01,99,15.8,33.13,5.96,27.17,0.72,0.05,-0.05,0.64,0.36,0.01,1.72,1.03,1.32,4.07,0.13,0.13
75,52.45,0.04,96,43.22,35.63,7.11,28.52,0.92,0.09,-0.21,0.91,1.18,-0.39,2.07,1.12,1.19,4.38,0.21,0.13
76,70.75,0.02,98,12.09,36.21,6.11,30.1,0.53,0.35,0.85,0.51,-0.19,0.52,2.69,1.91,2.21,6.82,0.24,0.13
77,61.93,0.05,95,29,39.35,6.48,32.86,0.28,0.72,3.0,0.33,-1.11,1.3,3.28,2.43,3.05,8.77,0.3,0.13
78,58.38,0.02,98,33.63,38.28,8.04,30.24,0.83,0.07,-0.05,0.77,0.73,-0.16,1.89,1.12,1.54,4.55,0.24,0.13
79,71.32,0.03,97,10.8,32.23,4.46,27.77,0.42,0.37,1.49,0.37,-0.69,0.94,2.43,1.84,2.41,6.68,0.18,0.13
80,67.0,0.05,95,25.22,30.28,5.42,24.86,0.19,0.73,2.23,0.2,-1.52,1.78,2.86,2.21,2.93,8.0,0.03,0.12
81,69.59,0.02,98,26.8,33.69,5.77,27.92,0.17,0.82,2.62,0.23,-1.49,1.78,3.12,2.5,2.99,8.61,0.17,0.13
82,60.32,0.06,94,15.11,32.55,4.94,27.62,0.46,0.32,0.85,0.4,-0.58,0.87,2.23,1.73,2.27,6.23,0.2,0.74
83,63.98,0.02,98,14.62,36.98,6.9,30.08,0.68,0.03,0.09,0.55,0.07,0.11,1.5,0.82,1.52,3.84,0.24,0.13
84,66.14,0.05,95,2.55,32.49,1.77,30.72,0.52,0.27,0.68,0.44,-0.46,0.75,1.9,1.21,1.97,5.08,0.27,0.13
85,59.14,0.03,97,31.3,33.98,6.34,27.65,0.66,0.04,0.05,0.54,0.07,0.04,1.86,1.23,1.82,4.91,0.17,0.14
86,78.17,0.0,100,3.84,29.28,2.52,26.76,0.6,0.37,0.87,0.61,0.02,0.61,2.36,1.59,1.77,5.72,0.09,0.13
87,68.31,0.03,97,14.52,31.24,5.78,25.46,0.59,0.27,0.73,0.55,-0.1,0.54,1.97,1.23,1.81,5.01,0.05,0.13
88,77.63,0.01,99,6.67,30.78,3.61,27.17,0.67,0.29,0.63,0.66,0.29,0.31,2.62,1.89,1.86,6.36,0.11,0.14
89,73.12,0.04,96,6.38,29.78,4.05,25.73,0.5,0.32,1.29,0.46,-0.37,0.49,2.47,1.78,2.35,6.6,0.09,0.13
90,75.76,0.01,99,2.47,30.97,1.74,29.23,0.48,0.45,1.21,0.47,-0.48,0.91,2.48,1.83,2.29,6.61,0.18,0.13
91,68.79,0.03,97,13.15,32.23,5.37,26.87,0.35,0.5,2.08,0.32,-1.0,1.29,2.37,1.72,2.5,6.59,0.13,0.13
92,65.85,0.04,96,20.21,30.1,4.97,25.12,0.48,0.31,0.84,0.42,-0.51,0.7,2.29,1.64,2.32,6.25,0.03,0.13
93,60.02,0.0,100,33.11,37.82,7.44,30.38,0.88,0.08,-0.15,0.85,0.97,-0.24,1.9,1.12,1.13,4.15,0.2,0.13
94,73.25,0.02,98,12.78,31.3,4.54,26.76,0.34,0.52,1.53,0.32,-0.97,1.18,2.53,1.93,2.48,6.94,0.12,0.13
95,65.3,0.02,98,27.63,32.76,5.98,26.78,0.71,0.06,-0.05,0.63,0.39,-0.03,2.14,1.61,1.68,5.44,0.11,0.14
96,61.91,0.04,96,6.32,35.56,4.04,31.52,0.79,0.06,-0.04,0.71,0.57,-0.14,1.69,0.95,1.38,4.01,0.27,0.13
97,55.19,0.03,97,41.07,37.97,8.35,29.63,0.53,0.17,0.43,0.46,-0.17,0.19,2.31,1.66,1.98,5.95,0.24,0.13
98,68.79,0.05,95,6.38,35.72,4.07,31.64,0.41,0.43,1.31,0.39,-0.65,0.96,2.66,2.08,2.5,7.24,0.28,0.13
99,70.67,0.05,95,7.98,29.32,4.31,25.01,0.57,0.27,0.94,0.52,-0.14,0.53,2.4,1.73,2.07,6.2,0.05,0.13
100,60.24,0.03,97,32.33,34.63,7.93,26.7,0.59,0.24,0.57,0.54,-0.09,0.28,2.34,1.6,2.06,6.0,0.13,0.17
101,56.59,0.06,94,35.32,34.18,7.71,26.47,0.46,0.49,1.36,0.47,-0.47,0.91,2.69,2.03,2.21,6.94,0.15,0.22
102,72.96,0.01,99,6.55,31.5,3.5,28.0,0.47,0.29,0.83,0.4,-0.61,0.81,2.15,1.59,2.29,6.03,0.16,0.25
103,73.08,0.02,98,18.8,31.88,5.6,26.29,0.77,0.08,0.01,0.71,0.63,-0.2,2.82,2.11,2.26,7.18,0.1,1.97
104,63.96,0.04,96,27.47,33.02,6.0,27.02,0.42,0.45,1.39,0.41,-0.6,0.9,2.83,2.2,2.45,7.48,0.14,0.23
105,71.47,0.01,99,17.21,32.8,6.54,26.26,0.58,0.29,0.52,0.55,-0.07,0.56,2.24,1.59,1.93,5.76,0.08,0.18
106,70.2,0.02,98,9.04,33.07,5.07,28.0,0.66,0.32,0.36,0.66,0.25,0.37,2.52,1.84,1.89,6.24,0.17,0.18
107,73.47,0.0,100,22.97,36.66,6.92,29.74,0.26,0.58,1.54,0.26,-1.17,1.33,2.9,2.26,2.72,7.88,0.2,0.28
108,63.67,0.05,95,20.46,29.77,4.34,25.43,0.75,0.09,-0.14,0.71,0.67,-0.25,2.22,1.48,1.56,5.26,0.09,0.29
109,68.73,0.0,100,22.39,33.27,5.05,28.22,0.73,0.21,0.43,0.71,0.46,0.14,2.18,1.37,1.64,5.19,0.16,0.32
110,68.85,0.01,99,20.53,31.52,4.73,26.79,0.7,0.26,0.49,0.68,0.33,0.3,2.21,1.46,1.62,5.29,0.11,0.24
111,61.29,0.01,99,35.56,35.28,8.61,26.67,0.9,0.09,-0.15,0.87,1.05,-0.33,2.13,1.24,1.43,4.81,0.08,0.23
112,68.73,0.01,99,29.88,32.49,6.03,26.46,0.39,0.55,1.32,0.41,-0.68,1.05,2.75,2.11,2.43,7.29,0.09,0.19
113,72.22,0.02,98,3.51,34.3,2.4,31.9,0.47,0.3,0.69,0.41,-0.5,0.63,2.51,1.9,2.44,6.85,0.27,0.2
114,67.37,0.0,100,33.6,35.6,8.49,27.1,0.49,0.42,1.96,0.48,-0.43,0.76,2.45,1.68,2.14,6.27,0.12,0.24
115,82.44,0.0,100,5.36,29.56,3.42,26.14,0.31,0.51,1.32,0.3,-0.99,1.16,2.86,2.31,2.69,7.86,0.04,0.22
116,67.59,0.01,99,20.03,32.76,4.38,28.38,0.49,0.29,1.02,0.42,-0.52,0.72,2.05,1.37,2.04,5.46,0.16,0.19
117,73.02,0.0,100,7.37,34.26,4.64,29.62,0.75,0.05,-0.04,0.66,0.39,-0.03,1.82,1.09,1.54,4.45,0.19,0.23
118,72.2,0.01,99,14.71,31.58,5.8,25.78,0.7,0.07,-0.03,0.62,0.38,-0.08,2.05,1.42,1.67,5.14,0.02,0.2
119,68.61,0.02,98,24.56,33.21,6.45,26.76,0.41,0.6,1.58,0.45,-0.62,1.19,2.81,2.11,2.4,7.32,0.11,0.19
120,66.76,0.02,98,31.04,33.1,6.98,26.12,0.54,0.29,1.12,0.5,-0.16,0.38,2.67,1.97,2.29,6.93,0.09,0.19
121,68.31,0.02,98,24.29,37.87,6.32,31.55,0.21,0.66,1.57,0.22,-1.38,1.48,3.01,2.36,3.05,8.42,0.24,0.16
122,70.35,0.06,94,13.43,29.84,4.78,25.06,0.18,0.72,1.55,0.2,-1.48,1.78,3.04,2.55,2.96,8.55,0.08,0.14
123,66.68,0.05,95,13.56,29.89,5.01,24.88,0.65,0.28,0.41,0.64,0.26,0.35,2.5,1.78,1.81,6.08,0.04,0.8
124,74.18,0.01,99,11.57,35.32,5.8,29.52,0.24,0.6,2.64,0.24,-1.21,1.23,3.0,2.28,2.85,8.13,0.19,0.15
125,74.89,0.0,100,25.32,32.84,6.62,26.22,0.39,0.55,1.11,0.41,-0.72,1.14,2.83,2.22,2.54,7.59,0.04,0.13
126,54.76,0.03,97,45.78,37.51,8.52,28.99,0.5,0.39,1.39,0.48,-0.36,0.69,2.29,1.68,2.01,5.98,0.21,0.14
127,73.95,0.01,99,17.54,31.65,5.07,26.59,0.35,0.59,2.01,0.36,-0.92,1.22,2.72,2.0,2.54,7.26,0.1,0.14
128,74.32,0.0,100,13.56,32.46,5.55,26.9,0.52,0.22,0.83,0.44,-0.34,0.36,2.35,1.66,2.18,6.19,0.1,0.15
129,64.06,0.01,99,33.35,34.52,7.49,27.03,0.58,0.26,1.06,0.54,-0.08,0.39,2.23,1.54,1.86,5.63,0.12,0.13
130,61.39,0.04,96,21.27,30.53,4.67,25.85,0.82,0.07,-0.09,0.76,0.71,-0.17,1.94,1.07,1.32,4.33,0.1,0.13
131,66.11,0.01,99,20,32.44,4.36,28.08,0.83,0.08,-0.12,0.79,0.81,-0.25,2.01,1.22,1.39,4.63,0.15,0.13
132,74.53,0.0,100,27.63,37.32,7.06,30.26,0.01,0.97,3.38,0.08,-2.07,2.33,3.43,2.77,3.5,9.7,0.23,0.13
133,57.11,0.04,96,23.24,38.66,5.55,33.1,0.66,0.14,0.02,0.61,0.29,0.03,2.19,1.31,1.59,5.09,0.32,0.14
134,75.02,0.0,100,18.48,33.49,7.24,26.26,0.45,0.31,0.67,0.4,-0.52,0.6,2.53,1.84,2.29,6.66,0.06,0.14
135,77.04,0.01,99,2.18,27.67,1.59,26.08,0.49,0.27,0.97,0.43,-0.45,0.59,2.08,1.43,2.03,5.54,0.06,0.14
136,70.25,0.03,97,4.37,32.82,2.82,30.0,0.65,0.39,1.11,0.67,0.2,0.41,2.7,1.8,1.99,6.5,0.24,0.14
137,68.27,0.01,99,15.52,34.32,5.51,28.81,0.63,0.04,0.13,0.51,-0.05,0.14,1.82,1.34,1.9,5.06,0.17,0.13
138,76.02,0.01,99,8.02,30.84,4.6,26.24,0.49,0.29,0.84,0.42,-0.51,0.66,2.15,1.59,2.12,5.86,0.07,0.13
139,68.03,0.02,98,23.35,32.39,6.35,26.04,0.45,0.49,0.73,0.46,-0.55,1.02,2.6,1.76,2.45,6.82,0.08,0.13
140,70.73,0.0,100,17.77,33.94,5.0,28.94,0.71,0.2,0.59,0.67,0.32,0.26,2.21,1.39,1.7,5.3,0.18,0.13
141,70.08,0.0,100,21.73,34.92,6.62,28.3,0.59,0.31,0.67,0.56,-0.07,0.57,2.36,1.59,1.98,5.93,0.16,0.13
142,73.18,0.01,99,16.22,33.7,6.1,27.6,0.56,0.35,0.65,0.55,-0.1,0.6,2.74,1.99,2.22,6.95,0.14,0.13
143,73.01,0.01,99,19.03,34.97,7.02,27.96,0.27,0.59,2.52,0.26,-1.21,1.34,2.83,2.13,2.84,7.8,0.14,0.14
