episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,22.26,0.14,86,10.87,29.63,5.33,24.3,-1.39,5.04,4.0,-0.9,-1.53,1.15,3.13,1.79,1.77,0.49,0.6,0.15
2,-0.21,0.25,75,22.35,67.53,5.16,62.37,-0.15,-0.29,0.07,-0.01,-0.03,-0.12,2.57,2.11,3.01,0.47,0.61,0.12
3,10.35,0.22,78,11.74,106.14,4.01,102.13,-1.54,5.74,3.63,-0.97,-1.65,1.53,3.31,1.85,1.68,0.5,0.64,0.12
4,-2.52,0.23,77,30.49,150.87,7.36,143.51,-0.59,1.67,2.29,-0.35,-0.68,0.37,2.64,1.92,2.74,0.47,0.4,0.17
5,6.1,0.19,81,24.96,183.68,6.02,177.65,-1.11,3.84,3.35,-0.69,-1.15,0.83,3.07,1.98,1.96,0.5,0.41,0.17
6,7.59,0.22,78,16.21,227.46,5.13,222.33,-0.43,0.9,1.28,-0.2,-0.35,0.07,2.63,1.78,2.62,0.48,0.44,0.38
7,2.25,0.29,71,8.55,254.49,3.08,251.41,-0.65,2.26,1.71,-0.38,-0.85,0.53,2.62,1.8,2.44,0.47,0.57,0.41
8,4.14,0.22,78,21.77,302.19,5.57,296.62,-0.84,2.93,2.61,-0.51,-0.99,0.72,2.77,1.83,2.28,0.49,0.53,0.13
9,0.9,0.18,82,34.95,352.95,6.54,346.41,-0.75,2.06,2.92,-0.44,-0.66,0.24,2.72,1.88,2.27,0.48,0.35,0.13
10,-13.1,0.23,77,47.79,386.07,9.24,376.83,-0.98,3.48,1.78,-0.61,-1.15,0.83,2.73,1.71,2.12,0.45,0.5,0.17
11,-22.19,0.26,74,57.51,426.07,9.7,416.38,-0.44,1.17,1.25,-0.25,-0.54,0.25,2.81,1.76,2.53,0.5,0.38,0.13
12,2.88,0.3,70,4.81,445.55,2.69,442.86,-0.4,1.1,1.29,-0.2,-0.51,0.18,2.6,1.64,2.54,0.48,0.44,0.14
13,7.13,0.24,76,12.39,490.25,4.62,485.63,-1.24,4.08,2.45,-0.74,-1.09,1.11,2.95,1.78,1.97,0.48,0.52,0.12
14,6.76,0.22,78,17.54,538.43,6.51,531.92,-0.67,1.91,2.28,-0.41,-0.7,0.46,2.73,1.73,2.38,0.47,0.28,0.13
15,8.69,0.18,82,22.99,572.13,7.05,565.07,-0.74,1.92,0.94,-0.39,-0.48,0.53,2.8,1.68,2.29,0.48,0.62,0.13
16,18.94,0.13,87,17.75,607.52,7.17,600.34,-0.64,1.5,1.61,-0.34,-0.41,0.38,2.62,1.79,2.26,0.48,0.64,0.14
17,19.73,0.16,84,10.4,663.52,4.1,659.43,-1.56,5.66,4.53,-1.01,-1.67,1.42,3.13,1.9,1.64,0.49,0.64,0.14
18,18.43,0.13,87,18.48,707.52,6.01,701.52,-0.56,1.48,1.48,-0.32,-0.55,0.43,2.62,1.74,2.58,0.48,0.35,0.13
19,-5.63,0.32,68,15.15,737.93,6.01,731.91,-1.17,3.61,4.18,-0.73,-1.0,0.74,2.94,2.07,2.12,0.49,0.5,0.16
20,-8.95,0.32,68,21.29,763.22,6.96,756.26,-0.9,2.96,2.71,-0.55,-0.94,0.83,2.59,1.46,2.18,0.46,0.35,0.12
21,6.91,0.19,81,23.69,822.76,6.66,816.1,-1.47,5.45,3.9,-0.93,-1.59,1.41,3.25,1.98,1.74,0.51,0.63,0.79
22,26.42,0.15,85,2.6,862.95,1.8,861.15,-1.59,5.81,4.38,-1.04,-1.7,1.46,3.14,1.95,1.62,0.48,0.65,0.12
23,14.31,0.11,89,28.17,879.98,7.57,872.4,-1.32,4.31,4.49,-0.84,-1.22,0.84,3.09,2.24,1.86,0.5,0.55,0.13
24,10.19,0.1,90,35.73,936.56,7.56,929.0,-1.55,5.5,5.57,-1.03,-1.66,1.2,3.07,2.04,1.72,0.48,0.64,0.13
