episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,26.71,0.21,79,10.84,28.56,5.32,23.24,0.88,0.08,-0.14,0.85,1.01,-0.33,1.84,1.04,1.2,4.08,0.18,0.38
2,43.91,0.19,81,21.98,27.7,5.6,22.1,0.36,0.57,1.77,0.38,-0.84,1.1,3.0,2.33,2.84,8.17,0.11,0.34
3,38.8,0.23,77,11.17,24.24,3.9,20.34,0.17,0.72,2.78,0.19,-1.49,1.53,3.09,2.46,3.05,8.6,0.04,0.38
4,23.73,0.27,73,27.75,27.82,7.33,20.49,0.51,0.32,0.75,0.47,-0.35,0.63,2.4,1.64,2.18,6.22,0.11,0.36
5,25.92,0.24,76,24.76,26.43,5.93,20.5,0.64,0.22,1.0,0.58,0.04,0.24,2.08,1.28,1.87,5.22,0.09,0.34
6,23.82,0.24,76,16.47,25.82,5.16,20.66,0.64,0.03,0.09,0.52,-0.01,0.22,1.63,1.08,1.82,4.53,0.09,0.32
7,32.59,0.22,78,11.1,25.95,3.69,22.26,0.63,0.21,0.32,0.59,0.17,0.25,2.47,1.86,1.9,6.23,0.17,0.35
8,35.9,0.17,83,21.98,28.6,5.27,23.33,0.89,0.1,-0.2,0.88,1.13,-0.38,2.05,1.42,1.41,4.88,0.15,0.31
9,47.29,0.18,82,31.77,30.32,6.52,23.8,0.13,0.78,2.8,0.17,-1.64,1.69,3.17,2.5,3.12,8.79,0.18,0.31
10,31.73,0.2,80,47.6,33.31,9.23,24.08,0.57,0.32,1.26,0.54,-0.15,0.54,2.1,1.36,1.91,5.38,0.22,0.18
11,32.31,0.22,78,56.21,30.15,9.63,20.51,0.63,0.3,0.44,0.62,0.15,0.32,2.62,1.8,1.97,6.38,0.01,0.12
12,37.08,0.23,77,5.31,24.52,2.91,21.61,0.21,0.69,2.31,0.22,-1.46,1.66,2.88,2.23,2.96,8.08,0.14,0.13
13,38.56,0.17,83,10.84,26.51,4.34,22.17,0.46,0.32,1.12,0.4,-0.57,0.71,2.07,1.39,2.07,5.53,0.08,0.13
14,28.32,0.25,75,16.8,26.62,6.27,20.35,0.54,0.33,0.87,0.52,-0.17,0.54,2.6,1.85,2.08,6.53,0.1,0.12
15,25.98,0.24,76,22.04,28.62,7.07,21.55,0.6,0.28,0.56,0.56,-0.05,0.48,2.18,1.41,1.78,5.37,0.16,0.16
16,27.7,0.21,79,20.05,29.27,7.4,21.87,0.65,0.04,0.09,0.53,0.0,0.12,1.66,1.11,1.65,4.42,0.13,0.12
17,42.11,0.16,84,11.4,26.76,4.31,22.45,0.6,0.26,0.54,0.56,-0.04,0.32,2.39,1.71,1.98,6.08,0.08,0.12
18,36.74,0.21,79,18.66,27.28,6.04,21.24,0.38,0.56,1.3,0.4,-0.8,1.2,2.73,1.9,2.42,7.05,0.08,0.15
19,38.71,0.21,79,16.96,27.45,6.13,21.32,0.41,0.61,1.26,0.45,-0.65,1.15,2.96,2.13,2.57,7.66,0.09,0.12
20,39.51,0.14,86,19.86,29.71,6.41,23.3,0.73,0.05,-0.01,0.64,0.38,-0.01,1.8,1.13,1.65,4.58,0.1,0.13
21,23.41,0.25,75,33.88,32.61,7.47,25.15,0.66,0.27,0.66,0.63,0.19,0.36,2.11,1.44,1.76,5.31,0.3,0.7
22,44.72,0.1,90,2.31,25.9,1.66,24.24,0.88,0.08,-0.17,0.85,0.99,-0.27,1.91,1.03,1.08,4.02,0.09,0.14
23,56.06,0.11,89,28.52,33.19,7.66,25.53,0.3,0.61,1.13,0.31,-1.02,1.46,2.97,2.24,2.73,7.93,0.15,0.13
24,49.23,0.14,86,37.49,30.06,7.5,22.56,0.39,0.53,1.26,0.41,-0.66,0.97,2.74,2.1,2.46,7.31,0.03,0.13
25,41.81,0.13,87,35.13,31.93,8.59,23.33,0.73,0.06,-0.08,0.66,0.5,-0.14,2.02,1.38,1.49,4.9,0.09,0.13
26,62.39,0.06,94,3.53,27.24,2.39,24.85,0.48,0.24,0.9,0.42,-0.38,0.39,2.57,2.11,2.29,6.97,0.06,0.12
27,58.23,0.12,88,16.02,31.55,6.21,25.34,0.27,0.57,1.69,0.26,-1.15,1.31,3.2,2.59,3.11,8.91,0.16,0.13
28,44.36,0.13,87,29.83,37.11,6.97,30.14,0.5,0.25,0.35,0.43,-0.4,0.64,2.25,1.56,2.08,5.9,0.32,0.14
29,45.73,0.12,88,19.2,33.55,7.07,26.48,0.42,0.39,0.77,0.37,-0.75,1.0,2.04,1.4,2.17,5.61,0.22,0.13
30,50.58,0.12,88,21.42,30.3,5.73,24.57,0.52,0.28,0.85,0.48,-0.18,0.44,2.58,1.97,2.2,6.75,0.13,0.13
31,49.78,0.09,91,25.32,31.49,6.48,25.01,0.71,0.06,-0.05,0.63,0.34,-0.1,2.11,1.47,1.67,5.25,0.11,0.14
32,44.08,0.12,88,33.74,33.48,7.89,25.59,0.74,0.08,-0.14,0.69,0.59,-0.24,2.14,1.5,1.52,5.16,0.16,0.12
33,57.57,0.09,91,57.67,34.54,9.7,24.84,0.37,0.57,1.95,0.39,-0.82,1.19,2.84,2.07,2.58,7.48,0.11,0.12
34,51.97,0.1,90,3.92,26.48,2.59,23.89,0.67,0.36,0.96,0.69,0.3,0.41,2.51,1.67,1.81,5.99,0.07,0.12
35,48.19,0.1,90,25.6,29.92,6.32,23.6,0.61,0.06,-0.04,0.52,0.11,-0.04,2.07,1.37,1.74,5.18,0.03,0.13
