episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
40,62.14,0.13,87,9.59,26.51,3.27,23.24,0.79,0.07,-0.06,0.73,0.63,-0.21,2.28,1.48,1.64,5.4,0.08,0.12
41,65.52,0.1,90,11.13,29.6,3.76,25.84,0.82,0.07,-0.09,0.77,0.78,-0.22,1.89,1.22,1.32,4.43,0.15,0.7
42,78.11,0.05,95,8.88,30.65,4.97,25.68,0.75,0.05,-0.02,0.66,0.39,0.04,1.56,0.73,1.3,3.59,0.11,0.13
43,24.35,0.1,90,39.96,35.36,8.07,27.29,0.53,0.18,0.28,0.45,-0.22,0.38,2.18,1.58,1.98,5.73,0.22,0.14
44,34.13,0.09,91,34.14,40.37,7.89,32.48,0.72,0.04,0.02,0.62,0.25,0.1,1.56,0.87,1.48,3.91,0.34,0.13
45,20.79,0.06,94,46.04,35.92,8.64,27.28,0.47,0.4,0.86,0.45,-0.45,0.9,2.52,1.9,2.2,6.63,0.19,0.12
46,72.48,0.08,92,8.89,32.67,5.08,27.59,0.65,0.03,0.07,0.53,0.01,0.09,1.8,1.25,1.84,4.89,0.21,0.14
47,35.63,0.13,87,28.78,30.77,6.26,24.51,0.52,0.29,0.83,0.47,-0.34,0.55,2.36,1.79,2.23,6.38,0.15,0.12
48,15.76,0.12,88,44.12,33.45,8.25,25.2,0.35,0.43,1.3,0.32,-0.84,0.99,3.0,2.54,2.84,8.39,0.17,0.12
49,53.44,0.07,93,23.05,32.26,7.21,25.05,0.37,0.46,1.35,0.34,-0.86,1.03,2.47,1.85,2.32,6.64,0.09,0.13
50,79.41,0.05,95,8.02,30.57,2.99,27.58,0.34,0.45,1.41,0.31,-0.94,1.22,3.05,2.66,2.92,8.63,0.18,0.13
51,74.43,0.11,89,3.53,26.83,2.26,24.56,0.43,0.33,0.67,0.38,-0.56,0.72,2.49,1.76,2.45,6.71,0.13,0.13
52,59.03,0.09,91,16.9,27.91,3.76,24.15,0.33,0.46,1.38,0.31,-0.88,0.98,2.89,2.22,2.68,7.79,0.07,0.13
53,32.78,0.11,89,33.01,34.35,6.78,27.57,0.68,0.16,0.1,0.61,0.14,0.28,2.07,1.3,1.86,5.24,0.24,0.15
54,60.71,0.07,93,18.13,30.1,5.26,24.84,0.83,0.07,-0.07,0.78,0.79,-0.21,1.77,0.94,1.43,4.14,0.08,0.15
