episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,37.76,0.25,75,11.28,27.05,5.5,21.55,0.3,0.54,1.48,0.28,-1.16,1.5,2.39,1.84,2.61,6.84,0.16,0.35
2,27.16,0.19,81,28.1,30.51,6.44,24.07,0.59,0.39,1.03,0.6,0.03,0.52,2.67,1.72,2.02,6.41,0.2,0.35
3,49.27,0.2,80,9.45,24.85,3.52,21.32,0.16,0.74,2.79,0.18,-1.55,1.74,3.21,2.65,3.15,9.01,0.07,0.33
4,27.29,0.21,79,25.49,28.65,6.98,21.67,0.48,0.37,1.07,0.46,-0.35,0.59,2.77,2.13,2.39,7.29,0.12,0.34
5,18.51,0.26,74,26.11,25.83,6.05,19.78,0.74,0.06,-0.01,0.66,0.43,-0.05,1.7,1.16,1.42,4.28,0.07,0.21
6,40.0,0.2,80,16.75,27.14,5.22,21.92,0.26,0.73,3.06,0.31,-1.18,1.51,3.14,2.3,2.85,8.29,0.12,0.12
7,42.68,0.23,77,10.26,25.4,3.55,21.84,0.84,0.07,-0.11,0.79,0.8,-0.15,1.8,1.03,1.14,3.97,0.15,0.12
8,49.27,0.14,86,17.65,29.15,4.22,24.93,0.66,0.2,0.24,0.62,0.23,0.22,2.09,1.55,1.7,5.34,0.19,0.12
9,10.02,0.26,74,33.34,30.55,6.93,23.62,0.59,0.13,0.25,0.49,-0.17,0.39,1.76,1.11,1.82,4.69,0.26,0.12
10,3.37,0.2,80,45.6,30.59,9.14,21.45,0.7,0.07,-0.07,0.62,0.41,-0.14,1.96,1.25,1.48,4.69,0.08,0.12
11,-7.87,0.16,84,57.9,32.64,9.71,22.93,0.28,0.54,1.78,0.28,-1.02,1.21,2.73,2.07,2.55,7.34,0.11,0.12
12,38.81,0.27,73,7.21,25.45,3.72,21.73,0.5,0.41,1.13,0.49,-0.37,0.9,2.29,1.64,2.0,5.93,0.2,0.12
13,54.75,0.15,85,12.31,27.48,4.52,22.96,0.51,0.22,0.15,0.44,-0.31,0.46,2.13,1.52,2.02,5.67,0.1,0.12
14,47.78,0.18,82,13.46,27.61,5.51,22.1,0.6,0.24,0.71,0.54,-0.1,0.55,1.85,1.1,1.76,4.71,0.08,0.12
15,27.6,0.22,78,23.94,30.39,7.21,23.18,0.52,0.24,1.2,0.43,-0.46,0.57,1.87,1.18,2.04,5.09,0.19,0.12
16,48.73,0.14,86,18.05,29.77,7.07,22.7,0.38,0.55,0.95,0.41,-0.67,1.24,2.72,1.99,2.35,7.06,0.05,0.12
17,51.98,0.17,83,11.64,26.99,4.55,22.43,0.37,0.45,1.49,0.34,-0.87,0.97,2.54,1.81,2.45,6.8,0.09,0.12
18,42.56,0.15,85,21.34,29.04,6.69,22.35,0.87,0.09,-0.21,0.85,1.04,-0.37,2.33,1.35,1.28,4.96,0.04,0.12
19,38.97,0.21,79,16.18,27.21,6.02,21.19,0.74,0.06,0.02,0.66,0.41,-0.06,1.87,1.2,1.6,4.67,0.08,0.16
20,26.75,0.25,75,20.53,26.62,6.59,20.03,0.57,0.25,0.43,0.53,-0.1,0.38,2.68,2.16,2.25,7.09,0.06,0.14
21,23.59,0.23,77,25.88,29.03,6.64,22.39,0.75,0.07,-0.08,0.69,0.6,-0.21,2.23,1.7,1.65,5.58,0.18,0.73
22,79.86,0.09,91,2.48,28.66,1.74,26.92,0.61,0.14,0.2,0.51,-0.15,0.44,1.53,0.87,1.7,4.1,0.21,0.13
23,35.62,0.13,87,28.79,33.26,7.72,25.54,0.36,0.45,1.79,0.32,-0.9,0.91,2.72,2.09,2.78,7.6,0.19,0.14
24,27.14,0.1,90,38,31.17,7.53,23.64,0.77,0.07,-0.09,0.72,0.66,-0.22,2.29,1.72,1.62,5.63,0.04,0.13
25,21.37,0.18,82,33.76,31.72,8.5,23.22,0.44,0.38,1.23,0.39,-0.68,0.96,1.99,1.33,2.07,5.39,0.16,0.12
26,68.73,0.14,86,3.4,24.92,2.31,22.6,0.6,0.27,0.67,0.56,-0.07,0.51,2.13,1.28,1.76,5.16,0.04,0.12
27,38.46,0.21,79,16.58,30.76,6.38,24.38,0.48,0.41,0.67,0.48,-0.34,0.73,2.52,1.86,2.14,6.52,0.22,0.13
28,18.52,0.21,79,32.48,32.18,6.77,25.42,0.32,0.59,1.85,0.31,-1.08,1.3,2.75,1.95,2.76,7.46,0.26,0.12
29,45.56,0.16,84,17.83,32.45,6.95,25.5,0.77,0.07,-0.06,0.7,0.56,-0.12,1.93,1.2,1.39,4.52,0.22,0.12
30,44.29,0.14,86,21.3,29.02,5.19,23.84,0.67,0.06,-0.07,0.59,0.3,-0.15,2.36,1.67,1.86,5.9,0.13,0.14
