episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,31.86,0.27,73,11.36,27.07,5.53,21.53,0.2,0.62,4.76,0.2,-1.29,0.94,3.11,2.49,3.25,8.85,0.2,0.14
2,44.83,0.16,84,24.93,28.16,5.52,22.64,0.48,0.24,1.43,0.4,-0.5,0.14,2.52,1.9,2.51,6.94,0.09,0.14
3,27.03,0.27,73,11.56,23.49,3.98,19.51,0.57,0.07,-0.08,0.48,0.03,-0.1,2.48,2.15,2.42,7.06,0.06,0.14
4,25.42,0.28,72,25.92,27.81,7.22,20.58,0.58,0.06,0.0,0.47,-0.06,-0.03,2.67,2.06,2.62,7.35,0.16,0.15
5,46.36,0.17,83,24.94,28.34,6.14,22.19,0.44,0.27,1.24,0.38,-0.45,0.41,2.8,2.24,2.86,7.89,0.06,0.15
6,27.52,0.26,74,22,25.37,5.64,19.73,0.48,0.25,0.59,0.41,-0.45,0.21,2.42,1.74,2.6,6.76,0.06,0.14
7,19.29,0.3,70,15.23,26.66,4.69,21.97,0.51,0.18,0.76,0.43,-0.3,0.23,2.27,1.87,2.23,6.37,0.24,0.14
8,36.39,0.23,77,22.99,26.24,5.33,20.91,0.39,0.33,1.74,0.35,-0.56,0.39,2.96,2.12,2.88,7.96,0.1,0.12
9,39.07,0.24,76,30.16,27.68,6.07,21.61,0.08,0.83,4.81,0.12,-1.8,1.41,3.33,2.6,3.51,9.45,0.15,0.13
10,41.62,0.18,82,48.78,31.19,9.29,21.9,0.44,0.29,1.77,0.37,-0.64,0.46,2.49,1.92,2.78,7.18,0.07,0.13
11,37.88,0.23,77,54.86,30.61,9.57,21.04,0.26,0.56,3.75,0.24,-1.24,1.03,3.01,2.52,3.14,8.68,0.11,0.13
12,48.5,0.16,84,5.71,27.35,3.08,24.26,0.39,0.36,2.15,0.34,-0.73,0.56,2.77,2.31,2.86,7.94,0.17,0.14
13,53.5,0.12,88,11.7,27.92,4.49,23.43,0.44,0.3,1.64,0.37,-0.62,0.52,2.65,2.14,2.62,7.41,0.07,0.13
14,47.84,0.16,84,14.43,28.55,5.89,22.67,0.53,0.1,-0.02,0.45,0.06,-0.11,2.82,2.23,2.77,7.82,0.1,0.13
15,27.11,0.28,72,23.9,27.91,7.3,20.61,0.44,0.28,2.14,0.37,-0.58,0.31,2.82,2.24,2.86,7.92,0.15,0.13
16,47.58,0.15,85,18.82,29.89,7.21,22.68,0.47,0.25,1.85,0.38,-0.58,0.24,2.62,2.01,2.69,7.33,0.08,0.13
17,36.74,0.22,78,9.26,25.17,3.94,21.23,0.56,0.07,-0.02,0.46,0.02,-0.18,2.69,2.08,2.69,7.46,0.09,0.13
18,38.1,0.2,80,18.43,27.7,6.05,21.65,0.57,0.07,0.04,0.47,0.0,-0.07,2.52,1.94,2.5,6.96,0.1,0.13
19,34.34,0.24,76,15.42,27.07,6.25,20.82,0.32,0.46,3.3,0.29,-1.01,0.65,2.79,2.24,2.9,7.92,0.11,0.13
20,49.18,0.15,85,23.25,30.42,7.05,23.36,0.37,0.39,2.72,0.32,-0.82,0.55,2.76,2.22,2.82,7.81,0.12,0.15
21,36.66,0.21,79,31.82,34.33,7.49,26.84,0.54,0.09,-0.07,0.46,0.08,-0.01,2.67,2.1,2.66,7.43,0.29,0.88
22,61.99,0.09,91,2.43,26.48,1.71,24.77,0.29,0.51,2.8,0.28,-1.04,0.84,2.91,2.37,2.9,8.19,0.11,0.14
23,58.33,0.13,87,28.08,34.24,7.55,26.69,0.14,0.76,4.42,0.16,-1.71,1.4,3.39,2.72,3.47,9.59,0.23,0.14
24,58.51,0.09,91,32.09,31.55,6.9,24.66,0.38,0.4,1.92,0.32,-0.97,0.9,2.67,2.19,2.7,7.56,0.11,0.14
25,44.99,0.16,84,36.57,31.11,8.66,22.45,0.41,0.29,1.28,0.36,-0.52,0.45,2.55,1.96,2.64,7.16,0.08,0.15
26,43.1,0.15,85,3.13,25.29,2.16,23.13,0.65,0.02,0.03,0.52,-0.1,-0.29,2.18,1.49,2.13,5.8,0.11,0.16
27,42.66,0.15,85,16.74,31.96,6.45,25.51,0.64,0.02,0.02,0.51,-0.09,-0.24,2.21,1.62,2.22,6.06,0.18,0.15
28,48.59,0.16,84,32.21,36.0,7.12,28.88,0.3,0.5,3.25,0.27,-1.12,0.76,2.99,2.29,3.19,8.46,0.29,0.15
