episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,34.48,0.25,75,11.6,28.53,5.65,22.88,0.86,0.09,-0.19,0.84,1.02,-0.36,2.21,1.32,1.23,4.76,0.21,0.29
2,47.26,0.17,83,22.31,27.42,5.42,22.0,0.2,0.72,1.9,0.21,-1.48,1.81,2.84,2.14,2.95,7.94,0.06,0.33
3,56.04,0.16,84,10.93,26.13,3.87,22.26,0.64,0.04,0.02,0.54,0.09,0.1,1.71,1.07,1.57,4.36,0.05,0.32
4,33.38,0.19,81,28,29.82,7.28,22.54,0.28,0.57,1.41,0.28,-1.12,1.29,2.82,2.11,2.72,7.64,0.13,0.34
5,41.43,0.2,80,23.82,27.48,5.91,21.58,0.79,0.08,-0.23,0.75,0.75,-0.32,2.02,1.25,1.04,4.31,0.09,0.33
6,24.94,0.25,75,28.37,28.45,6.53,21.92,0.59,0.3,0.34,0.58,0.06,0.42,2.55,1.75,1.95,6.24,0.18,0.32
7,39.8,0.23,77,10.49,24.4,3.56,20.83,0.6,0.06,0.03,0.5,0.07,0.07,2.17,1.6,1.95,5.71,0.09,0.32
8,37.93,0.23,77,21.19,25.47,5.03,20.44,0.4,0.51,1.43,0.4,-0.67,1.07,2.8,2.16,2.4,7.36,0.06,0.31
9,29.28,0.23,77,27.7,27.52,5.91,21.61,0.59,0.3,0.68,0.56,-0.09,0.46,2.27,1.43,1.95,5.65,0.14,0.32
10,25.08,0.19,81,50.57,31.2,9.37,21.83,0.61,0.25,0.66,0.56,-0.06,0.4,2.07,1.32,1.74,5.14,0.09,0.33
11,28.05,0.15,85,55.72,32.36,9.61,22.75,0.57,0.31,0.54,0.54,-0.09,0.55,2.25,1.51,1.94,5.69,0.08,0.33
