episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
39,34.55,0.06,94,18.51,1660.93,5.51,1655.43,-0.07,-0.42,-0.03,0.04,-0.04,-0.14,0.14,0.42,0.49,0.47,0.5,0.12
40,36.76,0.07,93,9.74,1704.38,3.31,1701.08,-0.1,-0.37,-0.08,0.05,0.02,-0.13,0.19,0.37,0.6,0.45,0.53,0.12
41,44.22,0.03,97,13.05,1698.61,4.14,1694.47,-0.76,2.13,2.16,-0.43,-0.61,0.4,0.41,0.54,0.34,0.46,0.41,0.84
42,42.26,0.03,97,7.63,1795.93,4.45,1791.48,-1.03,3.1,2.52,-0.61,-0.84,0.57,0.48,0.54,0.3,0.48,0.54,0.12
43,29.96,0.07,93,36.98,1840.08,7.76,1832.32,-0.6,1.79,1.54,-0.31,-0.61,0.4,0.42,0.58,0.44,0.48,0.3,0.13
44,32.78,0.05,95,24.01,1856.09,6.81,1849.28,0.03,-0.57,0.05,0.09,-0.09,-0.18,0.17,0.57,0.46,0.46,0.61,0.12
45,26.6,0.04,96,46.17,1954.5,8.85,1945.65,-0.36,0.58,0.35,-0.13,-0.2,-0.0,0.2,0.38,0.47,0.47,0.52,0.13
46,42.07,0.06,94,9.55,1981.14,5.29,1975.85,-0.71,2.01,1.71,-0.41,-0.69,0.47,0.38,0.63,0.32,0.47,0.3,0.14
47,27.17,0.09,91,36.22,2045.45,7.14,2038.31,-1.04,3.45,2.48,-0.63,-1.02,1.0,0.56,0.69,0.21,0.47,0.39,0.12
48,27.95,0.03,97,47.76,2133.2,8.62,2124.58,-0.07,-0.45,-0.02,0.04,-0.05,-0.1,0.16,0.5,0.42,0.46,0.51,0.13
49,38.52,0.03,97,19.13,2158.82,6.47,2152.35,0.02,-0.56,-0.03,0.12,-0.01,-0.18,0.28,0.48,0.52,0.44,0.6,0.14
50,32.53,0.09,91,11.59,2180.12,3.84,2176.29,-0.97,3.37,3.03,-0.61,-1.14,0.74,0.64,0.89,0.22,0.48,0.5,0.12
51,48.33,0.02,98,3.63,2244.64,2.32,2242.33,-0.59,1.8,1.85,-0.33,-0.68,0.44,0.52,0.71,0.35,0.44,0.47,0.12
52,38.87,0.04,96,24.38,2287.47,4.72,2282.75,-0.51,1.39,0.86,-0.26,-0.51,0.25,0.36,0.62,0.36,0.46,0.34,0.12
53,22.26,0.09,91,37.56,2331.54,7.03,2324.51,-1.22,4.29,4.64,-0.8,-1.37,0.92,0.71,0.88,0.13,0.48,0.56,0.13
54,40.9,0.04,96,18.56,2382.01,5.36,2376.65,-0.68,2.12,1.29,-0.4,-0.78,0.56,0.45,0.73,0.27,0.48,0.36,0.12
55,37.43,0.04,96,19.4,2374.95,5.53,2369.42,-0.37,0.55,0.71,-0.14,-0.18,-0.01,0.25,0.38,0.48,0.46,0.53,0.13
56,40.34,0.05,95,12.35,2448.98,4.56,2444.42,-0.61,1.55,1.09,-0.31,-0.45,0.29,0.36,0.45,0.45,0.47,0.41,0.13
57,41.25,0.02,98,22.49,2507.74,6.36,2501.39,-0.88,2.73,1.38,-0.49,-0.77,0.79,0.45,0.57,0.33,0.47,0.44,0.13
58,43.85,0.04,96,6.45,2548.92,3.42,2545.5,-0.5,1.22,0.7,-0.26,-0.45,0.33,0.27,0.6,0.35,0.49,0.41,0.14
59,32.96,0.04,96,27.91,2558.86,6.23,2552.62,-1.06,3.57,3.99,-0.67,-1.15,0.82,0.65,0.78,0.27,0.5,0.46,0.13
60,40.69,0.03,97,14.54,2701.86,3.59,2698.27,-0.13,-0.31,0.04,0.03,0.02,-0.19,0.21,0.43,0.45,0.45,0.54,0.13
61,24.99,0.05,95,34.59,2685.63,8.15,2677.47,0.12,-0.8,0.04,0.13,-0.16,-0.14,0.25,0.74,0.45,0.45,0.75,0.14
62,45.61,0.02,98,4.98,2754.52,2.81,2751.71,-0.04,-0.49,0.04,0.05,-0.08,-0.02,0.13,0.55,0.41,0.46,0.54,0.79
63,39.56,0.03,97,11.55,2862.41,5.64,2856.76,-1.22,4.39,3.42,-0.77,-1.36,1.27,0.71,0.88,0.16,0.48,0.56,0.14
64,44.36,0.01,99,9.11,2941.24,4.83,2936.4,-0.71,2.37,2.45,-0.45,-0.92,0.57,0.52,0.86,0.23,0.46,0.56,0.15
65,30.55,0.08,92,28.1,2867.86,6.55,2861.3,-0.59,1.73,1.85,-0.32,-0.61,0.32,0.46,0.6,0.42,0.49,0.34,0.15
66,25.96,0.09,91,36.26,2981.52,7.17,2974.35,-0.93,2.96,2.97,-0.56,-0.9,0.69,0.54,0.68,0.24,0.49,0.34,0.12
67,23.12,0.07,93,37.6,3076.95,8.18,3068.77,0.1,-0.74,-0.02,0.17,-0.06,-0.2,0.36,0.59,0.52,0.43,0.7,0.12
68,49.44,0.0,100,13.73,3068.3,5.28,3063.02,-0.74,2.32,2.33,-0.42,-0.74,0.59,0.46,0.64,0.34,0.49,0.26,0.15
69,31.15,0.04,96,35.12,3162.19,7.0,3155.19,-0.25,0.41,0.96,-0.09,-0.31,0.08,0.41,0.64,0.36,0.42,0.52,0.15
70,34.33,0.01,99,30.63,3148.2,7.31,3140.89,-0.65,1.57,1.26,-0.34,-0.45,0.39,0.29,0.43,0.38,0.48,0.63,0.15
71,40.11,0.03,97,25.98,3250.99,5.51,3245.48,-0.9,2.87,2.28,-0.54,-0.87,0.74,0.52,0.68,0.24,0.47,0.34,0.18
72,39.79,0.04,96,23.04,3263.33,5.17,3258.17,-0.44,1.11,1.2,-0.21,-0.46,0.26,0.42,0.62,0.34,0.45,0.38,0.2
73,44.55,0.03,97,8.45,3461.63,4.25,3457.38,-0.47,1.01,1.89,-0.23,-0.38,0.11,0.35,0.5,0.42,0.47,0.39,0.17
74,46.56,0.01,99,12.53,3397.51,5.28,3392.22,-0.39,0.92,0.91,-0.18,-0.41,0.25,0.38,0.59,0.48,0.48,0.41,0.18
75,30.29,0.04,96,36.82,3466.69,6.26,3460.44,-0.82,2.81,2.69,-0.51,-1.0,0.77,0.58,0.86,0.21,0.47,0.53,0.25
