episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,51.0,0.17,83,9.49,28.95,4.75,24.19,0.39,0.34,1.77,0.34,-0.63,0.4,2.83,2.2,2.95,7.99,0.19,0.14
2,40.14,0.21,79,18.99,26.64,5.12,21.52,0.49,0.22,0.99,0.4,-0.52,0.32,2.71,2.04,2.6,7.34,0.1,0.14
3,43.16,0.21,79,12,25.94,4.07,21.87,0.56,0.08,-0.07,0.47,0.01,-0.11,2.42,1.99,2.46,6.86,0.12,0.14
4,31.74,0.22,78,29.08,28.94,7.3,21.64,0.39,0.39,3.2,0.32,-0.96,0.48,2.83,2.23,2.91,7.97,0.13,0.14
5,31.81,0.23,77,29.12,27.26,6.38,20.88,0.25,0.55,2.45,0.25,-1.06,0.94,3.16,2.43,3.25,8.83,0.1,0.14
6,41.31,0.2,80,20.95,26.62,5.59,21.02,0.31,0.49,2.93,0.27,-1.1,0.79,3.15,2.52,3.16,8.84,0.02,0.14
7,37.33,0.25,75,10.85,25.63,3.69,21.95,0.38,0.35,2.17,0.33,-0.73,0.48,2.84,2.16,2.89,7.89,0.17,0.16
8,25.52,0.26,74,23.73,25.63,5.2,20.43,0.31,0.48,3.38,0.28,-1.04,0.73,2.86,2.24,2.95,8.05,0.12,0.12
9,32.7,0.2,80,28.69,29.18,6.06,23.12,0.44,0.29,1.54,0.37,-0.62,0.34,2.88,2.12,2.62,7.62,0.16,0.12
10,15.1,0.26,74,43.24,30.95,9.03,21.92,0.62,0.03,0.03,0.49,-0.1,-0.11,2.26,1.74,2.37,6.36,0.2,0.14
11,7.17,0.26,74,56.65,30.2,9.66,20.54,0.4,0.35,2.68,0.34,-0.79,0.44,2.78,2.1,2.68,7.55,0.12,0.12
12,38.4,0.25,75,6,25.02,3.21,21.81,0.39,0.38,2.43,0.34,-0.92,0.45,2.88,2.12,2.67,7.67,0.15,0.15
13,47.35,0.19,81,12.72,26.1,4.6,21.51,0.58,0.06,0.02,0.48,0.0,-0.11,2.15,1.6,2.27,6.02,0.06,0.14
14,49.08,0.19,81,14.72,27.21,5.8,21.41,0.44,0.28,0.91,0.38,-0.51,0.34,2.69,2.14,2.73,7.56,0.05,0.12
15,37.85,0.2,80,22.55,29.58,7.08,22.5,0.22,0.63,4.29,0.21,-1.47,0.98,3.05,2.45,3.19,8.69,0.15,0.14
16,51.76,0.15,85,18.35,29.6,7.15,22.45,0.48,0.27,1.56,0.4,-0.65,0.38,2.54,1.95,2.65,7.14,0.05,0.12
17,42.36,0.21,79,11.67,26.05,4.46,21.59,0.48,0.21,1.31,0.4,-0.33,0.07,2.53,2.01,2.57,7.11,0.1,0.19
18,41.28,0.18,82,22.49,29.12,6.78,22.34,0.59,0.05,0.04,0.48,-0.01,-0.03,2.16,1.54,2.39,6.08,0.11,0.16
19,38.88,0.23,77,17.51,27.31,6.4,20.91,0.44,0.25,0.95,0.38,-0.33,0.18,3.0,2.3,3.01,8.31,0.1,0.15
20,45.17,0.19,81,20.25,28.04,6.61,21.43,0.47,0.27,1.63,0.39,-0.67,0.4,2.54,1.88,2.57,6.99,0.05,0.15
21,40.22,0.16,84,24.65,32.14,6.78,25.36,0.01,0.95,4.41,0.08,-2.08,2.05,3.54,2.83,3.7,10.07,0.2,0.89
22,65.52,0.11,89,2.55,27.3,1.78,25.53,0.26,0.54,3.79,0.24,-1.14,1.0,2.82,2.25,2.91,7.98,0.18,0.15
23,31.7,0.18,82,29.73,33.1,7.95,25.15,0.39,0.36,1.24,0.34,-0.75,0.68,2.9,2.33,2.8,8.04,0.21,0.15
24,45.25,0.08,92,40.78,34.38,7.74,26.63,0.14,0.73,4.5,0.16,-1.58,1.23,3.3,2.62,3.55,9.48,0.17,0.12
25,36.27,0.14,86,37.58,32.53,8.72,23.81,0.38,0.37,1.75,0.33,-0.68,0.61,2.81,2.2,2.9,7.91,0.13,0.13
26,73.19,0.1,90,3.67,26.27,2.47,23.8,0.63,0.03,-0.04,0.51,-0.06,-0.2,2.19,1.62,2.22,6.03,0.06,0.13
27,62.21,0.07,93,17.99,34.08,6.57,27.51,0.36,0.41,2.48,0.32,-0.83,0.57,2.9,2.34,3.0,8.25,0.2,0.13
28,46.3,0.08,92,33.93,40.05,7.32,32.74,0.55,0.12,0.87,0.45,-0.24,-0.08,2.49,1.85,2.4,6.74,0.33,0.13
29,56.62,0.11,89,17.91,33.22,6.99,26.22,0.34,0.39,2.32,0.31,-0.67,0.53,2.94,2.26,2.94,8.15,0.2,0.13
30,61.5,0.08,92,24.48,30.66,5.85,24.8,0.29,0.48,2.71,0.27,-0.93,0.86,3.08,2.46,3.23,8.76,0.1,0.14
31,56.5,0.1,90,27.07,30.59,6.9,23.69,0.45,0.26,1.2,0.38,-0.47,0.36,2.72,2.2,2.92,7.84,0.05,0.14
32,52.02,0.06,94,34.51,35.62,7.77,27.85,0.34,0.41,1.92,0.31,-0.71,0.49,2.94,2.34,3.05,8.33,0.21,0.15
33,29.79,0.11,89,53.93,35.39,9.53,25.87,0.48,0.23,0.9,0.4,-0.5,0.33,2.63,2.08,2.65,7.36,0.19,0.14
34,75.24,0.08,92,3.84,27.21,2.54,24.67,0.43,0.3,1.62,0.37,-0.63,0.36,2.67,2.14,2.85,7.66,0.09,0.14
35,55.08,0.1,90,23.91,30.88,6.26,24.62,0.3,0.47,2.39,0.29,-0.85,0.77,3.12,2.28,3.14,8.54,0.11,0.14
36,61.83,0.07,93,22.65,32.43,5.38,27.05,0.44,0.26,0.75,0.39,-0.36,0.25,2.61,1.94,2.57,7.12,0.17,0.14
37,43.03,0.13,87,30.53,31.75,8.3,23.45,0.31,0.47,3.82,0.27,-1.02,0.59,3.01,2.45,3.06,8.52,0.1,0.14
38,69.22,0.09,91,5.82,29.06,3.17,25.89,0.01,0.93,6.54,0.06,-2.09,1.92,3.45,2.9,3.55,9.9,0.17,0.14
39,62.63,0.09,91,17.93,29.67,5.27,24.4,0.33,0.47,2.38,0.29,-1.1,0.93,2.68,2.1,2.88,7.66,0.09,0.14
40,66.72,0.09,91,6.95,28.26,2.65,25.6,0.33,0.41,1.87,0.31,-0.69,0.44,2.87,2.01,2.97,7.85,0.15,0.14
41,55.62,0.13,87,12.86,30.47,4.17,26.3,0.43,0.3,1.46,0.37,-0.58,0.49,2.61,2.14,2.62,7.37,0.2,0.81
42,71.78,0.09,91,7.76,28.91,4.41,24.51,0.59,0.06,0.04,0.48,-0.04,-0.21,2.46,1.82,2.34,6.63,0.1,0.15
43,50.67,0.08,92,33.93,31.86,7.41,24.46,0.26,0.52,3.28,0.25,-1.04,0.74,3.11,2.48,3.23,8.82,0.08,0.13
44,60.34,0.06,94,24.52,34.84,6.8,28.04,0.52,0.14,0.92,0.43,-0.23,-0.05,2.77,1.99,2.77,7.52,0.21,0.13
45,45.42,0.07,93,42.41,34.86,8.49,26.37,0.13,0.77,5.19,0.15,-1.73,1.6,3.32,2.7,3.31,9.33,0.15,0.13
46,65.63,0.05,95,10.98,38.86,5.87,32.99,0.35,0.41,2.84,0.31,-0.83,0.57,2.86,2.33,2.92,8.1,0.32,0.15
47,53.92,0.08,92,25.91,32.67,5.76,26.91,0.66,0.01,-0.04,0.53,-0.07,-0.27,2.05,1.46,1.89,5.4,0.18,0.13
48,33.04,0.11,89,45.19,35.94,8.63,27.3,0.53,0.13,0.42,0.44,-0.15,-0.0,2.58,2.0,2.61,7.19,0.2,0.13
49,68.2,0.03,97,20.37,34.73,6.46,28.27,0.38,0.37,2.87,0.33,-0.78,0.4,2.77,2.2,2.93,7.9,0.19,0.13
50,80.21,0.04,96,10.81,29.18,3.66,25.52,0.48,0.23,1.6,0.4,-0.48,0.24,2.4,1.91,2.55,6.85,0.08,0.15
51,67.21,0.09,91,3.74,30.28,2.37,27.91,0.59,0.06,-0.07,0.48,-0.01,-0.13,2.46,1.96,2.35,6.77,0.23,0.13
52,62.49,0.08,92,19.83,29.32,4.05,25.26,0.44,0.27,2.09,0.37,-0.6,0.34,2.63,1.99,2.61,7.23,0.12,0.13
