episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,45.71,0.21,79,10.8,28.32,5.3,23.01,0.55,0.15,0.57,0.46,-0.24,0.3,2.42,1.99,2.34,6.75,0.18,0.13
2,39.62,0.14,86,24.72,28.59,5.56,23.02,0.48,0.28,0.53,0.42,-0.44,0.62,2.31,1.78,2.21,6.3,0.08,0.12
3,54.94,0.15,85,12.16,28.02,4.14,23.88,0.13,0.79,2.95,0.16,-1.65,1.86,3.12,2.54,3.18,8.84,0.15,0.13
4,14.24,0.3,70,24.19,26.12,6.86,19.26,0.77,0.08,-0.09,0.71,0.63,-0.17,1.94,1.23,1.4,4.57,0.11,0.13
5,28.3,0.19,81,27.21,28.1,6.48,21.63,0.51,0.35,0.54,0.48,-0.3,0.63,2.69,2.04,2.26,6.99,0.06,0.14
6,37.35,0.21,79,17.47,26.41,5.22,21.19,0.88,0.08,-0.16,0.85,0.99,-0.28,2.04,1.11,1.1,4.25,0.08,0.13
7,43.41,0.24,76,8.12,26.22,3.09,23.13,0.73,0.26,0.61,0.73,0.55,0.05,2.37,1.64,1.67,5.68,0.22,0.13
8,47.25,0.15,85,17.86,27.32,4.68,22.64,0.78,0.07,-0.1,0.72,0.62,-0.13,1.92,1.29,1.42,4.64,0.07,0.12
9,11.97,0.25,75,32.95,29.13,6.7,22.43,0.81,0.08,-0.18,0.76,0.77,-0.21,1.88,1.03,1.24,4.15,0.2,0.12
10,7.4,0.18,82,44.49,31.7,9.09,22.61,0.34,0.51,1.7,0.31,-1.04,1.45,2.38,1.83,2.45,6.66,0.13,0.12
11,-7.79,0.21,79,53.47,31.33,9.51,21.82,0.25,0.61,1.93,0.24,-1.28,1.57,2.84,2.2,2.98,8.01,0.13,0.12
12,66.24,0.13,87,6.62,31.11,3.48,27.63,0.74,0.06,-0.01,0.65,0.42,-0.08,2.21,1.54,1.71,5.46,0.22,0.12
13,40.92,0.22,78,13.18,25.71,4.76,20.95,0.67,0.05,0.04,0.56,0.14,0.07,1.88,1.17,1.58,4.63,0.08,0.12
14,50.73,0.16,84,13.95,28.46,5.82,22.64,0.39,0.55,1.42,0.41,-0.68,1.05,2.89,2.15,2.56,7.61,0.1,0.12
15,26.86,0.23,77,23.21,28.92,7.16,21.77,0.85,0.09,-0.21,0.83,1.0,-0.34,2.17,1.31,1.36,4.84,0.15,0.13
16,41.32,0.19,81,17.09,28.63,7.05,21.58,0.64,0.31,1.0,0.64,0.17,0.32,2.68,2.01,2.17,6.86,0.06,0.12
17,41.41,0.23,77,11.3,25.66,4.42,21.25,0.78,0.06,-0.02,0.7,0.51,-0.08,1.83,0.99,1.49,4.31,0.13,0.12
18,27.3,0.24,76,21.47,27.03,6.76,20.26,0.42,0.5,1.98,0.43,-0.57,0.79,2.78,2.05,2.46,7.29,0.07,0.12
19,44.65,0.17,83,17.2,28.39,6.46,21.93,0.48,0.28,0.36,0.42,-0.44,0.47,2.42,1.7,2.22,6.34,0.05,0.12
20,39.95,0.17,83,20.77,28.55,6.62,21.93,0.71,0.07,-0.1,0.63,0.41,-0.13,2.06,1.32,1.6,4.99,0.05,0.13
21,29.71,0.2,80,24.85,32.67,6.89,25.78,0.48,0.41,1.35,0.47,-0.36,0.69,2.6,1.9,2.15,6.65,0.26,0.74
22,72.06,0.13,87,2.4,27.1,1.7,25.4,0.41,0.49,1.13,0.39,-0.77,1.09,2.6,1.85,2.51,6.95,0.19,0.12
23,28.6,0.17,83,29.39,32.9,7.87,25.04,0.59,0.32,1.43,0.57,-0.1,0.48,2.4,1.68,2.07,6.14,0.2,0.18
24,21.0,0.11,89,41.35,32.42,8.03,24.38,0.57,0.39,1.16,0.57,-0.06,0.47,2.65,1.91,2.12,6.68,0.12,0.13
25,32.68,0.11,89,33.08,32.61,8.47,24.13,0.6,0.26,0.8,0.56,-0.01,0.29,2.55,1.76,2.08,6.39,0.11,0.13
26,86.21,0.05,95,3.52,27.5,2.38,25.12,0.66,0.03,0.05,0.53,0.0,0.14,1.64,1.1,1.67,4.42,0.07,0.12
27,48.02,0.16,84,15.99,31.94,6.3,25.64,0.46,0.31,0.87,0.41,-0.49,0.66,2.79,2.17,2.55,7.5,0.22,0.12
