episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,19.24,0.23,77,11.64,30.21,5.67,24.55,-0.4,0.32,0.11,-0.13,-0.03,-0.0,2.51,1.86,2.61,0.46,0.72,0.12
2,29.5,0.2,80,22.98,63.52,5.29,58.22,-1.01,3.42,2.13,-0.59,-1.01,1.01,2.84,2.24,2.19,0.48,0.38,0.12
3,29.92,0.24,76,8.76,103.2,3.41,99.79,-0.54,1.24,1.54,-0.27,-0.38,0.23,2.91,2.3,2.07,0.48,0.47,0.13
4,21.44,0.2,80,26.57,148.07,7.05,141.02,-1.07,3.28,2.72,-0.64,-0.91,0.8,3.0,2.48,2.01,0.5,0.52,0.12
5,24.58,0.19,81,25.9,185.76,6.28,179.48,-0.07,-0.45,0.05,0.02,-0.08,-0.05,2.3,1.93,2.58,0.45,0.52,0.16
6,36.2,0.18,82,20.93,224.13,5.76,218.37,-0.95,3.12,2.64,-0.57,-0.96,0.68,2.87,2.13,2.06,0.47,0.35,0.14
7,32.31,0.23,77,12.18,267.24,3.99,263.25,-0.55,1.38,1.17,-0.29,-0.48,0.4,2.6,2.03,2.36,0.47,0.38,0.12
8,33.55,0.2,80,21.1,307.62,5.39,302.23,-0.57,1.6,1.86,-0.34,-0.61,0.2,2.82,2.17,2.11,0.47,0.33,0.12
9,16.06,0.22,78,31.37,345.49,6.41,339.08,-1.07,3.94,2.51,-0.64,-1.21,1.15,2.92,2.26,2.05,0.48,0.53,0.12
10,15.66,0.15,85,47.44,384.59,9.22,375.36,-0.11,-0.37,-0.0,0.02,-0.01,-0.05,2.18,1.52,2.67,0.42,0.53,0.14
11,20.39,0.13,87,55.54,427.49,9.6,417.89,-0.57,1.48,1.29,-0.31,-0.5,0.45,2.7,2.09,2.19,0.47,0.37,0.14
12,21.71,0.26,74,5.22,461.22,2.86,458.35,-0.17,-0.27,-0.06,-0.02,-0.02,-0.16,2.68,2.18,2.35,0.48,0.63,0.12
13,35.82,0.2,80,11.72,501.16,4.38,496.78,-1.05,3.54,2.53,-0.63,-1.04,0.85,2.99,2.21,1.92,0.48,0.38,0.12
14,41.97,0.16,84,14.95,544.57,5.97,538.6,-0.71,2.04,1.73,-0.4,-0.64,0.56,2.74,2.19,2.15,0.47,0.36,0.12
15,19.45,0.25,75,19.83,590.57,6.63,583.95,-0.03,-0.48,0.17,0.04,-0.09,-0.08,2.6,2.11,2.39,0.47,0.52,0.12
16,29.1,0.19,81,16.69,621.59,6.93,614.67,-0.12,-0.42,-0.02,-0.01,-0.07,-0.03,2.37,1.99,2.51,0.46,0.55,0.14
17,26.74,0.23,77,11.09,660.93,4.18,656.75,-1.26,4.02,3.41,-0.78,-1.1,0.74,2.97,2.27,1.95,0.48,0.52,0.12
18,17.4,0.23,77,23.95,701.38,7.33,694.05,0.02,-0.56,0.01,0.09,-0.06,-0.14,2.38,1.87,2.53,0.45,0.57,0.12
