episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
40,54.86,0.13,87,9.59,26.51,3.27,23.24,0.48,0.23,1.8,0.39,-0.51,0.23,2.67,2.03,2.61,7.31,0.08,0.13
41,52.53,0.12,88,10.58,29.95,3.61,26.34,0.59,0.11,0.67,0.47,-0.3,0.05,2.14,1.67,2.14,5.94,0.21,0.8
42,73.73,0.04,96,8.96,30.68,4.93,25.75,0.42,0.26,0.84,0.38,-0.3,0.24,2.85,2.13,2.77,7.76,0.09,0.15
43,56.12,0.07,93,37.97,35.01,8.06,26.95,0.32,0.47,2.07,0.3,-0.96,0.77,2.85,2.15,2.95,7.95,0.18,0.13
44,56.12,0.06,94,30.84,38.66,7.56,31.11,0.35,0.4,3.29,0.3,-0.84,0.47,2.74,2.19,2.83,7.77,0.27,0.13
45,55.61,0.09,91,38.07,33.75,8.08,25.67,0.09,0.82,4.34,0.13,-1.75,1.78,3.33,2.72,3.42,9.47,0.16,0.13
46,68.06,0.04,96,9.22,37.33,5.29,32.04,0.5,0.13,0.65,0.42,-0.07,-0.03,2.62,2.18,2.62,7.42,0.29,0.13
47,58.93,0.06,94,32.43,31.61,6.54,25.06,0.53,0.19,1.22,0.42,-0.52,0.16,2.53,1.95,2.52,7.0,0.08,0.13
48,42.12,0.14,86,48.06,36.14,8.84,27.3,0.21,0.62,3.96,0.21,-1.3,0.88,3.2,2.52,3.38,9.1,0.25,0.14
49,65.49,0.06,94,20.17,31.54,6.59,24.96,0.56,0.08,-0.09,0.47,0.01,-0.14,2.54,1.99,2.45,6.98,0.07,0.14
50,76.57,0.04,96,9.21,29.21,3.27,25.94,0.11,0.76,6.64,0.13,-1.7,1.05,3.42,2.77,3.5,9.69,0.11,0.13
51,76.27,0.04,96,3.44,27.74,2.22,25.52,0.28,0.51,3.72,0.25,-1.13,0.8,2.88,2.21,3.02,8.12,0.07,0.13
52,61.34,0.11,89,17.73,27.83,3.8,24.02,0.16,0.73,4.48,0.18,-1.62,1.33,3.25,2.57,3.27,9.09,0.1,0.12
53,61.03,0.04,96,30.94,40.46,6.81,33.65,0.24,0.6,3.92,0.23,-1.27,1.1,3.08,2.44,3.05,8.57,0.31,0.14
54,60.99,0.1,90,17.33,28.59,5.08,23.51,0.43,0.28,0.92,0.37,-0.53,0.56,2.77,2.18,2.79,7.73,0.01,0.14
55,70.02,0.03,97,19.47,32.18,5.54,26.64,0.46,0.28,1.69,0.38,-0.66,0.37,2.73,2.04,2.71,7.48,0.13,0.14
56,74.14,0.04,96,14.25,31.51,5.03,26.48,0.11,0.8,5.23,0.13,-1.79,1.43,3.25,2.57,3.41,9.23,0.12,0.14
57,58.51,0.07,93,19.49,35.54,5.77,29.76,0.59,0.05,0.09,0.48,-0.04,-0.12,2.34,1.76,2.52,6.62,0.26,0.13
58,62.92,0.1,90,4.83,28.24,2.75,25.49,0.37,0.37,2.59,0.33,-0.69,0.42,2.84,2.14,2.86,7.84,0.16,0.13
59,67.16,0.03,97,26.79,33.68,5.82,27.86,0.49,0.22,1.4,0.4,-0.46,0.21,2.71,2.2,2.87,7.77,0.18,0.13
