episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,42.54,0.2,80,10.11,27.73,5.01,22.72,0.64,0.25,0.42,0.6,0.08,0.45,2.11,1.38,1.86,5.35,0.16,0.29
2,27.56,0.29,71,17.97,25.18,4.78,20.39,0.73,0.06,-0.02,0.65,0.42,-0.05,1.76,1.16,1.46,4.38,0.16,0.18
3,45.23,0.19,81,9.73,24.94,3.59,21.36,0.63,0.3,0.83,0.61,0.07,0.36,2.48,1.54,2.1,6.12,0.04,0.18
4,35.64,0.22,78,27.58,30.92,7.59,23.33,0.79,0.16,0.11,0.76,0.69,-0.03,1.91,1.17,1.44,4.51,0.19,0.18
5,60.3,0.13,87,27.26,29.24,6.34,22.9,0.49,0.53,1.55,0.52,-0.35,0.94,2.76,1.94,2.16,6.86,0.04,0.19
6,53.61,0.16,84,20.67,28.35,5.42,22.93,0.56,0.24,0.93,0.53,-0.03,0.22,2.64,1.89,2.21,6.75,0.11,0.2
7,34.84,0.26,74,11.81,25.43,3.92,21.51,0.36,0.43,1.43,0.33,-0.83,0.95,2.84,2.32,2.65,7.81,0.16,0.28
8,54.43,0.16,84,21.9,27.37,5.3,22.07,0.32,0.52,2.4,0.3,-1.0,1.05,2.69,1.94,2.69,7.32,0.03,0.33
9,19.43,0.29,71,32.24,29.46,6.44,23.01,0.83,0.12,-0.07,0.79,0.78,-0.1,1.93,1.08,0.99,4.0,0.24,0.33
10,44.1,0.22,78,48.41,31.45,9.27,22.18,0.52,0.2,0.34,0.45,-0.26,0.4,2.26,1.6,1.92,5.78,0.16,0.32
11,45.38,0.19,81,58.47,32.04,9.74,22.3,0.72,0.07,-0.11,0.66,0.5,-0.08,2.0,1.25,1.48,4.73,0.13,0.18
12,51.11,0.13,87,4.09,29.19,2.39,26.8,0.34,0.59,2.57,0.37,-0.88,1.09,2.92,2.23,2.66,7.8,0.22,0.18
13,42.76,0.22,78,10.85,25.21,4.33,20.87,0.73,0.06,-0.07,0.65,0.39,0.0,1.65,1.0,1.31,3.96,0.07,0.17
14,51.31,0.18,82,14.2,27.79,5.55,22.24,0.6,0.27,0.49,0.56,-0.04,0.46,2.34,1.68,2.07,6.1,0.1,0.18
15,54.39,0.15,85,21.84,29.52,6.82,22.71,0.61,0.31,0.65,0.6,0.08,0.37,2.62,1.85,2.05,6.52,0.07,0.2
16,38.2,0.26,74,17.62,26.87,7.14,19.73,0.78,0.07,-0.16,0.73,0.68,-0.28,2.35,1.53,1.53,5.4,0.06,0.17
17,60.82,0.14,86,9.51,27.42,3.89,23.53,0.37,0.55,1.44,0.39,-0.76,1.11,2.9,2.21,2.64,7.74,0.12,0.18
18,51.41,0.13,87,21.86,30.73,6.98,23.75,0.42,0.55,0.94,0.44,-0.64,1.21,2.61,1.98,2.3,6.88,0.12,0.39
19,16.23,0.32,68,14.85,26.12,6.15,19.97,0.58,0.45,1.46,0.61,-0.03,0.59,2.81,1.87,2.18,6.85,0.18,0.38
20,51.03,0.2,80,21.05,28.36,6.91,21.45,0.67,0.29,0.64,0.67,0.25,0.22,2.46,1.54,1.78,5.78,0.08,0.19
21,40.22,0.2,80,27.79,30.89,6.96,23.92,0.2,0.67,2.19,0.22,-1.41,1.4,3.05,2.41,3.0,8.46,0.19,1.66
22,60.24,0.05,95,2.43,30.16,1.72,28.44,0.51,0.43,0.96,0.51,-0.29,0.75,2.7,1.93,2.14,6.76,0.22,0.18
23,61.54,0.07,93,28,35.04,7.53,27.51,0.4,0.41,1.16,0.36,-0.77,0.96,2.4,1.74,2.33,6.47,0.21,0.2
24,65.61,0.07,93,29.16,33.15,6.59,26.56,0.64,0.07,-0.05,0.56,0.26,-0.12,2.48,1.87,1.96,6.31,0.18,0.18
25,75.11,0.07,93,35.44,33.3,8.59,24.71,0.38,0.55,1.65,0.38,-0.84,1.18,2.7,1.96,2.43,7.09,0.08,0.24
26,56.83,0.11,89,3.89,27.61,2.6,25.01,0.67,0.05,-0.02,0.56,0.16,0.03,1.6,0.92,1.42,3.93,0.14,0.27
27,59.67,0.07,93,17.03,34.66,6.38,28.28,0.91,0.1,-0.24,0.9,1.21,-0.41,2.01,1.25,1.09,4.34,0.22,0.25
28,34.45,0.19,81,33.22,34.71,7.06,27.65,0.44,0.36,1.36,0.41,-0.54,0.59,2.37,1.62,2.0,5.99,0.31,0.22
29,50.46,0.1,90,19.81,35.04,7.31,27.73,0.54,0.49,1.32,0.57,-0.18,0.8,2.78,1.97,2.24,6.99,0.23,0.18
30,60.52,0.09,91,26.05,33.76,6.09,27.67,0.56,0.38,1.21,0.56,-0.15,0.64,2.32,1.66,1.9,5.88,0.21,0.24
