episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,37.67,0.2,80,11.99,30.38,5.81,24.58,0.71,0.29,0.39,0.72,0.43,0.17,2.42,1.61,1.94,5.98,0.22,0.33
2,34.2,0.21,79,20.96,28.19,4.82,23.37,0.55,0.21,0.64,0.47,-0.28,0.45,2.08,1.34,1.91,5.33,0.19,0.33
3,42.61,0.19,81,8.3,25.17,3.27,21.9,0.7,0.07,-0.11,0.63,0.43,-0.2,2.15,1.42,1.63,5.2,0.08,0.32
4,29.29,0.21,79,26.44,31.54,7.39,24.15,0.66,0.16,0.49,0.6,0.17,0.2,1.92,1.29,1.48,4.7,0.22,0.26
5,37.62,0.16,84,29.71,29.12,6.52,22.6,0.88,0.08,-0.17,0.86,1.01,-0.35,2.0,1.13,1.18,4.31,0.08,0.16
6,50.35,0.15,85,19.44,27.79,5.44,22.35,0.48,0.25,0.75,0.4,-0.5,0.54,2.6,2.05,2.48,7.13,0.04,0.14
7,49.66,0.14,86,9.92,28.37,3.51,24.86,0.78,0.06,-0.1,0.71,0.57,-0.2,2.16,1.46,1.57,5.2,0.18,0.14
8,50.79,0.13,87,20.34,27.78,5.0,22.78,0.5,0.26,1.54,0.43,-0.43,0.47,2.16,1.44,2.09,5.69,0.02,0.14
9,29.57,0.23,77,33.79,29.47,6.64,22.83,0.35,0.6,1.81,0.38,-0.82,1.13,2.88,2.1,2.54,7.53,0.2,0.14
10,24.45,0.21,79,49.82,31.06,9.34,21.72,0.6,0.22,0.64,0.55,-0.01,0.26,2.19,1.44,1.92,5.56,0.12,0.12
11,16.73,0.26,74,57.95,29.66,9.72,19.95,0.69,0.34,0.98,0.71,0.36,0.28,2.66,1.66,1.9,6.23,0.08,0.12
12,39.71,0.22,78,5.03,23.86,2.78,21.08,0.5,0.24,0.51,0.44,-0.33,0.58,2.22,1.59,2.04,5.85,0.09,0.13
13,38.44,0.22,78,12.64,25.31,4.57,20.74,0.4,0.53,1.95,0.41,-0.73,1.0,2.59,1.81,2.42,6.82,0.06,0.12
14,46.91,0.17,83,15.9,28.45,5.99,22.46,0.33,0.51,2.07,0.3,-1.07,1.14,2.47,1.8,2.61,6.88,0.1,0.12
15,30.18,0.22,78,23.72,30.45,7.27,23.18,0.75,0.07,-0.08,0.69,0.54,-0.18,2.14,1.33,1.51,4.99,0.2,0.12
16,51.81,0.12,88,18.91,30.5,7.23,23.27,0.48,0.3,1.49,0.4,-0.61,0.77,1.93,1.32,2.12,5.38,0.06,0.12
17,35.83,0.24,76,12.55,25.36,4.43,20.92,0.44,0.57,1.69,0.48,-0.51,1.11,2.82,2.0,2.25,7.07,0.11,0.12
18,48.66,0.17,83,19.2,29.17,6.4,22.77,0.12,0.81,2.3,0.15,-1.75,2.01,3.05,2.42,3.17,8.64,0.12,0.12
19,39.26,0.19,81,17.16,28.65,6.62,22.02,0.55,0.27,0.44,0.51,-0.23,0.63,2.4,1.63,2.1,6.12,0.11,0.12
20,39.88,0.19,81,20.4,28.62,6.67,21.95,0.61,0.32,0.64,0.59,-0.01,0.5,2.24,1.43,1.85,5.52,0.1,0.14
21,26.94,0.22,78,29,31.59,7.26,24.33,0.77,0.05,-0.0,0.68,0.45,-0.03,1.65,0.91,1.55,4.12,0.24,0.78
22,69.53,0.06,94,2.23,26.51,1.62,24.89,0.59,0.26,0.73,0.55,-0.04,0.44,2.55,1.88,2.22,6.66,0.07,0.15
23,47.88,0.12,88,28.48,33.53,7.65,25.89,0.37,0.53,1.48,0.36,-0.91,1.3,2.57,1.97,2.5,7.03,0.2,0.14
24,39.07,0.12,88,42.59,32.02,8.04,23.98,0.66,0.04,0.01,0.54,0.07,0.01,1.65,0.92,1.6,4.17,0.11,0.14
25,46.39,0.1,90,37.16,32.68,8.68,24.0,0.48,0.29,1.0,0.41,-0.51,0.64,2.06,1.42,2.13,5.61,0.08,0.12
26,71.82,0.07,93,3.81,27.35,2.55,24.8,0.15,0.79,2.32,0.18,-1.63,1.88,3.04,2.39,3.03,8.46,0.08,0.14
27,43.07,0.14,86,18.09,34.42,6.67,27.74,0.65,0.08,0.05,0.55,0.06,0.23,1.78,1.21,1.51,4.5,0.25,0.14
28,37.98,0.13,87,34.07,37.13,7.13,30.0,0.87,0.09,-0.21,0.86,1.05,-0.38,2.16,1.31,1.33,4.8,0.32,0.13
29,48.11,0.15,85,19.13,31.3,7.04,24.26,0.53,0.34,0.77,0.51,-0.23,0.64,2.68,1.91,2.24,6.82,0.14,0.13
30,56.27,0.08,92,25.46,31.26,5.89,25.37,0.72,0.06,0.01,0.64,0.4,-0.09,2.26,1.54,1.8,5.61,0.13,0.13
