episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
39,7.67,0.06,94,21.15,1599.88,5.56,1594.32,-0.32,1.91,1.57,0.04,-0.31,0.42,2.44,1.96,2.55,1.39,0.14,0.12
40,11.67,0.11,89,8.4,1636.57,2.99,1633.57,-0.39,2.04,2.01,-0.03,-0.36,0.3,2.52,1.97,2.38,1.37,0.08,0.13
41,6.96,0.08,92,11.87,1685.78,3.91,1681.87,-0.36,2.19,2.05,0.04,-0.3,0.41,2.91,2.28,2.32,1.5,0.13,0.75
42,18.49,0.04,96,8.5,1763.47,4.61,1758.85,-0.02,1.26,0.82,0.31,-0.0,0.18,2.53,1.88,2.65,1.41,0.16,0.14
43,-7.29,0.11,89,34.67,1815.45,7.67,1807.78,-0.12,0.91,0.75,0.18,-0.04,0.09,2.44,1.71,2.76,1.38,0.15,0.12
44,-0.86,0.07,93,23.3,1845.59,6.69,1838.9,-0.29,2.34,2.03,0.15,-0.2,0.3,2.94,2.12,2.52,1.51,0.24,0.15
45,-3.19,0.06,94,33.96,1905.01,7.93,1897.09,-0.34,1.6,1.46,0.01,-0.25,0.25,2.71,2.05,2.32,1.42,0.11,0.12
46,11.05,0.05,95,10.61,1991.66,5.66,1986.0,-0.73,2.67,2.79,-0.38,-0.77,0.42,2.96,2.36,2.23,1.51,0.28,0.18
47,-2.18,0.07,93,33.76,1971.64,6.59,1965.05,-0.4,1.97,1.72,-0.04,-0.38,0.31,2.56,1.83,2.5,1.38,0.14,0.12
48,-8.62,0.08,92,40.75,2051.57,8.48,2043.09,-0.56,1.71,1.76,-0.27,-0.48,0.33,2.58,2.02,2.32,1.38,0.27,0.12
49,8.07,0.03,97,20.66,2072.35,6.7,2065.65,-0.32,1.68,1.44,0.03,-0.27,0.18,2.75,2.09,2.45,1.46,0.07,0.12
50,15.4,0.03,97,12.82,2171.61,4.11,2167.51,-0.33,2.44,1.71,0.11,-0.27,0.49,2.69,2.11,2.36,1.43,0.22,0.12
51,22.47,0.05,95,3.56,2183.25,2.28,2180.97,-0.07,0.86,0.6,0.22,-0.01,0.08,2.54,1.74,2.63,1.38,0.15,0.12
52,10.65,0.06,94,14.34,2232.74,3.36,2229.38,-0.38,2.11,2.54,-0.01,-0.36,0.43,2.6,2.18,2.39,1.43,0.1,0.12
53,-12.93,0.1,90,37.58,2181.04,7.28,2173.76,-0.66,2.46,1.78,-0.27,-0.53,0.49,3.01,2.36,2.06,1.48,0.27,0.13
54,7.73,0.08,92,16.02,2317.68,4.77,2312.91,-0.04,0.92,0.97,0.25,-0.0,0.15,2.6,2.09,2.41,1.42,0.11,0.11
55,12.47,0.05,95,18.01,2409.11,5.21,2403.89,-0.0,0.35,0.77,0.22,0.01,0.05,2.42,1.93,2.46,1.36,0.23,0.12
56,4.7,0.09,91,16.92,2385.52,5.57,2379.96,-0.23,1.38,1.22,0.06,-0.26,0.38,2.63,2.0,2.6,1.45,0.17,0.12
57,10.27,0.06,94,16.86,2426.65,5.1,2421.55,-0.06,1.2,1.03,0.31,0.08,0.21,2.29,1.84,2.88,1.4,0.13,0.12
58,18.68,0.05,95,5.94,2488.29,3.22,2485.07,-0.45,1.65,1.22,-0.15,-0.4,0.35,2.74,2.17,2.21,1.42,0.21,0.13
59,7.0,0.05,95,21.68,2593.32,5.78,2587.54,-0.43,2.09,1.67,-0.03,-0.29,0.41,2.61,2.12,2.37,1.42,0.18,0.12
60,8.86,0.06,94,17,2608.59,3.97,2604.62,-0.29,2.01,1.33,0.11,-0.22,0.27,2.69,2.02,2.44,1.43,0.08,0.12
61,-5.01,0.07,93,33.81,2562.74,7.98,2554.75,-0.37,2.16,1.58,0.05,-0.24,0.27,2.66,2.1,2.43,1.44,0.18,0.12
