episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,11.85,0.31,69,9.83,24.4,4.89,19.51,0.85,0.07,-0.12,0.81,0.85,-0.23,1.94,1.06,1.25,4.25,0.14,0.28
2,24.76,0.22,78,25.38,27.53,5.96,21.56,0.67,0.03,0.06,0.55,0.06,0.1,1.54,0.88,1.49,3.91,0.12,0.32
3,32.77,0.23,77,9.19,24.66,3.44,21.22,0.33,0.51,1.78,0.3,-1.07,1.33,2.4,1.74,2.6,6.74,0.12,0.32
4,38.51,0.19,81,22.52,28.91,6.71,22.2,0.46,0.52,0.57,0.47,-0.52,1.0,2.59,1.86,2.18,6.64,0.11,0.33
5,31.18,0.21,79,24.81,27.19,6.03,21.16,0.55,0.29,0.5,0.51,-0.18,0.4,2.19,1.38,1.78,5.35,0.08,0.33
6,36.79,0.2,80,19.4,27.55,5.38,22.18,0.45,0.49,1.33,0.45,-0.56,1.08,2.52,1.79,2.25,6.56,0.13,0.19
7,42.25,0.18,82,11.15,26.51,3.73,22.78,0.38,0.57,1.68,0.41,-0.7,1.04,2.74,1.98,2.38,7.1,0.13,0.3
8,50.9,0.18,82,20.56,28.9,5.49,23.41,0.01,0.96,4.43,0.07,-2.07,2.25,3.45,2.77,3.55,9.77,0.17,0.32
9,38.04,0.15,85,31.46,31.13,6.45,24.68,0.7,0.05,-0.02,0.61,0.29,-0.03,1.87,1.25,1.59,4.71,0.18,0.33
10,42.17,0.19,81,46.22,31.71,9.17,22.54,0.33,0.59,2.43,0.35,-0.9,1.11,2.96,2.24,2.69,7.89,0.12,0.34
11,34.07,0.2,80,56.8,31.79,9.66,22.12,0.58,0.39,0.38,0.59,-0.06,0.69,2.38,1.62,1.99,5.99,0.13,0.33
12,31.59,0.24,76,4.78,24.12,2.68,21.45,0.43,0.3,0.92,0.37,-0.51,0.53,2.62,2.0,2.26,6.88,0.15,0.32
13,37.07,0.2,80,10.72,25.88,4.05,21.82,0.35,0.49,0.97,0.32,-1.0,1.32,2.36,1.65,2.54,6.55,0.11,0.32
14,37.47,0.17,83,14.55,27.58,5.75,21.83,0.7,0.06,-0.02,0.61,0.34,-0.07,2.14,1.29,1.84,5.28,0.03,0.32
15,33.0,0.2,80,24.68,31.9,7.62,24.28,0.56,0.34,0.53,0.54,-0.2,0.64,2.24,1.44,2.0,5.68,0.18,0.33
16,32.52,0.21,79,17.22,28.03,7.02,21.01,0.57,0.27,0.6,0.53,-0.11,0.54,2.23,1.65,1.94,5.81,0.06,0.3
17,33.03,0.22,78,10.13,25.6,3.91,21.69,0.5,0.22,0.56,0.44,-0.3,0.33,2.47,1.78,2.09,6.35,0.14,0.17
18,24.56,0.26,74,21.49,27.04,6.53,20.51,0.48,0.36,1.48,0.44,-0.5,0.78,2.15,1.53,2.22,5.89,0.13,0.31
19,33.63,0.23,77,15.12,26.99,5.98,21.01,0.32,0.53,1.99,0.31,-1.0,1.1,2.7,1.94,2.51,7.14,0.11,0.32
20,43.4,0.18,82,21.12,28.49,6.73,21.76,0.42,0.49,2.59,0.43,-0.6,0.78,2.89,2.12,2.54,7.55,0.06,0.33
21,30.47,0.18,82,26.17,34.49,7.13,27.37,0.75,0.07,-0.07,0.68,0.54,-0.08,1.77,1.08,1.26,4.11,0.27,1.71
22,52.18,0.12,88,2.47,25.69,1.73,23.95,0.3,0.6,1.34,0.3,-1.13,1.51,2.51,1.86,2.54,6.92,0.11,0.21
23,46.95,0.13,87,27.37,32.28,7.38,24.9,0.65,0.26,0.89,0.63,0.23,0.2,2.56,1.85,1.92,6.33,0.18,0.18
24,50.97,0.09,91,34.07,31.55,7.34,24.22,0.6,0.05,-0.01,0.5,0.05,0.04,2.13,1.52,1.92,5.57,0.07,0.19
25,44.12,0.13,87,37.33,32.25,8.71,23.54,0.76,0.07,-0.12,0.7,0.61,-0.24,2.4,1.58,1.58,5.55,0.1,0.28
26,53.17,0.11,89,2.88,26.82,2.01,24.81,0.5,0.36,1.26,0.48,-0.32,0.57,2.64,1.89,2.26,6.79,0.14,0.39
27,48.81,0.12,88,17.86,35.36,6.82,28.55,0.42,0.34,1.07,0.37,-0.66,0.78,2.39,1.76,2.41,6.56,0.26,0.28
28,37.03,0.14,86,27.76,38.34,6.85,31.49,0.76,0.05,0.02,0.67,0.41,-0.02,1.79,1.03,1.56,4.38,0.36,0.23
