episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,15.25,0.29,71,10.13,25.21,5.01,20.2,0.47,0.21,0.82,0.4,-0.31,0.25,2.56,2.11,2.8,7.48,0.16,0.18
2,28.08,0.15,85,20.68,27.82,4.83,22.99,0.62,0.04,-0.0,0.5,-0.06,-0.17,2.33,1.64,2.12,6.08,0.1,0.16
3,23.0,0.21,79,11.77,25.75,4.06,21.7,0.57,0.07,-0.0,0.47,-0.0,-0.05,2.35,1.78,2.54,6.68,0.12,0.14
4,28.25,0.18,82,25.7,31.19,7.24,23.95,0.52,0.16,0.98,0.41,-0.39,0.14,2.37,1.71,2.7,6.77,0.18,0.13
5,32.0,0.18,82,27.73,27.95,6.32,21.63,0.44,0.3,1.24,0.37,-0.64,0.34,2.63,1.96,2.72,7.32,0.04,0.14
6,39.33,0.19,81,20.49,27.5,5.4,22.1,0.22,0.62,5.27,0.2,-1.45,1.0,3.06,2.46,3.12,8.64,0.11,0.19
7,14.58,0.24,76,10.47,26.82,3.63,23.18,0.56,0.11,0.71,0.46,-0.19,-0.06,2.2,1.58,2.32,6.09,0.2,0.18
8,23.42,0.18,82,21.29,27.38,5.14,22.24,0.59,0.05,0.07,0.48,-0.05,-0.07,2.23,1.68,2.15,6.06,0.1,0.22
9,18.75,0.25,75,24.72,28.17,5.5,22.67,0.61,0.04,0.05,0.49,-0.08,-0.14,2.52,2.0,2.48,7.0,0.22,0.26
10,28.5,0.24,76,50.11,30.16,9.35,20.82,0.38,0.36,1.52,0.34,-0.63,0.57,3.03,2.21,3.05,8.29,0.11,0.16
11,36.08,0.19,81,56.49,30.93,9.65,21.28,0.3,0.5,2.38,0.27,-1.06,1.03,2.9,2.25,3.01,8.16,0.02,0.19
12,3.08,0.3,70,5.7,23.76,3.08,20.69,0.63,0.02,0.11,0.51,-0.08,-0.18,2.06,1.4,2.21,5.67,0.17,0.19
13,28.08,0.24,76,9.37,24.61,3.95,20.66,0.23,0.58,2.53,0.24,-1.14,1.01,2.97,2.28,2.97,8.22,0.09,0.13
14,39.83,0.19,81,13.09,28.0,5.48,22.52,0.26,0.53,2.84,0.26,-0.99,0.95,3.15,2.4,3.17,8.72,0.14,0.16
15,19.08,0.26,74,26.62,33.15,8.01,25.14,0.47,0.27,2.16,0.38,-0.71,0.29,2.68,2.0,2.64,7.31,0.28,0.12
16,41.33,0.18,82,19.51,29.77,7.28,22.49,0.25,0.57,4.46,0.23,-1.29,1.0,3.08,2.57,3.02,8.68,0.12,0.16
17,18.67,0.21,79,11.32,25.31,4.37,20.94,0.61,0.04,0.18,0.49,-0.05,-0.18,2.11,1.47,2.44,6.02,0.05,0.18
18,15.42,0.26,74,21.51,28.09,7.01,21.08,0.56,0.07,-0.06,0.47,0.03,-0.15,2.43,1.81,2.47,6.72,0.16,0.17
19,53.5,0.11,89,17.84,30.2,6.58,23.62,0.24,0.56,3.06,0.24,-1.11,0.83,3.14,2.36,3.2,8.7,0.07,0.15
20,20.5,0.23,77,19.06,27.23,6.42,20.81,0.57,0.07,-0.03,0.47,0.01,-0.09,2.52,1.94,2.33,6.78,0.09,0.18
21,28.42,0.22,78,27.86,31.21,7.08,24.13,0.36,0.37,1.76,0.32,-0.63,0.57,2.78,2.17,2.81,7.76,0.2,1.12
22,44.83,0.13,87,2.66,28.98,1.83,27.15,0.49,0.17,0.21,0.42,-0.12,0.08,2.88,2.25,2.84,7.98,0.24,0.22
23,40.75,0.1,90,28.21,33.81,7.58,26.22,0.54,0.15,0.69,0.44,-0.33,0.15,2.48,1.9,2.39,6.77,0.19,0.15
24,58.08,0.07,93,33.55,32.32,7.28,25.03,0.3,0.45,3.01,0.28,-0.88,0.72,3.0,2.45,2.95,8.4,0.1,0.14
25,45.92,0.07,93,35.27,32.94,8.59,24.34,0.55,0.08,-0.06,0.46,0.03,-0.1,2.52,1.9,2.41,6.83,0.04,0.14
26,59.75,0.06,94,2.96,28.06,2.06,26.0,0.31,0.47,3.58,0.27,-1.04,0.87,2.96,2.44,3.0,8.39,0.14,0.3
27,32.17,0.18,82,13.37,33.57,5.96,27.61,0.39,0.4,2.22,0.34,-0.91,0.55,2.63,1.93,2.78,7.34,0.29,0.14
28,51.83,0.09,91,35.88,40.98,7.47,33.52,0.34,0.39,1.93,0.31,-0.66,0.66,2.89,2.23,2.9,8.02,0.35,0.13
29,53.0,0.13,87,18.36,30.75,6.82,23.93,0.15,0.7,4.86,0.17,-1.49,1.28,3.22,2.6,3.29,9.1,0.11,0.16
