episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
39,41.27,0.12,88,25.86,30.98,6.28,24.7,-0.28,0.61,0.77,-0.1,-0.34,0.13,0.36,0.55,0.44,0.1,0.49,0.13
40,65.63,0.11,89,9.75,26.72,3.31,23.42,-1.18,3.83,3.17,-0.71,-1.02,0.92,0.53,0.58,0.29,0.11,0.51,0.18
41,67.97,0.09,91,10.71,28.87,3.66,25.21,-0.56,1.66,1.25,-0.3,-0.61,0.4,0.46,0.64,0.35,0.1,0.34,0.9
42,79.75,0.04,96,9.04,31.54,5.02,26.52,-1.25,4.27,4.84,-0.81,-1.3,0.85,0.69,0.77,0.19,0.1,0.46,0.15
43,19.37,0.14,86,39.56,33.29,8.15,25.14,-0.49,0.79,0.73,-0.21,-0.18,0.03,0.17,0.27,0.48,0.1,0.69,0.14
44,46.33,0.09,91,25.69,33.54,6.62,26.92,-1.62,5.6,5.44,-1.06,-1.59,1.28,0.78,0.8,0.13,0.11,0.64,0.14
45,23.0,0.09,91,41.85,33.88,8.3,25.58,-0.58,1.78,0.48,-0.3,-0.57,0.53,0.37,0.63,0.29,0.1,0.31,0.16
46,83.25,0.02,98,9.19,38.67,5.28,33.39,-0.02,-0.53,0.04,0.07,-0.07,-0.21,0.18,0.56,0.46,0.1,0.59,0.17
47,45.21,0.08,92,27.57,32.45,6.14,26.3,-1.13,3.81,1.99,-0.68,-1.09,1.19,0.56,0.71,0.18,0.1,0.45,0.15
48,12.52,0.13,87,45.52,34.37,8.51,25.86,-2.02,7.38,6.58,-1.34,-2.09,1.71,1.0,1.0,0.0,0.11,0.75,0.14
49,62.67,0.04,96,20.25,31.72,6.61,25.1,-1.16,3.74,3.21,-0.71,-1.03,0.9,0.56,0.62,0.24,0.11,0.5,0.13
50,77.57,0.05,95,9.24,29.12,3.27,25.85,-0.67,1.7,0.97,-0.34,-0.47,0.31,0.37,0.45,0.43,0.1,0.44,0.14
51,80.14,0.08,92,3.64,28.49,2.32,26.17,-0.25,0.46,0.5,-0.08,-0.29,0.09,0.35,0.63,0.35,0.1,0.5,0.14
52,52.38,0.1,90,20.33,28.08,4.17,23.91,-1.54,5.52,5.36,-1.01,-1.65,1.18,0.89,0.94,0.1,0.11,0.64,0.13
53,28.76,0.17,83,29.27,30.91,6.26,24.65,-1.71,6.26,4.87,-1.12,-1.81,1.59,0.89,0.96,0.05,0.11,0.68,0.13
54,57.94,0.06,94,21.15,32.37,5.97,26.4,0.01,-0.62,0.06,0.08,-0.08,-0.2,0.28,0.65,0.43,0.09,0.6,0.13
55,60.9,0.08,92,16.82,30.76,4.91,25.85,-1.06,3.45,3.97,-0.67,-1.04,0.82,0.61,0.7,0.23,0.1,0.41,0.14
56,64.86,0.06,94,16.51,34.21,5.53,28.68,-0.05,-0.11,0.8,0.03,-0.28,-0.1,0.38,0.7,0.39,0.09,0.71,0.13
57,61.83,0.06,94,18.54,33.45,5.52,27.94,-0.33,0.92,1.15,-0.17,-0.55,0.17,0.42,0.82,0.27,0.09,0.65,0.13
