episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,29.72,0.22,78,10.65,27.03,5.24,21.79,-1.06,3.81,2.55,-0.68,-1.25,0.97,2.88,2.22,1.74,0.48,0.53,0.12
2,34.16,0.17,83,25.54,67.83,5.71,62.12,-0.89,2.94,2.23,-0.53,-0.92,1.04,2.75,2.1,2.16,0.48,0.35,0.12
3,32.79,0.2,80,10.35,104.35,3.77,100.58,-1.16,3.69,2.9,-0.7,-1.01,0.73,3.15,2.26,1.8,0.49,0.5,0.13
4,20.27,0.19,81,30.04,151.7,7.03,144.67,-0.03,-0.51,-0.09,0.08,-0.06,-0.15,2.37,1.58,2.75,0.47,0.57,0.14
5,24.49,0.21,79,28.43,190.86,6.51,184.35,-0.7,1.92,2.0,-0.39,-0.58,0.48,2.65,1.98,2.23,0.47,0.4,0.14
6,25.88,0.17,83,21.16,228.02,5.63,222.39,-0.72,1.79,1.46,-0.39,-0.49,0.45,2.88,2.22,1.99,0.48,0.62,0.12
7,30.61,0.23,77,9.57,273.68,3.42,270.26,-0.41,0.72,0.65,-0.18,-0.23,0.07,2.87,1.8,2.16,0.48,0.52,0.16
8,6.54,0.28,72,28.36,305.08,6.02,299.06,-0.24,-0.12,-0.02,-0.04,0.03,-0.2,2.76,1.57,2.46,0.47,0.64,0.11
9,25.64,0.16,84,25.94,344.52,5.4,339.12,-0.18,-0.21,-0.01,-0.0,0.03,-0.14,2.45,1.46,2.6,0.45,0.61,0.12
10,11.81,0.21,79,45.77,381.78,9.15,372.63,-1.26,4.23,3.69,-0.8,-1.26,0.89,2.87,2.23,1.87,0.48,0.46,0.14
11,-14.54,0.3,70,57.14,430.02,9.68,420.34,-0.19,-0.32,-0.03,-0.03,-0.02,-0.04,2.34,1.94,2.24,0.45,0.64,0.15
12,29.94,0.25,75,5.93,461.47,3.17,458.29,-0.98,3.3,2.47,-0.61,-1.06,0.9,2.83,2.13,1.83,0.47,0.4,0.12
13,29.09,0.21,79,12.99,496.23,4.69,491.54,-1.26,4.12,3.78,-0.79,-1.14,0.81,3.23,2.34,1.67,0.49,0.53,0.14
14,16.53,0.23,77,15.06,539.96,5.86,534.1,-0.25,-0.15,-0.03,-0.06,0.04,-0.02,2.52,1.94,2.12,0.46,0.75,0.12
15,9.47,0.28,72,23.89,572.93,7.38,565.56,-0.04,-0.51,0.02,0.05,-0.07,-0.08,2.14,1.43,2.58,0.43,0.57,0.14
16,36.93,0.12,88,17.91,615.6,7.14,608.45,-0.16,-0.31,0.03,-0.02,-0.02,-0.04,2.53,1.83,2.3,0.46,0.63,0.12
