episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,28.75,0.19,81,10.74,30.1,5.29,24.81,0.54,0.09,-0.05,0.45,0.02,-0.04,2.52,2.0,2.56,7.07,0.21,0.15
2,41.25,0.12,88,16.77,28.18,4.55,23.64,0.45,0.23,0.95,0.39,-0.36,0.17,2.61,1.97,2.68,7.26,0.09,0.15
3,26.0,0.21,79,10.35,24.99,3.75,21.24,0.55,0.08,-0.06,0.46,-0.02,-0.12,2.57,2.09,2.48,7.14,0.08,0.15
4,24.0,0.26,74,23.54,27.03,6.81,20.22,0.32,0.44,1.96,0.3,-0.79,0.81,2.88,2.27,2.96,8.11,0.11,0.15
5,34.17,0.19,81,26.99,27.59,6.23,21.36,0.43,0.3,1.25,0.37,-0.57,0.48,2.84,2.25,2.79,7.88,0.04,0.15
6,23.42,0.23,77,20.83,25.88,5.62,20.26,0.43,0.28,1.43,0.38,-0.48,0.47,2.58,2.03,2.62,7.23,0.01,0.14
7,35.08,0.19,81,13.51,28.02,4.29,23.73,0.41,0.3,1.66,0.36,-0.46,0.19,2.93,2.17,2.91,8.01,0.19,0.13
8,25.0,0.22,78,15.41,27.21,4.7,22.51,0.43,0.32,3.32,0.35,-0.82,0.38,2.59,2.03,2.62,7.23,0.17,0.16
9,22.75,0.25,75,27.28,28.85,5.71,23.15,0.43,0.28,2.14,0.36,-0.6,0.27,2.63,2.24,2.77,7.64,0.22,0.17
10,23.08,0.23,77,46.96,29.64,9.2,20.44,0.46,0.27,1.22,0.39,-0.6,0.53,2.6,2.08,2.51,7.18,0.05,0.14
11,28.75,0.22,78,57.85,30.58,9.71,20.87,0.41,0.32,1.04,0.35,-0.59,0.43,2.76,2.18,2.87,7.81,0.07,0.14
12,35.0,0.23,77,4.39,25.92,2.51,23.4,0.2,0.63,4.44,0.2,-1.42,1.0,3.14,2.56,3.34,9.04,0.21,0.19
13,32.17,0.2,80,11.2,25.67,4.19,21.48,0.31,0.51,3.05,0.28,-1.17,1.05,2.78,2.15,2.9,7.82,0.08,0.12
14,16.75,0.28,72,15.5,25.62,5.76,19.86,0.36,0.4,2.71,0.32,-0.81,0.64,2.67,2.06,2.74,7.46,0.12,0.15
15,24.92,0.21,79,24.22,30.24,7.38,22.86,0.5,0.17,0.84,0.42,-0.22,0.08,2.46,2.01,2.51,6.98,0.17,0.32
16,24.5,0.24,76,18.32,27.3,7.17,20.13,0.44,0.27,1.36,0.38,-0.5,0.24,2.7,2.14,2.82,7.66,0.05,0.37
17,22.25,0.25,75,12.16,24.53,4.59,19.95,0.44,0.28,1.23,0.38,-0.51,0.39,2.65,2.11,2.8,7.56,0.06,0.28
18,38.08,0.12,88,20.16,29.49,6.42,23.07,0.48,0.24,2.55,0.39,-0.66,0.19,2.44,1.92,2.47,6.83,0.03,0.19
19,28.67,0.22,78,17.36,28.08,6.21,21.87,0.39,0.34,2.21,0.34,-0.69,0.56,2.78,2.24,2.77,7.8,0.14,0.38
20,27.83,0.18,82,19.32,28.56,6.46,22.1,0.5,0.21,0.89,0.42,-0.44,0.31,2.44,1.93,2.34,6.71,0.09,0.32
21,41.42,0.12,88,24.61,34.14,6.8,27.34,0.49,0.15,0.48,0.42,-0.08,0.03,2.62,2.02,2.64,7.28,0.23,1.64
22,40.42,0.09,91,2.49,28.93,1.75,27.19,0.5,0.24,1.11,0.41,-0.57,0.39,2.33,1.76,2.43,6.52,0.21,0.2
23,72.67,0.06,94,27.38,33.85,7.38,26.47,0.01,0.93,6.32,0.07,-2.1,1.67,3.52,2.84,3.68,10.04,0.16,0.25
24,49.75,0.12,88,34,30.8,7.05,23.75,0.3,0.5,3.73,0.27,-1.08,0.75,3.0,2.32,3.1,8.42,0.1,0.26
25,54.33,0.05,95,31.66,35.17,8.39,26.78,0.47,0.27,1.6,0.39,-0.7,0.36,2.8,2.12,2.58,7.5,0.16,0.29
26,57.5,0.04,96,3.44,27.61,2.34,25.27,0.4,0.3,1.28,0.36,-0.43,0.48,2.75,2.12,2.82,7.69,0.06,0.27
27,52.75,0.05,95,17.24,35.82,6.55,29.26,0.58,0.06,0.03,0.47,-0.02,-0.14,2.59,2.12,2.59,7.3,0.21,0.27
28,40.33,0.14,86,32.4,37.04,7.16,29.88,0.52,0.1,-0.05,0.44,0.06,-0.18,2.67,2.1,2.8,7.58,0.31,0.22
29,50.33,0.11,89,20.2,34.98,7.39,27.6,0.37,0.37,1.69,0.33,-0.65,0.71,2.85,2.44,2.98,8.27,0.23,0.21
30,65.0,0.05,95,24.75,33.01,5.96,27.05,0.25,0.57,4.02,0.23,-1.31,0.78,3.15,2.4,3.3,8.84,0.14,0.21
31,43.67,0.09,91,32.53,32.01,7.43,24.57,0.58,0.06,-0.01,0.47,-0.05,-0.12,2.46,1.9,2.58,6.94,0.1,0.2
32,60.08,0.11,89,34.96,34.85,8.09,26.76,0.18,0.66,5.09,0.18,-1.43,1.04,3.38,2.74,3.46,9.58,0.18,0.2
33,61.33,0.08,92,55.3,35.88,9.59,26.28,0.21,0.63,3.06,0.21,-1.3,1.27,3.21,2.58,3.26,9.04,0.17,0.2
34,58.58,0.06,94,4.3,29.23,2.8,26.43,0.36,0.42,1.84,0.32,-0.85,0.59,2.99,2.24,3.01,8.24,0.14,0.2
35,43.0,0.12,88,28.36,30.19,6.62,23.57,0.56,0.08,-0.04,0.46,0.02,-0.11,2.7,2.14,2.66,7.5,0.08,0.19
36,53.42,0.07,93,23.18,30.56,5.83,24.73,0.34,0.47,1.81,0.3,-1.08,1.04,2.75,2.19,2.85,7.8,0.08,0.22
37,53.67,0.03,97,27.88,35.63,8.15,27.48,0.52,0.1,-0.14,0.44,0.09,-0.15,2.59,1.86,2.57,7.01,0.16,0.34
38,52.0,0.09,91,5.75,30.45,3.15,27.3,0.32,0.41,2.63,0.3,-0.75,0.54,2.86,2.22,2.97,8.04,0.22,0.22
39,52.92,0.08,92,20.91,29.66,5.57,24.09,0.44,0.26,1.93,0.36,-0.51,0.24,2.84,2.17,2.94,7.95,0.03,0.22
40,70.67,0.05,95,7.68,28.22,2.83,25.39,0.14,0.73,4.18,0.16,-1.53,1.26,3.4,2.65,3.5,9.56,0.09,0.2
41,51.0,0.07,93,9.08,30.35,3.32,27.03,0.37,0.39,3.01,0.32,-0.83,0.42,2.67,2.04,2.77,7.48,0.18,1.05
42,36.33,0.07,93,8.22,28.98,4.61,24.37,0.61,0.04,-0.01,0.49,-0.07,-0.12,2.06,1.46,2.06,5.59,0.04,0.16
43,57.75,0.04,96,38.44,36.78,8.17,28.6,0.42,0.32,1.9,0.35,-0.68,0.35,2.77,2.21,2.74,7.72,0.21,0.16
44,45.0,0.07,93,30.7,35.94,7.25,28.69,0.6,0.05,-0.01,0.49,-0.07,-0.13,2.43,1.89,2.39,6.71,0.23,0.17
45,45.5,0.09,91,36.66,32.37,7.91,24.46,0.5,0.22,0.82,0.42,-0.46,0.1,2.67,1.98,2.54,7.19,0.1,0.16
46,53.92,0.07,93,9.43,31.17,5.19,25.98,0.33,0.45,2.7,0.3,-0.92,0.49,2.85,2.1,2.91,7.86,0.14,0.14
47,78.92,0.03,97,38.31,34.48,7.24,27.24,0.01,0.94,5.99,0.07,-2.09,1.88,3.57,2.9,3.67,10.13,0.14,0.17
48,60.42,0.03,97,45.78,37.51,8.52,28.99,0.47,0.18,0.81,0.4,-0.14,-0.09,2.77,2.2,2.88,7.84,0.21,0.16
49,56.58,0.02,98,22.08,33.31,6.8,26.51,0.59,0.05,-0.02,0.49,-0.03,-0.14,2.54,2.14,2.49,7.17,0.11,0.14
50,39.92,0.1,90,10.77,28.08,3.66,24.42,0.55,0.16,1.35,0.44,-0.45,-0.05,2.44,1.83,2.38,6.66,0.11,0.33
