episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,47.2,0.19,81,10.11,27.9,5.01,22.89,0.71,0.07,-0.1,0.65,0.47,-0.14,2.0,1.11,1.65,4.76,0.15,0.32
2,45.93,0.2,80,22.02,27.04,5.11,21.92,0.34,0.54,1.92,0.32,-1.01,1.27,2.45,1.84,2.38,6.66,0.12,0.32
3,46.45,0.22,78,12.49,25.33,4.18,21.15,0.49,0.37,0.62,0.47,-0.31,0.67,2.65,1.99,2.24,6.88,0.1,0.31
4,36.23,0.22,78,34.73,33.39,8.11,25.28,0.76,0.07,-0.08,0.7,0.58,-0.14,1.92,1.27,1.47,4.67,0.27,0.32
5,45.97,0.22,78,22.85,26.73,5.78,20.95,0.74,0.06,0.0,0.67,0.46,-0.1,1.85,1.05,1.6,4.5,0.08,0.26
6,42.88,0.21,79,23.44,27.41,5.92,21.49,0.25,0.6,1.97,0.25,-1.22,1.27,2.96,2.3,2.85,8.11,0.1,0.17
7,46.04,0.21,79,9.38,25.59,3.37,22.23,0.82,0.08,-0.16,0.77,0.78,-0.27,2.1,1.34,1.33,4.77,0.15,0.18
8,47.97,0.21,79,17.75,25.8,4.59,21.22,0.67,0.26,1.08,0.66,0.32,0.03,2.61,1.77,2.01,6.39,0.08,0.18
9,34.91,0.27,73,30.04,26.48,6.04,20.44,0.67,0.06,-0.1,0.59,0.27,-0.06,1.97,1.18,1.52,4.67,0.13,0.18
10,63.08,0.12,88,49.09,32.91,9.3,23.61,0.69,0.07,-0.08,0.62,0.39,-0.17,2.43,1.69,1.88,6.0,0.08,0.2
11,45.87,0.2,80,57.2,32.36,9.68,22.68,0.65,0.04,0.05,0.53,0.04,0.11,1.54,0.84,1.61,3.99,0.16,0.37
12,36.9,0.26,74,7.15,25.26,3.7,21.57,0.14,0.77,2.26,0.17,-1.63,1.74,3.26,2.55,3.28,9.1,0.18,0.38
13,35.91,0.26,74,10.16,24.03,4.08,19.95,0.76,0.06,-0.05,0.68,0.5,-0.11,1.9,1.19,1.55,4.65,0.08,0.33
14,57.91,0.13,87,16.69,30.36,6.38,23.98,0.15,0.83,3.54,0.2,-1.57,1.72,3.3,2.55,3.18,9.03,0.12,0.33
15,34.16,0.27,73,21.64,28.01,6.94,21.07,0.77,0.08,-0.13,0.72,0.68,-0.21,2.14,1.42,1.52,5.08,0.16,0.33
16,52.91,0.18,82,17.37,28.88,7.05,21.83,0.54,0.3,1.29,0.49,-0.25,0.43,2.52,1.74,2.22,6.49,0.07,0.32
17,49.15,0.2,80,11.45,25.64,4.34,21.3,0.65,0.3,0.44,0.64,0.15,0.38,2.4,1.56,1.98,5.94,0.06,0.32
18,49.72,0.2,80,21.82,28.0,6.78,21.22,0.54,0.32,0.67,0.51,-0.24,0.61,2.5,1.71,2.29,6.5,0.06,0.31
19,54.34,0.17,83,16.36,28.87,6.1,22.77,0.74,0.05,-0.05,0.65,0.38,-0.07,1.75,0.93,1.47,4.14,0.11,0.32
20,43.89,0.23,77,19.27,27.27,6.44,20.83,0.42,0.49,1.62,0.43,-0.55,0.94,2.75,2.1,2.33,7.18,0.09,0.32
21,43.66,0.21,79,26.3,30.92,6.94,23.97,0.44,0.34,0.87,0.39,-0.57,0.77,2.33,1.6,2.2,6.13,0.19,1.68
22,60.37,0.12,88,2.28,27.62,1.64,25.98,0.83,0.07,-0.09,0.78,0.76,-0.14,1.78,0.96,1.32,4.06,0.2,0.18
23,64.21,0.09,91,28.59,34.07,7.68,26.4,0.56,0.35,1.15,0.54,-0.17,0.55,2.3,1.54,1.85,5.68,0.17,0.18
24,69.47,0.07,93,39.87,32.41,7.85,24.56,0.8,0.06,-0.02,0.72,0.59,-0.15,1.8,1.12,1.52,4.43,0.06,0.19
25,63.08,0.12,88,34.36,32.62,8.55,24.07,0.81,0.08,-0.14,0.77,0.77,-0.24,2.1,1.2,1.5,4.81,0.11,0.26
26,70.42,0.09,91,3.78,26.69,2.54,24.15,0.59,0.28,0.89,0.55,-0.05,0.43,2.45,1.68,2.02,6.15,0.07,0.28
27,66.08,0.07,93,16.28,35.28,6.45,28.84,0.3,0.67,1.4,0.34,-1.02,1.38,2.99,2.22,2.8,8.0,0.23,0.32
28,48.21,0.17,83,31.72,32.5,6.6,25.9,0.49,0.32,0.95,0.46,-0.34,0.62,2.48,1.93,2.22,6.63,0.24,0.36
29,47.3,0.16,84,21.06,33.39,7.22,26.17,0.43,0.33,1.59,0.36,-0.68,0.72,2.26,1.58,2.31,6.16,0.24,0.22
30,62.79,0.1,90,20.67,31.55,5.33,26.22,0.49,0.4,1.42,0.47,-0.45,0.85,2.4,1.63,2.03,6.07,0.19,0.27
31,71.87,0.08,92,27.39,31.05,6.9,24.15,0.49,0.27,0.68,0.42,-0.49,0.74,2.14,1.63,2.17,5.95,0.04,0.25
32,61.9,0.11,89,30.35,32.35,7.46,24.9,0.26,0.6,1.36,0.26,-1.2,1.43,2.76,2.1,2.6,7.46,0.14,0.25
33,49.12,0.16,84,55.62,32.68,9.61,23.07,0.44,0.58,1.22,0.48,-0.53,1.11,2.83,2.0,2.29,7.12,0.11,0.22
34,62.19,0.11,89,3.57,28.92,2.38,26.54,0.35,0.5,1.73,0.31,-1.01,1.14,2.37,1.71,2.58,6.66,0.21,0.18
35,74.12,0.06,94,27.45,31.72,6.51,25.21,0.46,0.33,0.39,0.42,-0.46,0.78,2.45,1.86,2.2,6.51,0.09,0.2
36,54.04,0.15,85,28.26,29.77,6.52,23.25,0.51,0.36,0.79,0.48,-0.38,0.68,2.46,1.82,2.22,6.51,0.12,0.24
37,71.69,0.07,93,31.48,33.62,8.33,25.29,0.62,0.21,0.59,0.57,0.09,0.26,2.17,1.43,1.86,5.46,0.1,0.26
38,66.74,0.09,91,6.9,30.37,3.64,26.73,0.76,0.05,-0.0,0.67,0.41,-0.03,1.75,0.98,1.46,4.19,0.2,0.19
39,70.07,0.07,93,23.91,31.14,5.91,25.23,0.51,0.33,1.0,0.47,-0.31,0.58,2.3,1.58,1.95,5.83,0.11,0.22
