episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,20.07,0.22,78,11.73,29.7,5.7,24.0,0.05,0.5,0.29,0.33,0.17,0.0,2.23,2.24,2.72,0.46,0.23,0.12
2,9.87,0.28,72,21.97,65.49,5.54,59.94,-0.31,1.69,1.13,0.02,-0.27,0.22,2.68,2.08,2.6,0.47,0.09,0.14
3,30.27,0.15,85,10.16,107.25,3.61,103.65,-0.27,1.22,1.08,0.02,-0.21,0.19,2.37,2.04,2.61,0.47,0.16,0.13
4,18.47,0.23,77,23.68,149.9,6.79,143.12,-0.06,1.44,1.15,0.31,0.0,0.22,2.12,1.83,2.94,0.46,0.12,0.12
5,22.4,0.19,81,31.41,195.46,6.72,188.74,0.04,1.03,0.46,0.39,0.12,0.05,2.44,2.27,3.02,0.49,0.18,0.12
6,23.73,0.19,81,15.16,216.36,5.03,211.33,-0.25,1.96,0.86,0.13,-0.24,0.42,2.4,2.14,3.01,0.47,0.1,0.12
7,15.2,0.25,75,9.73,254.89,3.45,251.44,-0.32,2.29,1.69,0.1,-0.29,0.32,2.24,1.84,3.24,0.46,0.19,0.12
8,14.87,0.25,75,24.93,294.48,5.79,288.69,-0.38,1.95,1.08,-0.01,-0.3,0.62,2.08,2.16,2.53,0.47,0.1,0.12
9,15.2,0.24,76,27.67,332.88,5.8,327.08,-0.33,2.0,2.6,0.05,-0.22,0.08,2.49,2.1,2.7,0.48,0.11,0.12
10,15.2,0.24,76,45.47,383.66,9.13,374.53,-0.21,1.28,1.62,0.06,-0.26,0.14,2.43,2.07,2.99,0.48,0.12,0.13
11,27.73,0.16,84,52.95,418.08,9.48,408.6,-0.32,1.66,1.31,0.0,-0.32,0.37,2.43,2.07,2.94,0.48,0.14,0.12
12,38.13,0.09,91,5.98,456.23,3.19,453.03,-0.32,1.41,1.35,-0.01,-0.27,0.14,2.48,2.07,2.78,0.48,0.12,0.12
13,18.8,0.22,78,10.97,503.51,4.41,499.1,-0.27,1.45,1.16,0.06,-0.18,0.25,2.44,1.91,2.86,0.48,0.09,0.12
14,19.33,0.21,79,13.82,543.68,5.76,537.92,-0.39,1.8,2.16,-0.05,-0.35,0.45,2.19,2.3,2.8,0.49,0.08,0.12
15,21.73,0.19,81,25.56,586.8,7.69,579.11,-0.56,2.87,2.54,-0.1,-0.45,0.53,2.46,2.15,2.67,0.5,0.24,0.12
16,18.47,0.23,77,16.31,626.17,6.92,619.25,-0.36,2.06,2.02,0.03,-0.26,0.29,2.19,1.91,2.56,0.46,0.1,0.12
17,29.2,0.15,85,13.55,654.86,4.86,650.0,-0.39,2.16,2.07,-0.02,-0.37,0.38,2.29,2.13,2.62,0.48,0.1,0.12
18,24.2,0.18,82,17.8,695.96,5.99,689.98,-0.49,2.0,3.13,-0.16,-0.48,0.34,2.05,2.19,2.93,0.48,0.12,0.15
