episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,30.98,0.26,74,11.62,29.09,5.66,23.43,0.56,0.07,-0.07,0.47,0.03,-0.2,2.46,1.76,2.43,6.65,0.22,0.14
2,45.5,0.16,84,20.83,27.55,5.05,22.5,0.29,0.5,4.07,0.26,-1.08,0.59,3.1,2.42,3.07,8.58,0.08,0.12
3,54.26,0.16,84,10.57,26.1,3.79,22.31,0.01,0.95,4.34,0.08,-2.09,1.62,3.55,2.7,3.84,10.1,0.06,0.13
4,32.89,0.23,77,23.21,29.6,7.06,22.55,0.6,0.05,0.04,0.48,-0.07,-0.08,2.12,1.57,2.14,5.83,0.19,0.15
5,23.09,0.25,75,31.89,27.57,6.83,20.75,0.53,0.1,-0.07,0.45,0.06,-0.11,2.79,2.19,2.69,7.67,0.12,0.14
6,48.01,0.18,82,17.12,27.31,5.21,22.1,0.44,0.3,1.77,0.37,-0.64,0.53,2.62,2.0,2.49,7.11,0.09,0.15
7,52.86,0.17,83,9.98,26.04,3.46,22.58,0.18,0.66,6.12,0.18,-1.57,0.99,3.14,2.52,3.22,8.88,0.1,0.13
8,30.52,0.26,74,17.78,26.66,4.6,22.05,0.43,0.24,0.27,0.38,-0.27,0.37,2.76,2.19,2.73,7.68,0.19,0.12
9,39.79,0.16,84,29.6,29.58,6.12,23.45,0.26,0.55,3.44,0.24,-1.17,0.98,2.92,2.43,2.98,8.32,0.14,0.12
10,18.67,0.24,76,46.32,29.49,9.17,20.32,0.39,0.33,1.5,0.35,-0.53,0.5,2.97,2.45,3.03,8.45,0.07,0.13
11,20.68,0.18,82,56.98,31.28,9.67,21.61,0.42,0.3,1.37,0.36,-0.54,0.31,2.79,2.17,2.73,7.7,0.04,0.15
12,37.0,0.25,75,6.39,26.28,3.37,22.91,0.16,0.73,4.03,0.17,-1.65,1.23,3.25,2.49,3.4,9.15,0.22,0.14
13,56.12,0.14,86,13.91,28.73,4.99,23.74,0.31,0.48,3.0,0.28,-1.06,0.86,2.95,2.31,2.98,8.24,0.13,0.15
14,45.51,0.19,81,16.05,28.5,6.28,22.22,0.48,0.27,1.07,0.4,-0.65,0.42,2.44,1.9,2.62,6.96,0.11,0.15
15,28.39,0.25,75,22.97,28.11,7.12,20.99,0.53,0.16,1.63,0.43,-0.37,0.05,2.37,1.85,2.45,6.68,0.14,0.13
16,40.31,0.2,80,18.5,28.86,7.08,21.78,0.25,0.54,3.54,0.24,-1.08,1.0,3.15,2.52,3.24,8.91,0.11,0.12
17,46.37,0.17,83,14.72,29.59,5.23,24.36,0.4,0.34,1.79,0.34,-0.71,0.5,2.87,2.3,2.99,8.16,0.19,0.12
18,32.3,0.21,79,24.76,31.07,7.4,23.67,0.26,0.54,2.33,0.26,-1.03,1.03,3.09,2.35,3.2,8.65,0.21,0.12
19,32.74,0.26,74,17,26.32,6.11,20.22,0.6,0.05,-0.02,0.49,-0.05,-0.12,2.35,1.81,2.3,6.46,0.11,0.15
20,41.3,0.19,81,23.01,29.15,7.2,21.95,0.25,0.54,3.71,0.24,-1.08,1.09,2.96,2.47,3.01,8.44,0.1,0.15
21,41.91,0.13,87,26.99,35.68,6.97,28.71,0.59,0.08,0.27,0.47,-0.19,-0.03,2.29,1.83,2.41,6.53,0.28,0.82
22,70.63,0.08,92,2.6,29.08,1.8,27.28,0.39,0.3,1.98,0.35,-0.47,0.27,2.85,2.21,2.82,7.87,0.2,0.12
23,55.88,0.09,91,27.91,33.51,7.51,26.0,0.38,0.37,2.4,0.33,-0.78,0.61,2.84,2.29,2.87,7.99,0.17,0.12
24,36.23,0.16,84,36.14,29.57,7.35,22.21,0.57,0.06,-0.0,0.46,-0.04,0.01,2.75,2.21,2.88,7.84,0.05,0.12
25,40.28,0.13,87,35.68,32.96,8.59,24.37,0.58,0.07,-0.05,0.48,0.02,-0.13,2.44,1.82,2.39,6.64,0.14,0.12
26,75.16,0.08,92,3.17,26.68,2.18,24.5,0.65,0.01,0.05,0.51,-0.13,-0.12,2.06,1.62,2.05,5.74,0.08,0.12
27,53.99,0.11,89,19.2,35.37,6.83,28.54,0.29,0.52,4.42,0.25,-1.22,0.84,2.89,2.32,3.12,8.33,0.26,0.12
28,33.45,0.17,83,30.71,33.71,6.82,26.89,0.26,0.58,3.74,0.24,-1.32,1.11,3.02,2.46,3.04,8.52,0.26,0.12
29,60.54,0.08,92,18.89,33.64,7.08,26.57,0.42,0.31,1.76,0.36,-0.58,0.3,2.71,2.03,2.8,7.54,0.16,0.19
30,55.88,0.11,89,19.84,29.14,5.12,24.02,0.42,0.33,1.67,0.36,-0.71,0.48,2.71,2.1,2.67,7.48,0.1,0.12
31,50.4,0.13,87,25.7,30.02,6.68,23.33,0.43,0.32,2.07,0.36,-0.68,0.42,2.64,2.15,2.72,7.52,0.09,0.12
32,49.65,0.11,89,31.1,31.29,7.31,23.98,0.36,0.43,2.86,0.31,-1.02,0.74,2.79,2.21,2.92,7.92,0.1,0.12
33,38.36,0.04,96,57.67,36.08,9.7,26.38,0.4,0.35,1.9,0.34,-0.77,0.55,2.83,2.27,2.79,7.9,0.12,0.14
34,74.91,0.07,93,3.96,28.95,2.6,26.34,0.34,0.43,2.63,0.3,-0.91,0.65,2.92,2.31,2.89,8.13,0.16,0.12
35,48.03,0.12,88,31.45,31.16,6.87,24.3,0.11,0.77,5.08,0.14,-1.66,1.42,3.34,2.7,3.36,9.41,0.12,0.13
36,56.59,0.1,90,19.89,32.06,5.48,26.58,0.4,0.35,2.28,0.35,-0.68,0.53,2.54,1.94,2.6,7.09,0.2,0.17
37,42.78,0.14,86,34.42,31.48,8.51,22.98,0.25,0.55,2.37,0.25,-1.03,1.28,2.87,2.34,2.98,8.19,0.08,0.14
38,67.21,0.09,91,7.3,29.77,3.8,25.98,0.53,0.09,-0.0,0.45,0.05,-0.07,2.75,2.18,2.81,7.74,0.17,0.15
39,53.62,0.13,87,14.99,29.39,4.89,24.51,0.4,0.3,0.85,0.36,-0.41,0.4,2.86,2.21,2.86,7.93,0.16,0.18
40,74.86,0.06,94,9.34,27.81,3.21,24.6,0.56,0.07,-0.02,0.47,0.02,-0.08,2.31,2.08,2.42,6.81,0.03,0.17
41,58.3,0.1,90,11.4,31.09,3.8,27.29,0.48,0.17,0.56,0.41,-0.13,0.03,2.88,2.31,2.82,8.01,0.22,0.78
42,77.84,0.04,96,9.12,31.19,5.05,26.15,0.55,0.08,-0.09,0.46,0.04,-0.1,2.34,1.93,2.37,6.64,0.12,0.12
43,49.45,0.08,92,38.38,34.23,8.08,26.15,0.43,0.3,2.07,0.37,-0.61,0.33,2.85,2.2,2.76,7.8,0.15,0.14
44,51.94,0.1,90,24.72,34.12,6.85,27.27,0.51,0.16,0.9,0.43,-0.2,-0.01,2.68,2.13,2.71,7.52,0.22,0.14
45,44.54,0.11,89,38.47,31.69,8.2,23.48,0.47,0.25,1.58,0.39,-0.49,0.11,2.56,1.86,2.7,7.12,0.05,0.13
46,75.07,0.03,97,9.8,35.58,5.43,30.14,0.44,0.29,2.02,0.37,-0.64,0.26,2.56,1.99,2.73,7.28,0.24,0.13
47,61.12,0.04,96,31.54,32.48,6.59,25.9,0.27,0.5,3.59,0.25,-1.0,0.71,3.06,2.41,3.17,8.64,0.1,0.15
48,41.5,0.06,94,44.66,39.61,8.63,30.98,0.26,0.53,2.55,0.25,-1.06,0.98,3.08,2.4,3.07,8.56,0.29,0.16
49,64.85,0.07,93,20.22,31.83,6.39,25.44,0.47,0.27,1.3,0.38,-0.72,0.54,2.62,2.17,2.68,7.47,0.13,0.15
50,73.75,0.03,97,10.2,34.84,3.62,31.22,0.17,0.7,5.26,0.18,-1.6,1.23,3.14,2.54,3.29,8.97,0.26,0.15
51,79.03,0.04,96,3.66,29.87,2.33,27.54,0.33,0.44,2.65,0.29,-0.96,0.65,3.02,2.45,3.0,8.47,0.17,0.14
52,57.91,0.1,90,21.82,28.63,4.41,24.22,0.58,0.06,-0.07,0.48,-0.01,-0.19,2.41,1.8,2.57,6.78,0.1,0.12
53,47.51,0.06,94,35.66,37.36,7.13,30.23,0.34,0.41,2.29,0.3,-0.81,0.63,2.92,2.31,2.94,8.16,0.26,0.13
54,59.7,0.1,90,20.67,31.26,5.86,25.4,0.37,0.37,2.21,0.33,-0.74,0.68,2.77,2.17,2.81,7.74,0.16,0.12
55,66.16,0.07,93,16.68,30.71,4.88,25.83,0.41,0.3,1.68,0.36,-0.54,0.36,2.63,1.97,2.68,7.28,0.14,0.12
56,66.23,0.06,94,14.89,32.64,5.15,27.49,0.01,0.93,6.19,0.07,-2.1,1.68,3.49,2.85,3.64,9.98,0.19,0.14
57,55.78,0.11,89,20.9,31.51,6.01,25.51,0.41,0.3,1.24,0.36,-0.49,0.51,3.03,2.44,3.0,8.47,0.17,0.12
58,77.85,0.04,96,6.12,29.7,3.3,26.4,0.01,0.92,7.45,0.06,-2.1,1.54,3.49,2.82,3.67,9.98,0.13,0.12
59,62.41,0.07,93,18.13,32.59,5.34,27.25,0.57,0.07,-0.03,0.47,0.01,-0.12,2.48,1.85,2.39,6.72,0.19,0.14
60,70.94,0.06,94,13.66,28.99,3.5,25.49,0.57,0.07,0.01,0.47,0.0,-0.05,2.49,1.9,2.53,6.93,0.11,0.14
61,45.71,0.08,92,36.03,38.26,8.41,29.85,0.19,0.64,4.1,0.19,-1.39,1.12,3.26,2.63,3.38,9.27,0.23,0.12
