episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,33.9,0.22,78,11.12,28.61,5.43,23.18,0.48,0.26,0.65,0.41,-0.46,0.54,2.55,2.13,2.45,7.13,0.19,0.29
2,30.17,0.2,80,20.15,26.51,5.21,21.3,0.36,0.48,1.25,0.32,-0.99,1.26,2.41,1.74,2.55,6.7,0.06,0.33
3,26.74,0.24,76,11.66,24.72,4.01,20.71,0.61,0.24,0.38,0.57,0.06,0.33,2.37,1.68,2.0,6.05,0.1,0.31
4,9.35,0.27,73,24.92,27.76,7.1,20.66,0.64,0.05,-0.04,0.54,0.13,-0.02,1.77,1.16,1.58,4.51,0.15,0.32
5,21.29,0.2,80,29.23,27.91,6.59,21.32,0.73,0.31,0.57,0.74,0.51,0.18,2.49,1.59,1.69,5.76,0.07,0.31
6,24.67,0.2,80,21.8,26.98,5.75,21.22,0.59,0.27,0.65,0.55,-0.05,0.55,2.17,1.45,1.74,5.36,0.06,0.33
7,20.68,0.26,74,8.42,24.14,3.09,21.05,0.95,0.1,-0.23,0.95,1.32,-0.44,2.19,1.26,1.11,4.55,0.16,0.3
8,36.57,0.14,86,18.79,27.49,4.7,22.79,0.49,0.29,1.1,0.41,-0.59,0.66,2.05,1.3,2.15,5.5,0.06,0.32
9,8.5,0.28,72,28.26,30.24,6.21,24.03,0.72,0.31,0.46,0.74,0.51,0.21,2.28,1.6,1.49,5.36,0.28,0.31
10,12.7,0.2,80,47.6,30.81,9.23,21.58,0.45,0.48,2.25,0.45,-0.56,0.83,2.55,1.8,2.34,6.69,0.09,0.32
11,14.68,0.12,88,55.27,32.7,9.59,23.11,0.57,0.31,1.0,0.53,-0.2,0.63,2.09,1.49,2.03,5.61,0.04,0.34
12,30.9,0.2,80,5.89,25.73,3.16,22.58,0.74,0.06,-0.07,0.66,0.45,-0.03,1.76,1.15,1.29,4.2,0.15,0.38
13,24.81,0.21,79,12.41,25.61,4.6,21.01,0.86,0.08,-0.15,0.83,0.94,-0.26,1.85,1.06,1.18,4.09,0.06,0.4
14,24.17,0.22,78,15.79,27.26,6.19,21.08,0.5,0.28,0.83,0.43,-0.52,0.73,1.9,1.13,2.0,5.03,0.09,0.34
15,16.86,0.27,73,21.03,26.51,6.67,19.84,0.52,0.33,1.29,0.49,-0.31,0.59,2.4,1.77,2.07,6.23,0.09,0.3
16,27.25,0.2,80,17.4,29.24,7.14,22.1,0.68,0.07,-0.1,0.61,0.36,-0.2,2.22,1.55,1.52,5.3,0.11,0.34
17,37.79,0.21,79,14.35,27.48,5.08,22.41,0.33,0.67,2.32,0.38,-0.92,1.28,3.11,2.38,2.91,8.4,0.16,0.3
18,24.84,0.23,77,19.61,27.24,6.46,20.78,0.57,0.37,0.42,0.57,-0.02,0.57,2.57,1.86,2.03,6.46,0.09,0.32
19,29.19,0.21,79,17.44,27.4,6.49,20.91,0.53,0.31,0.73,0.49,-0.29,0.62,2.44,1.75,2.19,6.38,0.05,0.31
20,34.56,0.16,84,18.9,29.24,6.21,23.02,0.56,0.25,0.67,0.51,-0.2,0.47,2.24,1.48,2.14,5.86,0.1,0.28
21,32.44,0.12,88,26.62,33.46,6.98,26.48,0.62,0.05,0.0,0.52,0.07,0.04,1.98,1.35,1.67,5.0,0.19,1.97
22,59.94,0.11,89,2.33,26.02,1.66,24.36,0.28,0.58,1.81,0.28,-1.13,1.42,2.67,2.09,2.62,7.38,0.12,0.3
23,31.09,0.13,87,27.37,32.92,7.38,25.54,0.63,0.05,0.08,0.52,0.04,0.05,1.9,1.41,1.87,5.18,0.19,0.23
24,23.58,0.14,86,36.65,31.44,7.76,23.67,0.65,0.26,0.71,0.62,0.14,0.32,2.13,1.44,1.71,5.28,0.13,0.21
25,31.73,0.1,90,35.73,32.26,8.61,23.64,0.5,0.24,1.12,0.42,-0.44,0.62,2.07,1.51,2.17,5.74,0.04,0.35
26,46.45,0.11,89,3.55,25.87,2.4,23.46,0.82,0.07,-0.09,0.77,0.74,-0.16,1.73,0.92,1.33,3.98,0.05,0.37
27,48.08,0.1,90,13.43,35.85,5.89,29.96,0.7,0.08,-0.07,0.63,0.45,-0.17,2.36,1.76,1.74,5.86,0.29,0.27
28,16.98,0.23,77,36.96,36.72,7.55,29.17,0.37,0.45,1.61,0.36,-0.73,0.83,2.71,2.13,2.47,7.31,0.37,0.31
29,40.3,0.12,88,19.72,33.79,7.29,26.5,0.52,0.4,0.48,0.51,-0.3,0.83,2.24,1.57,2.02,5.83,0.19,0.33
30,31.87,0.15,85,24.54,30.49,6.09,24.4,0.55,0.32,1.47,0.51,-0.2,0.53,2.24,1.47,2.01,5.72,0.16,0.23
31,31.28,0.13,87,28.41,30.01,6.88,23.13,0.75,0.28,0.71,0.76,0.61,0.06,2.32,1.53,1.59,5.44,0.07,0.25
32,36.05,0.14,86,33.03,32.79,7.84,24.95,0.35,0.42,1.6,0.32,-0.79,0.88,2.94,2.38,2.74,8.07,0.16,0.33
33,21.79,0.12,88,56.36,32.71,9.64,23.07,0.33,0.5,1.89,0.3,-1.01,1.18,2.77,2.17,2.82,7.76,0.03,0.33
34,52.61,0.14,86,4.31,27.9,2.83,25.07,0.46,0.36,1.08,0.43,-0.44,0.73,2.72,2.1,2.4,7.22,0.19,0.33
35,29.54,0.15,85,24.47,29.11,6.26,22.85,0.71,0.06,-0.04,0.63,0.38,-0.1,2.07,1.27,1.71,5.05,0.09,0.28
36,35.18,0.13,87,29.03,29.84,6.51,23.33,0.55,0.48,0.72,0.59,-0.12,0.89,2.69,1.85,2.09,6.63,0.09,0.32
37,21.76,0.15,85,31.62,31.95,8.37,23.58,0.66,0.04,0.05,0.55,0.09,0.15,1.59,1.02,1.6,4.21,0.14,0.34
38,51.92,0.1,90,6.94,30.26,3.64,26.62,0.62,0.25,0.56,0.58,0.02,0.4,2.22,1.42,2.0,5.64,0.2,0.36
39,39.63,0.11,89,20.99,29.7,5.7,24.0,0.52,0.24,0.65,0.45,-0.37,0.59,2.06,1.39,2.01,5.46,0.09,0.42
40,53.81,0.05,95,10.21,28.89,3.42,25.47,0.79,0.08,-0.12,0.75,0.74,-0.24,2.01,1.2,1.4,4.61,0.1,0.47
41,48.78,0.09,91,7.88,29.58,3.03,26.55,0.88,0.08,-0.13,0.85,0.98,-0.28,2.08,1.12,1.35,4.55,0.18,2.03
42,60.92,0.05,95,8.29,29.99,4.65,25.35,0.48,0.29,1.16,0.41,-0.53,0.74,2.22,1.59,2.23,6.04,0.09,0.27
43,33.08,0.09,91,38.1,34.05,8.05,26.0,0.39,0.43,1.89,0.34,-0.89,1.01,2.21,1.63,2.33,6.16,0.16,0.28
44,35.01,0.1,90,28.34,34.25,7.05,27.2,0.71,0.08,-0.11,0.65,0.49,-0.25,2.12,1.43,1.66,5.21,0.2,0.26
45,28.18,0.07,93,37.51,32.77,8.04,24.73,0.73,0.06,-0.03,0.65,0.4,0.02,1.62,0.96,1.45,4.03,0.08,0.28
46,44.2,0.09,91,10.59,35.45,5.73,29.71,0.78,0.05,-0.05,0.69,0.49,-0.05,1.72,0.87,1.26,3.86,0.27,0.24
47,42.27,0.11,89,29.53,32.25,6.32,25.93,0.34,0.63,1.88,0.37,-0.93,1.44,2.9,2.19,2.71,7.8,0.17,0.29
48,23.12,0.07,93,47.74,37.13,8.66,28.47,0.67,0.05,0.06,0.57,0.16,0.13,1.81,1.16,1.71,4.68,0.23,0.29
49,38.3,0.07,93,21.59,31.6,6.84,24.75,0.74,0.04,0.01,0.64,0.33,0.06,1.47,0.73,1.41,3.61,0.07,0.22
50,63.23,0.07,93,9.89,29.15,3.47,25.68,0.41,0.34,0.84,0.37,-0.62,0.75,2.86,2.28,2.68,7.82,0.13,0.29
51,55.17,0.1,90,3.73,29.03,2.37,26.67,0.57,0.14,0.11,0.48,-0.1,0.29,2.18,1.77,1.96,5.9,0.18,0.33
52,48.76,0.08,92,19.41,28.42,4.09,24.33,0.66,0.27,0.85,0.65,0.28,0.17,2.68,1.71,1.92,6.32,0.06,0.31
53,33.36,0.1,90,32.29,35.43,6.77,28.67,0.7,0.18,-0.01,0.68,0.48,0.07,2.29,1.57,1.67,5.52,0.27,0.31
54,55.26,0.03,97,19.01,31.43,5.47,25.96,0.78,0.08,-0.11,0.73,0.71,-0.24,2.45,1.68,1.71,5.84,0.09,0.33
55,34.06,0.1,90,20.22,31.72,5.72,26.0,0.7,0.03,0.03,0.58,0.15,0.1,1.42,0.67,1.32,3.41,0.17,0.29
56,49.43,0.06,94,13.71,31.16,4.95,26.21,0.74,0.06,-0.08,0.67,0.47,-0.1,1.97,1.12,1.49,4.57,0.14,0.29
57,50.48,0.09,91,20.93,35.25,6.04,29.21,0.35,0.44,1.51,0.33,-0.83,1.05,2.76,2.19,2.54,7.48,0.27,0.38
58,57.73,0.06,94,5.5,29.34,3.04,26.3,0.9,0.09,-0.19,0.89,1.14,-0.44,2.31,1.37,1.45,5.13,0.15,0.35
59,44.06,0.11,89,19.91,31.13,5.36,25.78,0.6,0.35,0.71,0.6,0.06,0.37,2.6,1.78,2.08,6.45,0.19,0.36
60,57.76,0.06,94,15.45,29.25,3.68,25.57,0.29,0.57,2.25,0.28,-1.17,1.42,2.54,1.84,2.65,7.03,0.11,0.29
61,29.07,0.11,89,31.87,37.71,8.12,29.6,0.84,0.12,-0.1,0.81,0.83,-0.14,2.22,1.15,1.32,4.68,0.29,0.18
62,55.23,0.08,92,4.39,28.41,2.57,25.85,0.81,0.08,-0.18,0.77,0.81,-0.3,2.28,1.46,1.4,5.14,0.14,2.03
63,56.02,0.05,95,13.35,32.02,6.39,25.62,0.65,0.31,0.52,0.64,0.18,0.39,2.32,1.52,1.94,5.77,0.1,0.26
64,60.38,0.02,98,9.94,38.42,5.08,33.35,0.9,0.1,-0.23,0.89,1.13,-0.43,2.37,1.35,1.26,4.98,0.31,0.3
65,35.86,0.09,91,33.21,32.77,7.1,25.67,0.66,0.33,1.16,0.66,0.22,0.39,2.45,1.55,1.97,5.97,0.16,0.3
66,39.03,0.07,93,32.34,31.48,6.67,24.82,0.67,0.07,-0.1,0.6,0.36,-0.19,2.42,1.67,1.76,5.85,0.08,0.28
67,33.76,0.1,90,31.49,32.22,7.27,24.96,0.62,0.25,0.35,0.59,0.05,0.33,2.22,1.5,1.76,5.48,0.14,0.2
68,55.08,0.04,96,16.7,39.17,6.3,32.88,0.69,0.08,-0.09,0.62,0.41,-0.22,2.41,1.56,1.79,5.76,0.31,0.19
69,30.51,0.08,92,37.45,35.35,7.15,28.2,0.76,0.08,-0.13,0.71,0.66,-0.23,2.1,1.46,1.44,4.99,0.23,0.34
70,55.77,0.03,97,29.44,34.73,7.08,27.65,0.31,0.59,2.14,0.31,-1.02,1.23,2.94,2.27,2.75,7.96,0.17,0.31
71,49.7,0.04,96,21.08,30.48,4.56,25.92,0.8,0.08,-0.11,0.76,0.77,-0.24,2.24,1.4,1.62,5.25,0.09,0.22
72,46.74,0.05,95,25.33,30.83,5.18,25.64,0.69,0.06,-0.0,0.6,0.26,-0.05,2.26,1.57,1.87,5.7,0.1,0.21
73,50.07,0.08,92,7.52,34.0,3.85,30.15,0.75,0.06,-0.04,0.68,0.49,-0.02,1.84,1.17,1.38,4.39,0.29,0.19
74,63.35,0.03,97,14.35,33.43,5.41,28.02,0.48,0.32,0.56,0.44,-0.37,0.69,2.56,2.1,2.3,6.96,0.19,0.23
