episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
1,46.24,0.2,80,11.84,31.63,5.76,25.88,-0.19,-0.09,-0.02,-0.02,-0.09,0.08,2.06,1.86,3.08,0.48,0.55,0.14
2,27.7,0.21,79,25.16,69.91,5.71,64.2,-1.1,3.49,3.47,-0.69,-1.04,0.73,2.7,2.81,1.63,0.51,0.5,0.12
3,55.78,0.16,84,10.17,105.01,3.68,101.33,-0.53,1.54,1.91,-0.28,-0.58,0.42,2.44,1.8,2.31,0.46,0.37,0.12
4,25.33,0.24,76,23.11,156.81,6.97,149.84,-0.14,-0.34,0.04,-0.01,-0.04,-0.09,1.83,1.76,2.45,0.45,0.55,0.12
5,24.62,0.19,81,30.07,191.17,6.58,184.59,-1.22,4.13,3.77,-0.78,-1.23,0.97,2.83,2.27,1.75,0.48,0.44,0.12
6,17.08,0.28,72,24.56,221.29,6.18,215.11,-1.22,4.06,3.33,-0.78,-1.23,0.96,2.94,2.56,1.83,0.49,0.46,0.12
7,52.22,0.17,83,11.46,259.12,3.82,255.3,-1.13,3.99,2.93,-0.7,-1.21,1.02,2.86,2.18,1.92,0.48,0.47,0.14
8,33.57,0.23,77,17.71,305.21,4.71,300.49,-1.34,4.83,4.07,-0.86,-1.47,1.24,2.91,2.26,1.86,0.48,0.59,0.13
9,18.35,0.25,75,27.59,336.65,5.93,330.72,-1.34,4.61,3.2,-0.84,-1.31,1.03,2.89,2.28,1.91,0.48,0.5,0.13
10,4.3,0.15,85,49.69,384.65,9.33,375.32,-1.1,3.65,3.36,-0.69,-1.1,0.92,2.8,2.32,1.82,0.48,0.42,0.12
11,-7.37,0.16,84,57.52,431.41,9.7,421.71,0.06,-0.66,-0.05,0.12,-0.1,-0.14,2.1,1.57,2.79,0.47,0.65,0.12
12,40.32,0.27,73,5.9,462.78,3.16,459.62,-1.16,4.17,3.27,-0.74,-1.32,1.33,2.88,2.36,2.0,0.5,0.55,0.12
13,53.56,0.16,84,11.83,500.04,4.45,495.6,-1.11,3.61,1.72,-0.66,-1.01,0.82,2.9,2.57,1.87,0.5,0.51,0.13
14,41.87,0.22,78,12.41,548.99,5.53,543.46,-0.12,-0.35,-0.07,0.03,0.01,-0.14,2.05,1.6,2.65,0.46,0.56,0.12
15,26.16,0.23,77,23.78,598.16,7.48,590.68,-0.7,2.05,3.34,-0.43,-0.76,0.43,2.54,2.12,2.44,0.49,0.33,0.12
16,40.92,0.18,82,18.73,626.33,7.13,619.2,-0.05,-0.46,-0.07,0.08,-0.01,-0.18,1.96,1.44,2.83,0.45,0.54,0.15
