episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,30.97,0.24,76,12.17,30.28,5.89,24.39,0.46,0.28,2.3,0.38,-0.73,0.44,2.43,2.04,2.57,7.04,0.26,0.12
2,54.19,0.13,87,16.85,28.13,4.33,23.79,0.36,0.4,2.66,0.31,-0.84,0.63,2.86,2.18,3.05,8.09,0.11,0.14
3,36.96,0.2,80,11.65,25.4,4.03,21.38,0.55,0.08,-0.06,0.46,0.03,-0.06,2.33,1.81,2.35,6.49,0.08,0.14
4,26.21,0.29,71,28.3,27.95,7.42,20.54,0.28,0.54,3.87,0.25,-1.28,0.88,2.92,2.27,3.03,8.21,0.17,0.11
5,46.64,0.17,83,24.89,28.18,6.04,22.14,0.33,0.45,2.63,0.29,-0.98,0.84,2.86,2.25,2.86,7.96,0.08,0.14
6,28.1,0.25,75,24.43,26.47,6.07,20.4,0.62,0.03,0.08,0.48,-0.15,-0.03,2.27,1.88,2.31,6.45,0.1,0.13
7,46.22,0.17,83,14.51,31.39,4.57,26.82,0.3,0.51,3.67,0.26,-1.18,1.02,2.8,2.26,2.96,8.02,0.27,0.12
8,27.02,0.26,74,18.73,25.39,5.01,20.38,0.47,0.23,1.49,0.4,-0.44,0.4,2.37,1.76,2.47,6.6,0.12,0.12
9,44.26,0.19,81,26.86,29.75,5.73,24.02,0.34,0.4,1.42,0.31,-0.71,0.61,3.0,2.37,3.02,8.4,0.19,0.12
10,33.42,0.25,75,47.79,29.08,9.24,19.84,0.32,0.47,2.68,0.29,-0.99,0.87,2.87,2.33,3.11,8.31,0.04,0.15
11,46.38,0.19,81,59.65,32.81,9.8,23.01,0.17,0.67,3.8,0.18,-1.41,1.23,3.21,2.62,3.37,9.2,0.16,0.14
12,34.92,0.24,76,4.41,24.12,2.52,21.61,0.43,0.26,0.52,0.38,-0.33,0.31,2.83,2.28,2.83,7.93,0.15,0.12
13,48.95,0.16,84,12.9,27.36,4.58,22.79,0.29,0.5,3.23,0.27,-1.08,0.77,2.8,2.32,2.95,8.07,0.1,0.15
14,42.23,0.19,81,15.85,27.79,5.91,21.88,0.47,0.23,0.6,0.4,-0.43,0.28,2.6,2.25,2.83,7.68,0.1,0.13
15,27.21,0.29,71,24.45,28.98,7.4,21.58,0.3,0.5,3.56,0.26,-1.1,0.99,3.08,2.44,3.08,8.61,0.22,0.14
