episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
1,19.23,0.24,76,10.63,26.2,5.22,20.97,0.95,0.1,-0.25,0.95,1.32,-0.46,2.05,1.24,0.93,4.22,0.12,0.12
2,26.32,0.2,80,21,26.15,5.12,21.02,0.67,0.04,0.03,0.56,0.14,0.09,1.45,0.7,1.36,3.51,0.02,0.12
3,38.49,0.19,81,10.05,25.08,3.65,21.43,0.43,0.5,1.35,0.43,-0.64,1.08,2.63,1.88,2.3,6.8,0.05,0.12
4,32.0,0.16,84,25.07,32.27,7.29,24.98,0.91,0.09,-0.21,0.9,1.16,-0.42,2.18,1.37,1.2,4.75,0.21,0.12
5,35.2,0.18,82,27.27,27.89,6.26,21.63,0.52,0.24,0.75,0.44,-0.46,0.69,1.8,1.18,2.02,5.01,0.04,0.14
6,28.32,0.22,78,24.26,26.8,5.93,20.87,0.49,0.24,0.66,0.42,-0.44,0.54,1.95,1.47,1.96,5.38,0.07,0.16
7,18.36,0.27,73,10.89,24.68,3.64,21.04,0.71,0.05,0.02,0.61,0.25,-0.0,1.78,1.01,1.74,4.53,0.18,0.13
8,26.41,0.25,75,21.15,25.37,4.89,20.48,0.48,0.26,0.52,0.42,-0.42,0.51,2.55,1.96,2.4,6.91,0.11,0.12
9,35.72,0.19,81,28.7,28.27,5.99,22.27,0.45,0.29,0.58,0.4,-0.44,0.65,2.48,1.89,2.24,6.6,0.12,0.2
10,41.52,0.19,81,48.59,30.56,9.28,21.28,0.19,0.73,1.95,0.21,-1.51,1.78,2.88,2.16,2.96,8.0,0.02,0.26
11,39.63,0.16,84,56.38,31.76,9.64,22.12,0.49,0.29,0.73,0.43,-0.45,0.73,2.19,1.5,2.04,5.73,0.04,0.25
