,alg,env_name,qoe_included,obj_included,cost_weight,qoe_weight,latency_weight,gini_weight,qoe_simulation_mode,qoe_accuracy,train_avg_qoe,train_gini,train_avg_total_latency,train_avg_deployment_cost,train_ep_accepted_requests,test_avg_qoe,test_gini,test_avg_total_latency,test_avg_deployment_cost,test_ep_accepted_requests
0,mask_ppo,nne,True,False,0.0,0.0,0.0,1.0,Real,0.0,7.733941205779771,0.1595465869456901,34.115196811160935,19.17660687593423,99.37219730941705,7.657499999999999,0.1716,34.217200000000005,17.168200000000002,99.45
1,mask_ppo,nne,True,False,1.0,0.0,0.0,0.0,Real,0.0,7.76299451918286,0.4155455904334828,50.42748878923767,11.572700548081716,99.29496761335326,7.670800000000002,0.5153,58.24,8.4248,99.52
2,mask_ppo,nne,True,False,0.25,0.25,0.25,0.25,Real,0.0,7.7071001494768305,0.21253114100647735,35.79273044344793,17.047558545092176,99.45690084703537,7.9026,0.23200000000000004,36.027,15.4914,99.54
3,mask_ppo,nne,True,False,0.0,0.0,1.0,0.0,Real,0.0,7.766063776781264,0.19235675137020428,35.16958146487295,18.996362730443447,99.38814150473344,7.610199999999999,0.19500000000000003,34.8395,16.288099999999996,99.53
4,mask_ppo,nne,True,False,0.5,0.5,0.0,0.0,Real,0.0,7.785884404583957,0.4036870951669158,50.9747683109118,13.04689586447434,99.45789735924265,7.9008,0.4301,49.57409999999999,9.4699,99.5
5,mask_ppo,nne,True,True,0.0,1.0,0.0,0.0,Simulation,0.9,7.794479322371698,0.3655655206776283,48.662929745889386,19.908136522172395,99.42202291978077,7.8899,0.43229999999999996,51.28569999999999,18.7413,99.54
6,mask_ppo,nne,True,False,0.0,0.0,0.5,0.5,Real,0.0,7.727105132037867,0.18451918285999006,34.97956153462881,19.480921773791728,99.47533632286995,7.7841,0.19879999999999998,35.0618,17.673099999999998,99.55
7,mask_ppo,nne,True,False,0.0,1.0,0.0,0.0,Real,0.0,7.79417538614848,0.4478375685102143,58.137583457897364,19.092187344294967,99.3223716990533,7.779400000000001,0.6819999999999999,90.48380000000002,16.913899999999998,99.55
8,mask_ppo,nne,True,True,0.0,0.0,0.0,1.0,Simulation,0.9,7.723891380169408,0.15856502242152468,34.00788739412058,19.22764823119083,99.26706527154958,7.662100000000001,0.15600000000000003,33.66630000000001,17.393399999999996,99.52
9,mask_ppo,nne,True,True,0.0,0.0,1.0,0.0,Simulation,0.9,7.750109616342801,0.19903338315894373,35.402959641255606,19.39219730941704,99.24713502740408,7.6567,0.20389999999999997,35.2591,17.557799999999997,99.55
10,mask_ppo,nne,True,False,0.5,0.0,0.5,0.0,Real,0.0,7.708604882909816,0.2989486796213254,40.0407523667165,14.233328350772297,99.38565022421524,7.7099,0.322,40.9752,12.0786,99.51
11,mask_ppo,nne,True,True,1.0,0.0,0.0,0.0,Simulation,0.9,7.7348729446935724,0.36854010961634276,44.82401096163428,10.90531639262581,99.23567513702042,7.6726,0.49589999999999995,57.1918,7.4094,99.34
