,alg,env_name,qoe_included,obj_included,cost_weight,qoe_weight,latency_weight,gini_weight,qoe_simulation_mode,qoe_accuracy,train_avg_qoe,train_gini,train_avg_total_latency,train_avg_deployment_cost,train_ep_accepted_requests,test_avg_qoe,test_gini,test_avg_total_latency,test_avg_deployment_cost,test_ep_accepted_requests
0,mask_ppo,nne,True,False,0.5,0.0,0.0,0.5,Simulation,1.0,6.555839561534628,0.2436322869955157,37.492800199302444,15.536885899352269,99.3368211260588,6.703199999999999,0.2489,37.3088,12.3029,99.52
1,mask_ppo,nne,True,True,1.0,0.0,0.0,0.0,Simulation,0.9,6.399496761335326,0.4212954658694569,51.17135525660189,11.009427005480816,99.29297458893872,6.0541,0.5065000000000001,56.56079999999999,8.745,99.44
2,mask_ppo,nne,True,False,0.0,0.0,0.5,0.5,Real,0.0,6.4354559043348285,0.1679422022919781,34.34201295465869,19.0061783756851,99.41654210264076,6.606599999999999,0.19639999999999996,35.110899999999994,17.288499999999996,99.52
3,mask_ppo,nne,True,True,0.0,1.0,0.0,0.0,Simulation,0.9,7.1786347782760345,0.31546586945690086,43.34584454409567,18.304294967613355,99.26557050323866,8.8009,0.5310000000000001,61.74079999999999,14.658199999999999,99.54
4,mask_ppo,nne,True,False,0.25,0.25,0.25,0.25,Simulation,1.0,6.481160936721474,0.23028898854010965,36.78017438963627,17.093109118086694,99.44643746885899,6.684200000000001,0.308,39.8379,13.8954,99.54
5,mask_ppo,nne,True,False,0.5,0.0,0.5,0.0,Simulation,1.0,6.546831091180866,0.292914798206278,40.36249128051818,14.60122072745391,99.34728450423518,6.7758,0.27490000000000003,37.757999999999996,11.290100000000002,99.51
6,mask_ppo,nne,True,False,0.5,0.5,0.0,0.0,Simulation,0.9,6.62849028400598,0.42783258594917783,53.537374190333836,13.924728450423517,99.44195316392626,6.658700000000001,0.5646,66.8101,8.926,99.54
7,mask_ppo,nne,True,False,1.0,0.0,0.0,0.0,Simulation,0.9,6.544688589935226,0.3744494270054808,46.77925261584454,11.393537618335825,99.27802690582959,6.5534,0.5229,60.0353,7.3434,99.48
8,mask_ppo,nne,True,True,0.0,0.0,0.0,1.0,Simulation,0.9,6.497658196312905,0.16415545590433483,34.20277528649726,19.148749377179872,99.33084205281514,6.5257000000000005,0.20029999999999998,35.2463,17.5025,99.54
9,mask_ppo,nne,True,False,0.0,0.5,0.5,0.0,Real,0.0,6.496975585450922,0.2108271051320379,35.917458893871455,19.908485301444944,99.33084205281514,6.3196,0.26499999999999996,37.609899999999996,17.514799999999997,99.53
10,mask_ppo,nne,True,False,0.0,1.0,0.0,0.0,Simulation,0.8,7.203069257598404,0.38900847035376185,49.18488290981564,20.11461385151968,99.20478325859492,7.9879,0.45990000000000003,53.731700000000004,18.4512,99.54
