,alg,env_name,qoe_included,obj_included,cost_weight,qoe_weight,latency_weight,gini_weight,qoe_simulation_mode,qoe_accuracy,train_avg_qoe,train_gini,train_avg_total_latency,train_avg_deployment_cost,train_ep_accepted_requests,test_avg_qoe,test_gini,test_avg_total_latency,test_avg_deployment_cost,test_ep_accepted_requests
0,mask_ppo,nne,True,True,0.5,0.5,0.0,0.0,Real,0.0,7.782361733931241,0.49830094668659686,63.04068759342302,14.320592924763329,99.45142002989536,7.6098,0.6275999999999999,75.96280000000002,10.864499999999996,99.54
1,mask_ppo,nne,True,True,0.0,0.5,0.0,0.5,Real,0.0,7.740762331838565,0.18758345789735925,35.01370204285003,19.398031888390634,99.37120079720977,7.8237,0.20300000000000004,35.1813,17.7455,99.54
2,mask_ppo,nne,False,True,0.5,0.0,0.0,0.5,Real,0.0,7.721943198804185,0.2129397110114599,35.84349775784753,17.80640259093174,99.29895366218236,7.7994,0.25420000000000004,37.8118,15.635299999999999,99.52
3,mask_ppo,nne,True,False,0.5,0.5,0.0,0.0,Simulation,0.8,7.796885899352267,0.31335824613851526,41.86925759840558,13.69103139013453,99.40408570004982,7.919200000000001,0.4991,58.833800000000004,10.424299999999999,99.55
4,mask_ppo,nne,True,False,0.5,0.0,0.5,0.0,Simulation,0.8,7.748001993024414,0.2783208769307424,39.276581963129054,14.495929247633285,99.41803687095167,7.796899999999999,0.3135,42.04499999999999,10.9297,99.48
5,mask_ppo,nne,True,True,0.5,0.0,0.0,0.5,Simulation,0.9,7.741619332336821,0.21965620328849028,35.97592924763328,15.66126557050324,99.37917289486796,7.6025,0.23560000000000003,36.537699999999994,12.6599,99.54
6,mask_ppo,nne,True,False,0.0,1.0,0.0,0.0,Simulation,0.9,8.073114100647734,0.2631988041853513,38.681918285999,18.905575485799705,99.43348281016442,8.474499999999999,0.25910000000000005,39.108999999999995,14.8639,99.54
7,mask_ppo,nne,False,True,0.0,1.0,0.0,0.0,Real,0.0,7.8367364225211755,0.411858495266567,54.01674638764325,20.005022421524664,99.4798206278027,7.838499999999999,0.516,63.67620000000001,19.6903,99.54
8,mask_ppo,nne,True,True,0.0,1.0,0.0,0.0,Simulation,1.0,7.726985550572994,0.3726158445440957,48.50924265072247,19.810274040857003,99.45690084703537,7.803,0.5436,69.70009999999999,19.516199999999998,99.53
9,mask_ppo,nne,True,False,0.0,0.0,0.0,1.0,Real,0.0,7.733941205779771,0.1595465869456901,34.115196811160935,19.17660687593423,99.37219730941705,7.657499999999999,0.1716,34.217200000000005,17.168200000000002,99.45
10,mask_ppo,nne,True,True,1.0,0.0,0.0,0.0,Simulation,0.8,7.767703039362233,0.4297010463378177,52.967678126557054,11.458116591928249,99.33731938216243,7.771599999999999,0.545,64.82039999999999,8.385100000000001,99.54
11,mask_ppo,nne,True,False,0.0,1.0,0.0,0.0,Real,0.0,7.79417538614848,0.4478375685102143,58.137583457897364,19.092187344294967,99.3223716990533,7.779400000000001,0.6819999999999999,90.48380000000002,16.913899999999998,99.55
12,mask_ppo,nne,True,False,0.0,0.0,0.5,0.5,Simulation,0.7,7.751380169407075,0.17486297957149977,34.5592874937718,18.95685600398605,99.35724962630792,7.8553999999999995,0.21439999999999998,35.532799999999995,16.475399999999993,99.53
13,mask_ppo,nne,True,True,0.0,0.5,0.0,0.5,Simulation,0.9,7.7842551071250625,0.1996412556053812,35.52687095166915,18.44123567513702,99.50772296960638,7.784299999999999,0.2026,35.413399999999996,17.2169,99.46
14,mask_ppo,nne,True,False,0.5,0.0,0.0,0.5,Simulation,1.0,7.719611360239163,0.22996013951170902,36.50626307922272,15.902590931738914,99.3034379671151,7.7633,0.24429999999999996,36.42260000000001,12.946100000000003,99.53
15,mask_ppo,nne,True,True,0.0,0.0,0.0,1.0,Simulation,0.8,7.7102740408570005,0.15821126058794222,34.03264573991031,19.368455406078724,99.27703039362233,7.7726999999999995,0.15309999999999999,33.667,18.2949,99.53
16,mask_ppo,nne,False,True,0.5,0.0,0.5,0.0,Real,0.0,7.747065271549577,0.3009317389138017,41.041215744892874,14.125161933233683,99.43896362730443,7.758100000000001,0.34630000000000005,42.828100000000006,9.7311,99.51
17,mask_ppo,nne,True,False,0.5,0.0,0.0,0.5,Simulation,0.8,7.708385650224215,0.2526058794220229,37.51236671649228,14.411763826606876,99.36223218734429,7.6937000000000015,0.26710000000000006,37.85039999999999,10.9531,99.49
18,mask_ppo,nne,True,True,0.5,0.5,0.0,0.0,Simulation,0.9,7.762017937219731,0.39786746387643246,50.79988041853513,14.743457897359242,99.36821126058794,7.689400000000001,0.4789999999999999,57.58930000000001,10.5381,99.54
19,mask_ppo,nne,True,False,0.0,0.5,0.5,0.0,Simulation,0.9,7.693109118086697,0.17893373193821624,34.79070254110613,19.249626307922274,99.47782760338814,7.633100000000001,0.2401,36.477000000000004,17.2635,99.49
20,mask_ppo,nne,True,False,0.0,1.0,0.0,0.0,Simulation,1.0,8.129412057797708,0.3645490782262083,45.528819133034375,18.350184354758344,99.38664673642252,8.8887,0.4777,53.4946,16.392799999999998,99.54
21,mask_ppo,nne,True,True,0.0,0.0,1.0,0.0,Simulation,0.9,7.750109616342801,0.19903338315894373,35.402959641255606,19.39219730941704,99.24713502740408,7.6567,0.20389999999999997,35.2591,17.557799999999997,99.55
